id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order,agg_su_id,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1.0,1.0,0:00:00,0:00:30,1900-01-01 00:00:00,1900-01-01 00:00:30,_end,none,,,8,1.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
2,1.0,2.0,0:00:30,0:01:54,1900-01-01 00:00:30,1900-01-01 00:01:54,_end,none,,,8,1.0,"['00', '01', '24']",1.4,1,;1,;Rwanda,0,,,,0,0.0,0,,,0,,
3,1.0,3.0,0:01:54,0:02:07,1900-01-01 00:01:54,1900-01-01 00:02:07,_end,none,,,8,1.0,"['00', '00', '13']",0.21666666666666667,0,,,0,,,,0,0.0,0,,,0,,
4,1.0,4.0,0:02:07,0:03:47,1900-01-01 00:02:07,1900-01-01 00:03:47,Rwanda,Rwanda,country,,6,4.0,"['00', '01', '40']",1.6666666666666667,2,;2;3,";Rwanda;Gitarama, Rwanda",1,;2,;Rwanda,;0 days 00:01:05,0 days 00:01:05,0.65,0,,,1,;3,";Gitarama, Rwanda"
5,1.0,5.0,0:03:47,0:04:00,1900-01-01 00:03:47,1900-01-01 00:04:00,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '13']",0.21666666666666667,0,,,0,,,,0,0.0,0,,,0,,
6,1.0,6.0,0:04:00,0:04:04,1900-01-01 00:04:00,1900-01-01 00:04:04,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '04']",0.06666666666666667,0,,,0,,,,0,0.0,0,,,0,,
7,1.0,7.0,0:04:04,0:05:20,1900-01-01 00:04:04,1900-01-01 00:05:20,"Nyanza, Rwanda","Nyanza, Rwanda",local,,3,7.0,"['00', '01', '16']",1.2666666666666666,3,;4;5;6,";Nyanza, Rwanda;Nyanza, Rwanda;Gikongoro, Rwanda",2,;4;5,";Nyanza, Rwanda;Nyanza, Rwanda",;0 days 00:00:14;0 days 00:00:18,0 days 00:00:14,0.18421052631578946,0,,,0,,
8,1.0,8.0,0:05:20,0:05:25,1900-01-01 00:05:20,1900-01-01 00:05:25,"Nyanza, Rwanda","Nyanza, Rwanda",local,,3,7.0,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
9,1.0,9.0,0:05:25,0:08:13,1900-01-01 00:05:25,1900-01-01 00:08:13,"Nyanza, Rwanda","Nyanza, Rwanda",local,,3,7.0,"['00', '02', '48']",2.8,6,;7;8;9;10;11;12,";Nyanza, Rwanda;Gitarama, Rwanda;Rwanda;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo",1,;7,";Nyanza, Rwanda",;0 days 00:00:05,0 days 00:00:05,0.02976190476190476,1,;9,;Rwanda,0,,
10,1.0,10.0,0:08:13,0:08:20,1900-01-01 00:08:13,1900-01-01 00:08:20,_end,none,,,8,10.0,"['00', '00', '07']",0.11666666666666667,0,,,0,,,,0,0.0,0,,,0,,
