id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order,agg_su_id,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1,1,0.0,0.0,1900-01-01 00:00:00,1900-01-01 00:00:15,_end,none,,,8,1.0,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
2,1,2,,,1900-01-01 00:00:15,1900-01-01 00:00:40,"Trois-Rivières, Quebec",Trois-Rivières; Quebec,city / area,,4,2.0,"['00', '00', '25']",0.4166666666666667,3,;1;2;3,";Trois-Rivières, Canada;Trois-Rivières, Canada;Trois-Rivières, Canada",0,,,,0,0.0,0,,,0,,
3,1,3,,,1900-01-01 00:00:40,1900-01-01 00:00:45,_end,none,,,8,3.0,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
4,1,4,,,1900-01-01 00:00:45,1900-01-01 00:01:20,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '35']",0.5833333333333334,3,;4;5;6,;Rwanda;Belgium;Rwanda,2,;4;6,;Rwanda;Rwanda,;0 days 00:00:05;0 days 00:00:25,0 days 00:00:05,0.14285714285714285,0,,,0,,
5,1,5,,,1900-01-01 00:01:20,1900-01-01 00:01:30,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
6,1,6,,,1900-01-01 00:01:30,1900-01-01 00:02:10,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '40']",0.6666666666666666,2,;7;8,;Rwanda;Rwanda,2,;7;8,;Rwanda;Rwanda,;0 days 00:00:00;0 days 00:00:10,0 days 00:00:00,0.0,0,,,0,,
7,1,7,,,1900-01-01 00:02:10,1900-01-01 00:02:30,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '20']",0.3333333333333333,1,;9,;Rwanda,1,;9,;Rwanda,;0 days 00:00:00,0 days 00:00:00,0.0,0,,,0,,
8,1,8,,,1900-01-01 00:02:30,1900-01-01 00:06:00,"Karama, Rwanda",Karama; Rwanda,local,,3,8.0,"['00', '03', '30']",3.5,4,;10;11;12;13,";Rwanda;Gikongoro, Rwanda;Karama, Rwanda;Rukondo, Rwanda",1,;12,";Karama, Rwanda",;0 days 00:02:58,0 days 00:02:58,0.8476190476190476,1,;10,;Rwanda,0,,
9,1,9,,,1900-01-01 00:06:00,1900-01-01 00:06:05,_end,none,,,8,9.0,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
10,1,10,,,1900-01-01 00:06:05,1900-01-01 00:07:45,"Rukondo, Rwanda",Rukondo; Rwanda,local,,3,10.0,"['00', '01', '40']",1.6666666666666667,0,,,0,,,,0,0.0,0,,,0,,
11,1,11,,,1900-01-01 00:07:45,1900-01-01 00:10:45,"Karama, Rwanda",Karama; Rwanda,local,,3,11.0,"['00', '03', '00']",3.0,0,,,0,,,,0,0.0,0,,,0,,
12,1,12,,,1900-01-01 00:10:45,1900-01-01 00:14:15,"Rukondo, Rwanda",Rukondo; Rwanda,local,,3,12.0,"['00', '03', '30']",3.5,0,,,0,,,,0,0.0,0,,,0,,
13,1,13,,,1900-01-01 00:14:15,1900-01-01 00:15:00,_end,none,,,8,13.0,"['00', '00', '45']",0.75,0,,,0,,,,0,0.0,0,,,0,,
14,1,14,,,1900-01-01 00:15:00,1900-01-01 00:15:30,"Karama, Rwanda",Karama; Rwanda,local,,3,14.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
15,1,15,,,1900-01-01 00:15:30,1900-01-01 00:16:50,"Rukondo, Rwanda",Rukondo; Rwanda,local,,3,15.0,"['00', '01', '20']",1.3333333333333333,1,;14,";Groupe scholaire de Butare, Rwanda",0,,,,0,0.0,0,,,0,,
16,1,16,,,1900-01-01 00:16:50,1900-01-01 00:17:30,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,,2,16.0,"['00', '00', '40']",0.6666666666666666,0,,,0,,,,0,0.0,0,,,0,,
17,1,17,,,1900-01-01 00:17:30,1900-01-01 00:18:00,_end,none,,,8,17.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
18,1,18,,,1900-01-01 00:18:00,1900-01-01 00:18:45,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,,2,18.0,"['00', '00', '45']",0.75,0,,,0,,,,0,0.0,0,,,0,,
