id,session_num,time_clip,time,place,place_raw,scale,scale_order
1,1.0,0:01:25,1900-01-01 00:01:25,Haiti,Haiti,country,6
2,1.0,0:02:50,1900-01-01 00:02:50,Haiti,Haiti,country,6
3,1.0,0:02:57,1900-01-01 00:02:57,France,France,country,6
4,1.0,0:03:30,1900-01-01 00:03:30,Haiti,Haiti,country,6
5,1.0,0:04:25,1900-01-01 00:04:25,Haiti,Haiti,country,6
6,1.0,0:04:31,1900-01-01 00:04:31,Haiti,Haiti,country,6
7,1.0,0:04:35,1900-01-01 00:04:35,Haiti,Haiti,country,6
8,1.0,0:04:57,1900-01-01 00:04:57,France,France,country,6
9,1.0,0:04:58,1900-01-01 00:04:58,France,France,country,6
10,1.0,0:05:25,1900-01-01 00:05:25,Latin America,Latin America,continent,7
11,1.0,0:05:29,1900-01-01 00:05:29,Venezuela,Venezuela,country,6
12,1.0,0:05:33,1900-01-01 00:05:33,Haiti,Haiti,country,6
13,1.0,0:05:37,1900-01-01 00:05:37,Venezuela,Venezuela,country,6
14,1.0,0:05:45,1900-01-01 00:05:45,Latin America,Latin America,continent,7
15,1.0,0:05:48,1900-01-01 00:05:48,Haiti,Haiti,country,6
16,1.0,0:06:03,1900-01-01 00:06:03,Haiti,Haiti,country,6
17,1.0,0:06:25,1900-01-01 00:06:25,Haiti,Haiti,country,6
18,1.0,0:06:37,1900-01-01 00:06:37,Haiti,Haiti,country,6
19,1.0,0:06:57,1900-01-01 00:06:57,Haiti,Haiti,country,6
20,1.0,0:07:46,1900-01-01 00:07:46,Haiti,Haiti,country,6
21,1.0,0:07:51,1900-01-01 00:07:51,USA,USA,country,6
22,1.0,0:08:55,1900-01-01 00:08:55,Haiti,Haiti,country,6
23,1.0,0:09:20,1900-01-01 00:09:20,Haiti,Haiti,country,6
24,1.0,0:09:21,1900-01-01 00:09:21,Haiti,Haiti,country,6
25,1.0,0:14:16,1900-01-01 00:14:16,"Jérémie, Haiti",Jérémie; Haiti,city / area,4
26,1.0,0:14:35,1900-01-01 00:14:35,Haiti,Haiti,country,6
27,1.0,0:15:03,1900-01-01 00:15:03,Haiti,Haiti,country,6
28,1.0,0:17:15,1900-01-01 00:17:15,"Port-au-Prince, Haiti","Port-au-Prince, Haiti",city / area,4
29,1.0,0:17:41,1900-01-01 00:17:41,Haiti,Haiti,country,6
30,1.0,0:18:03,1900-01-01 00:18:03,Haiti,Haiti,country,6
31,1.0,0:18:23,1900-01-01 00:18:23,Haiti,Haiti,country,6
32,1.0,0:19:12,1900-01-01 00:19:12,Haiti,Haiti,country,6
33,1.0,0:20:57,1900-01-01 00:20:57,Haiti,Haiti,country,6
34,1.0,0:21:40,1900-01-01 00:21:40,"Jérémie, Haiti",Jérémie; Haiti,city / area,4
