id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0:00:00,0:00:10,1900-01-01 00:00:00,1900-01-01 00:00:10,_end,none,null,null,8
2,1.0,2.0,0:00:10,0:01:00,1900-01-01 00:00:10,1900-01-01 00:01:00,_end,none,null,null,8
3,1.0,3.0,0:01:00,0:01:07,1900-01-01 00:01:00,1900-01-01 00:01:07,_end,none,null,null,8
4,1.0,4.0,0:01:07,0:01:48,1900-01-01 00:01:07,1900-01-01 00:01:48,Africa,Africa,continent,null,7
5,1.0,5.0,0:01:48,0:03:40,1900-01-01 00:01:48,1900-01-01 00:03:40,Haiti,Haiti,country,null,6
6,1.0,6.0,0:03:40,0:04:18,1900-01-01 00:03:40,1900-01-01 00:04:18,Haiti,Haiti,country,null,6
7,1.0,7.0,0:04:18,0:05:25,1900-01-01 00:04:18,1900-01-01 00:05:25,Haiti,Haiti,country,null,6
8,1.0,8.0,0:05:25,0:06:30,1900-01-01 00:05:25,1900-01-01 00:06:30,Venezuela,Venezuela; Haiti,country,null,6
9,null,null,null,null,1900-01-01 00:05:25,1900-01-01 00:06:30,Haiti,null,country,null,6
10,1.0,9.0,0:06:30,0:08:25,1900-01-01 00:06:30,1900-01-01 00:08:25,Haiti,Haiti,country,null,6
11,1.0,10.0,0:08:25,0:08:30,1900-01-01 00:08:25,1900-01-01 00:08:30,_end,none,null,null,8
12,1.0,11.0,0:08:30,0:11:47,1900-01-01 00:08:30,1900-01-01 00:11:47,Haiti,Haiti,country,null,6
13,1.0,12.0,0:11:47,0:11:54,1900-01-01 00:11:47,1900-01-01 00:11:54,_end,none,null,null,8
14,1.0,13.0,0:11:54,0:12:23,1900-01-01 00:11:54,1900-01-01 00:12:23,_end,none,null,null,8
15,1.0,14.0,0:12:23,0:12:34,1900-01-01 00:12:23,1900-01-01 00:12:34,_end,none,null,null,8
16,1.0,15.0,0:12:34,0:19:00,1900-01-01 00:12:34,1900-01-01 00:19:00,"Jérémie, Haiti",Jérémie; Haiti,city / area,null,4
