id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0:00:00,0:00:30,1900-01-01 00:00:00,1900-01-01 00:00:30,_end,none,null,null,8
2,1.0,2.0,0:00:30,0:01:54,1900-01-01 00:00:30,1900-01-01 00:01:54,_end,none,null,null,8
3,1.0,3.0,0:01:54,0:02:07,1900-01-01 00:01:54,1900-01-01 00:02:07,_end,none,null,null,8
4,1.0,4.0,0:02:07,0:03:47,1900-01-01 00:02:07,1900-01-01 00:03:47,Rwanda,Rwanda,country,null,6
5,1.0,5.0,0:03:47,0:04:00,1900-01-01 00:03:47,1900-01-01 00:04:00,Rwanda,Rwanda,country,null,6
6,1.0,6.0,0:04:00,0:04:04,1900-01-01 00:04:00,1900-01-01 00:04:04,Rwanda,Rwanda,country,null,6
7,1.0,7.0,0:04:04,0:05:20,1900-01-01 00:04:04,1900-01-01 00:05:20,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
8,1.0,8.0,0:05:20,0:05:25,1900-01-01 00:05:20,1900-01-01 00:05:25,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
9,1.0,9.0,0:05:25,0:08:13,1900-01-01 00:05:25,1900-01-01 00:08:13,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
10,1.0,10.0,0:08:13,0:08:20,1900-01-01 00:08:13,1900-01-01 00:08:20,_end,none,null,null,8
11,1.0,11.0,0:08:20,0:09:25,1900-01-01 00:08:20,1900-01-01 00:09:25,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
12,1.0,12.0,0:09:25,0:10:37,1900-01-01 00:09:25,1900-01-01 00:10:37,_end,none,null,null,8
13,1.0,13.0,0:10:37,0:11:05,1900-01-01 00:10:37,1900-01-01 00:11:05,_end,none,null,null,8
14,1.0,14.0,0:11:05,0:11:54,1900-01-01 00:11:05,1900-01-01 00:11:54,Rwanda,Rwanda,country,null,6
15,1.0,15.0,0:11:54,0:12:10,1900-01-01 00:11:54,1900-01-01 00:12:10,_end,none,null,null,8
16,1.0,16.0,0:12:10,0:12:30,1900-01-01 00:12:10,1900-01-01 00:12:30,Rwanda,Rwanda,country,null,6
17,1.0,17.0,0:12:30,0:17:40,1900-01-01 00:12:30,1900-01-01 00:17:40,Rwanda,Rwanda,country,null,6
18,1.0,18.0,0:17:40,0:18:55,1900-01-01 00:17:40,1900-01-01 00:18:55,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
19,1.0,19.0,0:18:55,0:20:08,1900-01-01 00:18:55,1900-01-01 00:20:08,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
20,1.0,20.0,0:20:08,0:20:13,1900-01-01 00:20:08,1900-01-01 00:20:13,_end,none,null,null,8
21,1.0,21.0,0:20:13,0:20:47,1900-01-01 00:20:13,1900-01-01 00:20:47,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
22,1.0,22.0,0:20:47,0:20:55,1900-01-01 00:20:47,1900-01-01 00:20:55,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
23,1.0,23.0,0:20:55,0:21:40,1900-01-01 00:20:55,1900-01-01 00:21:40,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
24,1.0,24.0,0:21:40,0:21:48,1900-01-01 00:21:40,1900-01-01 00:21:48,_end,none,null,null,8
25,1.0,25.0,0:21:48,0:23:05,1900-01-01 00:21:48,1900-01-01 00:23:05,_end,none,null,null,8
26,1.0,26.0,0:23:05,0:26:42,1900-01-01 00:23:05,1900-01-01 00:26:42,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
27,1.0,27.0,0:26:42,0:27:08,1900-01-01 00:26:42,1900-01-01 00:27:08,_end,none,null,null,8
28,1.0,28.0,0:27:08,0:30:00,1900-01-01 00:27:08,1900-01-01 00:30:00,_end,none,null,null,8
29,1.0,29.0,0:30:00,0:30:15,1900-01-01 00:30:00,1900-01-01 00:30:15,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
30,1.0,30.0,0:30:15,0:31:12,1900-01-01 00:30:15,1900-01-01 00:31:12,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
31,1.0,31.0,0:31:12,0:31:23,1900-01-01 00:31:12,1900-01-01 00:31:23,Rwanda,Rwanda,country,null,6
32,1.0,32.0,0:31:23,0:32:19,1900-01-01 00:31:23,1900-01-01 00:32:19,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
33,1.0,33.0,0:32:19,0:32:25,1900-01-01 00:32:19,1900-01-01 00:32:25,Rwanda,Rwanda,country,null,6
34,1.0,34.0,0:32:25,0:33:04,1900-01-01 00:32:25,1900-01-01 00:33:04,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
35,1.0,35.0,0:33:04,0:33:17,1900-01-01 00:33:04,1900-01-01 00:33:17,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
36,1.0,36.0,0:33:17,0:35:00,1900-01-01 00:33:17,1900-01-01 00:35:00,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
37,1.0,37.0,0:35:00,0:35:11,1900-01-01 00:35:00,1900-01-01 00:35:11,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
38,1.0,38.0,0:35:11,0:37:26,1900-01-01 00:35:11,1900-01-01 00:37:26,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
39,1.0,39.0,0:37:26,0:37:58,1900-01-01 00:37:26,1900-01-01 00:37:58,"Nyanza, Rwanda","Nyanza, Rwanda",local,null,3
40,1.0,40.0,0:37:58,0:40:18,1900-01-01 00:37:58,1900-01-01 00:40:18,"Butare, Rwanda","Butare, Rwanda",city / area,null,4
41,1.0,41.0,0:40:18,0:40:55,1900-01-01 00:40:18,1900-01-01 00:40:55,Rwanda,Rwanda,country,null,6
42,1.0,42.0,0:40:55,0:43:41,1900-01-01 00:40:55,1900-01-01 00:43:41,Rwanda,Rwanda,country,null,6
43,1.0,43.0,0:43:41,0:43:48,1900-01-01 00:43:41,1900-01-01 00:43:48,Rwanda,Rwanda,country,null,6
44,1.0,44.0,0:43:48,0:44:10,1900-01-01 00:43:48,1900-01-01 00:44:10,Rwanda,Rwanda,country,null,6
45,1.0,45.0,0:44:10,0:45:13,1900-01-01 00:44:10,1900-01-01 00:45:13,Rwanda,Rwanda,country,null,6
46,1.0,46.0,0:45:13,0:45:16,1900-01-01 00:45:13,1900-01-01 00:45:16,Rwanda,Rwanda,country,null,6
47,1.0,47.0,0:45:16,0:46:38,1900-01-01 00:45:16,1900-01-01 00:46:38,Rwanda,Rwanda,country,null,6
48,1.0,48.0,0:46:38,0:46:42,1900-01-01 00:46:38,1900-01-01 00:46:42,Rwanda,Rwanda,country,null,6
49,1.0,49.0,0:46:42,0:48:45,1900-01-01 00:46:42,1900-01-01 00:48:45,Rwanda,Rwanda,country,null,6
