id,session_num,time_clip,time,place,place_raw,scale,scale_order
1,1,0:00:16,1900-01-01 00:00:16,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,4
2,1,0:00:30,1900-01-01 00:00:30,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
3,1,0:00:41,1900-01-01 00:00:41,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
4,1,0:00:57,1900-01-01 00:00:57,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
5,1,0:01:12,1900-01-01 00:01:12,Haiti,Haiti,country,6
6,1,0:02:14,1900-01-01 00:02:14,Haiti,Haiti,country,6
7,1,0:03:00,1900-01-01 00:03:00,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
8,1,0:03:26,1900-01-01 00:03:26,Haiti,Haiti,country,6
9,1,0:03:33,1900-01-01 00:03:33,USA,USA,country,6
10,1,0:03:38,1900-01-01 00:03:38,France,France,country,6
11,1,0:03:41,1900-01-01 00:03:41,Haiti,Haiti,country,6
12,1,0:03:58,1900-01-01 00:03:58,Haiti,Haiti,country,6
13,1,0:04:33,1900-01-01 00:04:43,"Artibonite, Haiti",Artibonite; Haiti,region,5
14,1,0:04:48,1900-01-01 00:04:48,"Artibonite, Haiti",Artibonite; Haiti,region,5
15,1,0:06:08,1900-01-01 00:06:08,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
16,1,0:06:09,1900-01-01 00:06:09,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
17,1,0:06:11,1900-01-01 00:06:11,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
18,1,0:06:13,1900-01-01 00:06:13,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
19,1,0:06:20,1900-01-01 00:06:20,Haiti,Haiti,country,6
20,1,0:06:32,1900-01-01 00:06:32,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
21,1,0:06:45,1900-01-01 00:06:45,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
22,1,0:07:44,1900-01-01 00:07:44,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
23,1,0:08:35,1900-01-01 00:08:35,"Bassin, Artibonite, Haiti",Bassin; Artibonite; Haiti,local,3
24,1,0:08:44,1900-01-01 00:08:44,"Artibonite, Haiti",Artibonite; Haiti,region,5
25,1,0:08:48,1900-01-01 00:08:48,"Artibonite, Haiti",Artibonite; Haiti,region,5
26,1,0:08:52,1900-01-01 00:08:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
27,1,0:09:00,1900-01-01 00:09:00,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
28,1,0:09:42,1900-01-01 00:09:42,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
29,1,0:09:43,1900-01-01 00:09:43,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
30,1,0:11:04,1900-01-01 00:11:04,"Pénitentier National, Port-au-Prince, Haiti",Pénitentier National; Port-au-Prince; Haiti,very local,2
31,1,0:11:05,1900-01-01 00:11:05,"Fort-Dimanche, Haiti",Fort-Dimanche; Haiti,very local,2
32,1,0:11:07,1900-01-01 00:11:07,"National Palace, Port-au-Prince, Haiti",National Palace; Port-au-Prince; Haiti,very local,2
33,1,0:11:08,1900-01-01 00:11:08,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,2
34,1,0:11:09,1900-01-01 00:11:09,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,2
35,1,0:11:38,1900-01-01 00:11:38,"Le Maquis, Haiti",Le Maquis; Haiti,city / area,4
36,1,0:11:51,1900-01-01 00:11:51,"Le Maquis, Haiti",Le Maquis; Haiti,city / area,4
37,1,0:12:05,1900-01-01 00:12:05,"Le Maquis, Haiti",Le Maquis; Haiti,city / area,4
38,1,0:12:13,1900-01-01 00:12:13,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
39,1,0:12:17,1900-01-01 00:12:17,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
40,1,0:12:22,1900-01-01 00:12:22,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
41,1,0:12:58,1900-01-01 00:12:58,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
42,1,0:13:02,1900-01-01 00:13:02,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
43,1,0:14:08,1900-01-01 00:14:08,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
44,1,0:14:12,1900-01-01 00:14:12,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
45,1,0:14:18,1900-01-01 00:14:18,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
46,1,0:14:39,1900-01-01 00:14:39,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
47,1,0:15:25,1900-01-01 00:15:25,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
48,1,0:16:08,1900-01-01 00:16:08,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
49,1,0:16:09,1900-01-01 00:16:09,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
50,1,0:16:18,1900-01-01 00:16:18,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
51,1,0:16:24,1900-01-01 00:16:24,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
52,1,0:16:25,1900-01-01 00:16:25,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
53,1,0:17:01,1900-01-01 00:17:01,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
54,1,0:17:39,1900-01-01 00:17:39,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
55,1,0:18:59,1900-01-01 00:18:59,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
56,1,0:19:03,1900-01-01 00:19:03,"Gonaives Prison, Gonaives, Haiti",Gonaives Prison; Gonaives; Haiti,city / area,4
57,1,0:19:07,1900-01-01 00:19:07,"Gonaives Prison, Gonaives, Haiti",Gonaives Prison; Gonaives; Haiti,city / area,4
58,1,0:19:12,1900-01-01 00:19:12,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
59,1,0:19:15,1900-01-01 00:19:15,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
60,1,0:19:29,1900-01-01 00:19:29,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
61,1,0:19:41,1900-01-01 00:19:41,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
62,1,0:19:44,1900-01-01 00:19:44,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
63,1,0:19:46,1900-01-01 00:19:46,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
64,1,0:19:48,1900-01-01 00:19:48,"Petite Rivière de l'Artibonite, Haiti",Petite Rivière de l'Artibonite; Haiti,city / area,4
65,1,0:19:52,1900-01-01 00:19:52,"Verrettes, Haiti",Verrettes; Haiti,city / area,4
66,1,0:19:53,1900-01-01 00:19:53,"Verrettes, Haiti",Verrettes; Haiti,city / area,4
67,1,0:19:54,1900-01-01 00:19:54,"Desarmes, Haiti",Desarmes; Haiti,city / area,4
68,1,0:19:55,1900-01-01 00:19:55,"La Chapelle, Haiti",La Chapelle; Haiti,city / area,4
69,1,0:20:02,1900-01-01 00:20:02,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
70,1,0:20:45,1900-01-01 00:20:45,"Artibonite, Haiti",Artibonite; Haiti,region,5
71,1,0:20:49,1900-01-01 00:20:49,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
72,1,0:21:11,1900-01-01 00:21:11,"Montreal, Canada",Montreal; Canada,city / area,4
73,1,0:21:13,1900-01-01 00:21:13,"Montreal, Canada",Montreal; Canada,city / area,4
74,1,0:21:16,1900-01-01 00:21:16,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local,2
75,1,0:22:03,1900-01-01 00:22:03,"Montreal, Canada",Montreal; Canada,city / area,4
76,1,0:22:07,1900-01-01 00:22:07,Haiti,Haiti,country,6
77,1,0:22:23,1900-01-01 00:22:23,Canada,Canada,country,6
78,1,0:22:31,1900-01-01 00:22:31,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local,2
79,1,0:23:50,1900-01-01 00:23:50,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local,2
80,1,0:24:09,1900-01-01 00:24:09,"Montreal, Canada",Montreal; Canada,city / area,4
81,1,0:24:11,1900-01-01 00:24:11,"Montreal, Canada",Montreal; Canada,city / area,4
82,1,0:27:12,1900-01-01 00:27:12,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
83,1,0:27:46,1900-01-01 00:27:46,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
84,1,0:28:03,1900-01-01 00:28:03,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
85,1,0:28:19,1900-01-01 00:28:19,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
86,1,0:28:43,1900-01-01 00:28:43,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
87,1,0:30:28,1900-01-01 00:30:28,"Middle School Jean Jacques Dessalines, Gonaives, Haiti",Middle School Jean Jacques Dessalines; Gonaives; Haiti,very local,2
88,1,0:30:30,1900-01-01 00:30:30,"Middle School Jean Jacques Dessalines, Gonaives, Haiti",Middle School Jean Jacques Dessalines; Gonaives; Haiti,very local,2
89,1,0:30:54,1900-01-01 00:30:54,Haiti,Haiti,country,6
90,1,0:31:25,1900-01-01 00:31:25,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
91,1,0:31:26,1900-01-01 00:31:26,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
92,1,0:31:27,1900-01-01 00:31:27,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
93,1,0:31:59,1900-01-01 00:31:59,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
94,1,0:32:11,1900-01-01 00:32:11,"National Palace, Port-au-Prince, Haiti",National Palace; Port-au-Prince; Haiti,very local,2
95,1,0:32:14,1900-01-01 00:32:14,Haiti,Haiti,country,6
96,1,0:32:23,1900-01-01 00:32:23,"National Palace, Port-au-Prince, Haiti",National Palace; Port-au-Prince; Haiti,very local,2
97,1,0:32:26,1900-01-01 00:32:26,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
98,1,0:32:34,1900-01-01 00:32:34,"National Palace, Port-au-Prince, Haiti",National Palace; Port-au-Prince; Haiti,very local,2
99,1,0:32:40,1900-01-01 00:32:40,"National Palace, Port-au-Prince, Haiti",National Palace; Port-au-Prince; Haiti,very local,2
100,1,0:32:48,1900-01-01 00:32:48,"Artibonite, Haiti",Artibonite; Haiti,region,5
101,1,0:33:06,1900-01-01 00:33:06,"Artibonite, Haiti",Artibonite; Haiti,region,5
102,1,0:33:10,1900-01-01 00:33:10,"Artibonite, Haiti",Artibonite; Haiti,region,5
103,1,0:33:25,1900-01-01 00:33:25,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
104,1,0:34:17,1900-01-01 00:34:17,"Plaine de Gonaive, Haiti",Plaine de Gonaive; Haiti,city / area,4
105,1,0:35:01,1900-01-01 00:35:01,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
106,1,0:35:18,1900-01-01 00:35:18,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti,very local,2
107,1,0:36:30,1900-01-01 00:36:30,"Ecole Normale Superieure, Port-au-Prince, Haiti",Ecole Normale Superieure; Port-au-Prince; Haiti,very local,2
108,1,0:38:36,1900-01-01 00:38:36,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
109,1,0:38:40,1900-01-01 00:38:40,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
110,1,0:38:45,1900-01-01 00:38:45,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
111,1,0:38:54,1900-01-01 00:38:54,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
112,1,0:38:56,1900-01-01 00:38:56,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
113,1,0:39:38,1900-01-01 00:39:38,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
114,1,0:39:39,1900-01-01 00:39:39,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
115,1,0:41:13,1900-01-01 00:41:13,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
116,1,0:41:17,1900-01-01 00:41:17,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
117,1,0:41:23,1900-01-01 00:41:23,"Petite Rivière de l'Artibonite, Haiti",Petite Rivière de l'Artibonite; Haiti,city / area,4
118,1,0:41:29,1900-01-01 00:41:29,"La Chapelle, Haiti",La Chapelle; Haiti,city / area,4
119,1,0:41:37,1900-01-01 00:41:37,"Verrettes, Haiti",Verrettes; Haiti,city / area,4
120,1,0:42:52,1900-01-01 00:42:52,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
121,1,0:43:30,1900-01-01 00:43:30,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area,4
122,1,0:43:50,1900-01-01 00:43:50,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
123,1,0:44:07,1900-01-01 00:44:07,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,2
124,1,0:44:18,1900-01-01 00:44:18,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
125,1,0:44:51,1900-01-01 00:44:51,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
126,1,0:44:52,1900-01-01 00:44:52,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
127,1,0:45:19,1900-01-01 00:45:19,"Gonaives, Haiti",Gonaives; Haiti,city / area,4
128,1,0:47:45,1900-01-01 00:47:45,"Artibonite, Haiti",Artibonite; Haiti,region,5
129,1,0:47:47,1900-01-01 00:47:47,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,2
130,1,0:50:30,1900-01-01 00:50:30,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,4
