id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1.0,1.0,1.0,0:00:00,0:00:30,1900-01-01 00:00:00,1900-01-01 00:00:30,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
2.0,1.0,2.0,0:00:30,0:00:52,1900-01-01 00:00:30,1900-01-01 00:00:52,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
3.0,1.0,3.0,0:00:52,0:01:00,1900-01-01 00:00:52,1900-01-01 00:01:00,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
4.0,1.0,4.0,0:01:00,0:01:10,1900-01-01 00:01:00,1900-01-01 00:01:10,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
5.0,1.0,5.0,0:01:10,0:01:14,1900-01-01 00:01:10,1900-01-01 00:01:14,Haiti,Haiti,country,null,6
6.0,1.0,6.0,0:01:14,0:02:06,1900-01-01 00:01:14,1900-01-01 00:02:06,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
7.0,1.0,7.0,0:02:06,0:02:14,1900-01-01 00:02:06,1900-01-01 00:02:14,_end,none,null,null,8
8.0,1.0,8.0,0:02:14,0:02:55,1900-01-01 00:02:14,1900-01-01 00:02:55,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
9.0,1.0,9.0,0:02:55,0:03:05,1900-01-01 00:02:55,1900-01-01 00:03:05,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
10.0,1.0,10.0,0:03:05,0:03:06,1900-01-01 00:03:05,1900-01-01 00:03:06,_end,none,null,null,8
11.0,1.0,11.0,0:03:06,0:03:26,1900-01-01 00:03:06,1900-01-01 00:03:26,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
12.0,1.0,12.0,0:03:26,0:03:28,1900-01-01 00:03:26,1900-01-01 00:03:28,Canada,Canada; Haiti,country,null,6
13.0,null,null,null,null,1900-01-01 00:03:26,1900-01-01 00:03:28,Haiti,null,country,null,6
14.0,1.0,13.0,0:03:28,0:03:43,1900-01-01 00:03:28,1900-01-01 00:03:43,"Montreal, Canada",Montreal; Canada; USA; France; Haiti,city / area,null,4
15.0,null,null,null,null,1900-01-01 00:03:28,1900-01-01 00:03:43,USA,null,country,null,6
16.0,null,null,null,null,1900-01-01 00:03:28,1900-01-01 00:03:43,France,null,country,null,6
17.0,null,null,null,null,1900-01-01 00:03:28,1900-01-01 00:03:43,Haiti,null,country,null,6
18.0,1.0,14.0,0:03:43,0:04:13,1900-01-01 00:03:43,1900-01-01 00:04:13,Haiti,Haiti,country,null,6
19.0,1.0,15.0,0:04:13,0:05:24,1900-01-01 00:04:13,1900-01-01 00:05:24,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
20.0,1.0,16.0,0:05:24,0:05:27,1900-01-01 00:05:24,1900-01-01 00:05:27,_end,none,null,null,8
21.0,1.0,17.0,0:05:27,0:06:05,1900-01-01 00:05:27,1900-01-01 00:06:05,Haiti,Haiti,country,null,6
22.0,1.0,18.0,0:06:05,0:06:11,1900-01-01 00:06:05,1900-01-01 00:06:11,"Gonaives, Haiti",Gonaives; Haiti; Port-au-Prince; Haiti ,city / area,null,4
23.0,null,null,null,null,1900-01-01 00:06:05,1900-01-01 00:06:11,"Port-au-Prince, Haiti",null,city / area,null,4
24.0,1.0,19.0,0:06:11,0:06:14,1900-01-01 00:06:11,1900-01-01 00:06:14,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
25.0,1.0,20.0,0:06:14,0:06:18,1900-01-01 00:06:14,1900-01-01 00:06:18,_end,none,null,null,8
26.0,1.0,21.0,0:06:18,0:06:27,1900-01-01 00:06:18,1900-01-01 00:06:27,Haiti,Haiti,country,null,6
27.0,1.0,22.0,0:06:27,0:06:30,1900-01-01 00:06:27,1900-01-01 00:06:30,_end,none,null,null,8
28.0,1.0,23.0,0:06:30,0:06:40,1900-01-01 00:06:30,1900-01-01 00:06:40,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
29.0,1.0,24.0,0:06:40,0:07:01,1900-01-01 00:06:40,1900-01-01 00:07:01,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
30.0,1.0,25.0,0:07:01,0:07:10,1900-01-01 00:07:01,1900-01-01 00:07:10,_end,none,null,null,8
31.0,1.0,26.0,0:07:10,0:07:44,1900-01-01 00:07:10,1900-01-01 00:07:44,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
32.0,1.0,27.0,0:07:44,0:07:53,1900-01-01 00:07:44,1900-01-01 00:07:53,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
33.0,1.0,28.0,0:07:53,0:08:50,1900-01-01 00:07:53,1900-01-01 00:08:50,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
34.0,1.0,29.0,0:08:50,0:08:58,1900-01-01 00:08:50,1900-01-01 00:08:58,"Gonaives, Haiti",Port-au-Prince; Haiti; Gonaives; Haiti,city / area,null,4
35.0,null,null,null,null,1900-01-01 00:08:50,1900-01-01 00:08:58,"Port-au-Prince, Haiti",null,city / area,null,4
36.0,1.0,30.0,0:08:58,0:09:39,1900-01-01 00:08:58,1900-01-01 00:09:39,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
37.0,1.0,31.0,0:09:39,0:09:43,1900-01-01 00:09:39,1900-01-01 00:09:43,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
38.0,1.0,32.0,0:09:43,0:11:00,1900-01-01 00:09:43,1900-01-01 00:11:00,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
39.0,1.0,33.0,0:11:00,0:11:33,1900-01-01 00:11:00,1900-01-01 00:11:33,"Casernes Dessalines, Port-au-Prince, Haiti",Caserne Dessalines; Port-au-Prince; Haiti,very local,null,2
40.0,1.0,34.0,0:11:33,0:12:10,1900-01-01 00:11:33,1900-01-01 00:12:10,"Dessalines, Haiti",Dessalines; Haiti,city / area,null,4
41.0,1.0,35.0,0:12:10,0:12:43,1900-01-01 00:12:10,1900-01-01 00:12:43,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
42.0,1.0,36.0,0:12:43,0:12:58,1900-01-01 00:12:43,1900-01-01 00:12:58,"Dessalines, Haiti",Dessalines; Haiti,city / area,null,4
43.0,1.0,37.0,0:12:58,0:13:03,1900-01-01 00:12:58,1900-01-01 00:13:03,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
44.0,1.0,38.0,0:13:03,0:13:07,1900-01-01 00:13:03,1900-01-01 00:13:07,_end,none,null,null,8
45.0,1.0,39.0,0:13:07,0:13:22,1900-01-01 00:13:07,1900-01-01 00:13:22,_end,none,null,null,8
46.0,1.0,40.0,0:13:22,0:13:30,1900-01-01 00:13:22,1900-01-01 00:13:30,_end,none,null,null,8
47.0,1.0,41.0,0:13:30,0:14:02,1900-01-01 00:13:30,1900-01-01 00:14:02,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
48.0,1.0,42.0,0:14:02,0:14:10,1900-01-01 00:14:02,1900-01-01 00:14:10,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
49.0,1.0,43.0,0:14:10,0:14:46,1900-01-01 00:14:10,1900-01-01 00:14:46,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
50.0,1.0,44.0,0:14:46,0:15:00,1900-01-01 00:14:46,1900-01-01 00:15:00,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
51.0,1.0,45.0,0:15:00,0:15:05,1900-01-01 00:15:00,1900-01-01 00:15:05,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
52.0,1.0,46.0,0:15:05,0:15:29,1900-01-01 00:15:05,1900-01-01 00:15:29,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
53.0,1.0,47.0,0:15:29,0:15:31,1900-01-01 00:15:29,1900-01-01 00:15:31,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
54.0,1.0,48.0,0:15:31,0:16:03,1900-01-01 00:15:31,1900-01-01 00:16:03,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
55.0,1.0,49.0,0:16:03,0:16:14,1900-01-01 00:16:03,1900-01-01 00:16:14,_end,none,null,null,8
56.0,1.0,50.0,0:16:14,0:16:34,1900-01-01 00:16:14,1900-01-01 00:16:34,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
57.0,1.0,51.0,0:16:34,0:17:39,1900-01-01 00:16:34,1900-01-01 00:17:39,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
58.0,1.0,52.0,0:17:39,0:17:49,1900-01-01 00:17:39,1900-01-01 00:17:49,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
59.0,1.0,53.0,0:17:49,0:18:22,1900-01-01 00:17:49,1900-01-01 00:18:22,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
60.0,1.0,54.0,0:18:22,0:18:55,1900-01-01 00:18:22,1900-01-01 00:19:08,"Saint-Marc, Haiti; Gonaives Prison, Gonaives, Haiti",Saint-Marc; Haiti,journey,journey 1,1
62.0,1.0,56.0,0:19:08,0:20:28,1900-01-01 00:19:08,1900-01-01 00:20:28,"Prison, Saint-Marc, Artibonite, Haiti",La Prison Saint-Marc; Artibonite; Haiti,very local,null,2
63.0,1.0,57.0,0:20:28,0:20:32,1900-01-01 00:20:28,1900-01-01 00:20:32,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
64.0,1.0,58.0,0:20:32,0:21:06,1900-01-01 00:20:32,1900-01-01 00:21:06,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
65.0,1.0,59.0,0:21:06,0:21:13,1900-01-01 00:21:06,1900-01-01 00:21:13,_end,none,null,null,8
66.0,1.0,60.0,0:21:13,0:22:36,1900-01-01 00:21:13,1900-01-01 00:22:36,Haiti,Haiti; Montreal; Canada,country,null,6
67.0,null,null,null,null,1900-01-01 00:21:13,1900-01-01 00:22:36,"Montreal, Canada",null,city / area,null,4
68.0,1.0,61.0,0:22:36,0:22:50,1900-01-01 00:22:36,1900-01-01 00:22:50,Canada,Canada,country,null,6
69.0,1.0,62.0,0:22:50,0:23:50,1900-01-01 00:22:50,1900-01-01 00:23:50,Canada,Canada,country,null,6
70.0,1.0,63.0,0:23:50,0:23:51,1900-01-01 00:23:50,1900-01-01 00:23:51,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local,null,2
71.0,1.0,64.0,0:23:51,0:24:03,1900-01-01 00:23:51,1900-01-01 00:24:03,"Montreal, Canada",Montreal; Canada,city / area,null,4
72.0,1.0,65.0,0:24:03,0:24:13,1900-01-01 00:24:03,1900-01-01 00:24:13,"Montreal, Canada",Montreal; Canada,city / area,null,4
73.0,1.0,66.0,0:24:13,0:24:35,1900-01-01 00:24:13,1900-01-01 00:24:35,"Montreal, Canada",Montreal; Canada,city / area,null,4
74.0,1.0,67.0,0:24:35,0:24:47,1900-01-01 00:24:35,1900-01-01 00:24:47,_end,none,null,null,8
75.0,1.0,68.0,0:24:47,0:27:39,1900-01-01 00:24:47,1900-01-01 00:27:39,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
76.0,1.0,69.0,0:27:39,0:27:55,1900-01-01 00:27:39,1900-01-01 00:27:55,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
77.0,1.0,70.0,0:27:55,0:28:59,1900-01-01 00:27:55,1900-01-01 00:28:59,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
78.0,1.0,71.0,0:28:59,0:30:10,1900-01-01 00:28:59,1900-01-01 00:30:10,_end,none,null,null,8
79.0,1.0,72.0,0:30:10,0:31:22,1900-01-01 00:30:10,1900-01-01 00:31:22,"Middle School Jean Jacques Dessalines, Gonaives, Haiti",Middle School Jean Jacques Dessalines; Gonaives; Haiti,very local,null,2
80.0,1.0,73.0,0:31:22,0:31:32,1900-01-01 00:31:22,1900-01-01 00:31:32,"Port-au-Prince, Haiti",Port-au-Prince; Haiti; Gonaives; Haiti,city / area,null,4
81.0,null,null,null,null,1900-01-01 00:31:22,1900-01-01 00:31:32,"Gonaives, Haiti",null,city / area,null,4
82.0,1.0,74.0,0:31:32,0:32:07,1900-01-01 00:31:32,1900-01-01 00:32:07,Haiti,Haiti,country,null,6
83.0,1.0,75.0,0:32:07,0:33:00,1900-01-01 00:32:07,1900-01-01 00:33:00,"National Palace, Port-au-Prince, Haiti",National Palace; Haiti,very local,null,2
84.0,1.0,76.0,0:33:00,0:33:13,1900-01-01 00:33:00,1900-01-01 00:33:13,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
85.0,1.0,77.0,0:33:13,0:33:25,1900-01-01 00:33:13,1900-01-01 00:33:25,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
86.0,1.0,78.0,0:33:25,0:33:29,1900-01-01 00:33:25,1900-01-01 00:33:29,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
87.0,1.0,79.0,0:33:29,0:34:21,1900-01-01 00:33:29,1900-01-01 00:34:21,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
88.0,1.0,80.0,0:34:21,0:34:26,1900-01-01 00:34:21,1900-01-01 00:34:26,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
89.0,1.0,81.0,0:34:26,0:34:50,1900-01-01 00:34:26,1900-01-01 00:34:50,"Artibonite, Haiti",Artibonite; Haiti,region,null,5
90.0,1.0,82.0,0:34:50,0:34:54,1900-01-01 00:34:50,1900-01-01 00:34:54,_end,none,null,null,8
91.0,1.0,83.0,0:34:54,0:35:16,1900-01-01 00:34:54,1900-01-01 00:36:17,"Gonaives, Haiti; Casernes Dessalines, Port-au-Prince, Haiti",Gonaives; Haiti,journey,Journey 2,1
93.0,1.0,85.0,0:36:17,0:36:48,1900-01-01 00:36:17,1900-01-01 00:36:48,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
94.0,1.0,86.0,0:36:48,0:38:36,1900-01-01 00:36:48,1900-01-01 00:38:50,"Casernes Dessalines, Port-au-Prince, Haiti; Saint-Marc, Haiti",Caserne Dessalines; Port-au-Prince; Haiti,journey,journey 3,1
96.0,1.0,88.0,0:38:50,0:38:56,1900-01-01 00:38:50,1900-01-01 00:38:56,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
97.0,1.0,89.0,0:38:56,0:39:39,1900-01-01 00:38:56,1900-01-01 00:39:39,"Gonaives, Haiti",Gonaives; Haiti,city / area,null,4
98.0,1.0,90.0,0:39:39,0:39:46,1900-01-01 00:39:39,1900-01-01 00:39:46,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
99.0,1.0,91.0,0:39:46,0:40:38,1900-01-01 00:39:46,1900-01-01 00:40:38,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
100.0,1.0,92.0,0:40:38,0:40:42,1900-01-01 00:40:38,1900-01-01 00:40:42,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
101.0,1.0,93.0,0:40:42,0:40:54,1900-01-01 00:40:42,1900-01-01 00:40:54,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
102.0,1.0,94.0,0:40:54,0:41:01,1900-01-01 00:40:54,1900-01-01 00:41:01,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
103.0,1.0,95.0,0:41:01,0:42:04,1900-01-01 00:41:01,1900-01-01 00:42:04,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
104.0,1.0,96.0,0:42:04,0:42:09,1900-01-01 00:42:04,1900-01-01 00:42:09,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
105.0,1.0,97.0,0:42:09,0:42:56,1900-01-01 00:42:09,1900-01-01 00:42:56,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
106.0,1.0,98.0,0:42:56,0:43:07,1900-01-01 00:42:56,1900-01-01 00:43:07,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
107.0,1.0,99.0,0:43:07,0:43:20,1900-01-01 00:43:07,1900-01-01 00:43:20,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
108.0,1.0,100.0,0:43:20,0:47:04,1900-01-01 00:43:20,1900-01-01 00:47:04,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
109.0,1.0,101.0,0:47:04,0:47:10,1900-01-01 00:47:04,1900-01-01 00:47:10,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
110.0,1.0,102.0,0:47:10,0:49:24,1900-01-01 00:47:10,1900-01-01 00:49:24,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
111.0,1.0,103.0,0:49:24,0:49:30,1900-01-01 00:49:24,1900-01-01 00:49:30,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
112.0,1.0,104.0,0:49:30,0:49:35,1900-01-01 00:49:30,1900-01-01 00:49:35,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
113.0,1.0,105.0,0:49:35,0:49:41,1900-01-01 00:49:35,1900-01-01 00:49:41,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
114.0,1.0,106.0,0:49:41,0:50:14,1900-01-01 00:49:41,1900-01-01 00:50:14,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
115.0,1.0,107.0,0:50:14,0:50:32,1900-01-01 00:50:14,1900-01-01 00:50:32,"Saint-Marc, Haiti",Saint-Marc; Haiti,city / area,null,4
116.0,1.0,108.0,0:50:32,0:51:15,1900-01-01 00:50:32,1900-01-01 00:51:15,"Martissant, Port-au-Prince, Haiti",Martissant; Port-au-Prince; Haiti,local,null,3
117.0,1.0,109.0,0:51:15,0:53:10,1900-01-01 00:51:15,1900-01-01 00:53:10,"Morne Canot, Haiti",Morne Canot; Haiti,local,null,3
118.0,1.0,110.0,0:53:10,0:53:40,1900-01-01 00:53:10,1900-01-01 00:53:40,"Prison, Saint-Marc, Artibonite, Haiti",Prison; Saint-Marc; Artibonite; Haiti,very local,null,2
119.0,1.0,111.0,0:53:40,0:54:04,1900-01-01 00:53:40,1900-01-01 00:54:04,Haiti,Haiti,country,null,6
120.0,1.0,112.0,0:54:04,0:54:06,1900-01-01 00:54:04,1900-01-01 00:54:06,_end,none,null,null,8
121.0,1.0,113.0,0:54:06,0:54:28,1900-01-01 00:54:06,1900-01-01 00:54:28,"Prison, Saint-Marc, Artibonite, Haiti",La Prison Saint-Marc; Artibonite; Haiti,very local,null,2
