id,session_num,time_clip,time,place,place_raw,scale,scale_order
1,1,0.0,1900-01-01 00:00:30,"Trois-Rivières, Canada",Trois-Rivières; Quebec,city / area,4
2,1,null,1900-01-01 00:00:30,"Trois-Rivières, Canada",Université du Quebec à Trois-Rivières; Canada,very local,2
3,1,null,1900-01-01 00:00:30,"Trois-Rivières, Canada",Québec City; Quebec; Canada,city / area,4
4,1,null,1900-01-01 00:00:50,Rwanda,Rwanda,country,6
5,1,null,1900-01-01 00:01:00,Belgium,Belgium,country,6
6,1,null,1900-01-01 00:01:10,Rwanda,Rwanda,country,6
7,1,null,1900-01-01 00:01:30,Rwanda,Rwanda,country,6
8,1,null,1900-01-01 00:01:40,Rwanda,Rwanda,country,6
9,1,null,1900-01-01 00:02:10,Rwanda,Rwanda,country,6
10,1,null,1900-01-01 00:05:15,Rwanda,Rwanda,country,6
11,1,null,1900-01-01 00:05:25,"Gikongoro, Rwanda",Gikongoro; Rwanda,region,5
12,1,null,1900-01-01 00:05:28,"Karama, Rwanda",Karama; Rwanda,local,3
13,1,null,1900-01-01 00:05:40,"Rukondo, Rwanda",Rukondo; Rwanda,local,3
14,1,null,1900-01-01 00:16:00,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,2
15,1,null,1900-01-01 00:19:00,"Louvain, Belgium",Louvain; Belgium,city / area,4
16,1,null,1900-01-01 00:19:10,"l'université Nationale du Rwanda, Butare, Rwanda",l'université Nationale du Rwanda; Butare; Rwanda,very local,2
17,1,null,1900-01-01 00:20:20,"Louvain, Belgium",Louvain; Belgium,city / area,4
18,1,null,1900-01-01 00:20:00,"Louvain, Belgium",Louvain; Belgium,city / area,4
19,1,null,1900-01-01 00:21:50,Belgium,Belgium,country,6
20,1,null,1900-01-01 00:22:10,"Gitarama, Rwanda",Gitarama; Rwanda,region,5
21,1,null,1900-01-01 00:22:30,"Gikongoro, Rwanda",Gikongoro; Rwanda,region,5
22,1,null,1900-01-01 00:22:31,Belgium,Belgium,country,6
23,1,null,1900-01-01 00:24:10,Uganda,Ouganda,country,6
24,1,null,1900-01-01 00:25:10,Uganda,Ouganda,country,6
25,1,null,1900-01-01 00:25:20,West Africa,West Africa,continent,7
26,1,null,1900-01-01 00:25:30,"Zanzibar, Tanzania",Zanzibar; Tanzanie,region,5
27,1,null,1900-01-01 00:29:50,Uganda,Ouganda,country,6
28,1,null,1900-01-01 00:30:00,Uganda,Ouganda,country,6
