id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1,1,0.0,0.0,1900-01-01 00:00:00,1900-01-01 00:00:15,_end,none,null,null,8
2,1,2,null,null,1900-01-01 00:00:15,1900-01-01 00:00:40,"Trois-Rivières, Quebec",Trois-Rivières; Quebec,city / area,null,4
3,1,3,null,null,1900-01-01 00:00:40,1900-01-01 00:00:45,_end,none,null,null,8
4,1,4,null,null,1900-01-01 00:00:45,1900-01-01 00:01:20,Rwanda,Rwanda,country,null,6
5,1,5,null,null,1900-01-01 00:01:20,1900-01-01 00:01:30,Rwanda,Rwanda,country,null,6
6,1,6,null,null,1900-01-01 00:01:30,1900-01-01 00:02:10,Rwanda,Rwanda,country,null,6
7,1,7,null,null,1900-01-01 00:02:10,1900-01-01 00:02:30,Rwanda,Rwanda,country,null,6
8,1,8,null,null,1900-01-01 00:02:30,1900-01-01 00:06:00,"Karama, Rwanda",Karama; Rwanda,local,null,3
9,1,9,null,null,1900-01-01 00:06:00,1900-01-01 00:06:05,_end,none,null,null,8
10,1,10,null,null,1900-01-01 00:06:05,1900-01-01 00:07:45,"Rukondo, Rwanda",Rukondo; Rwanda,local,null,3
11,1,11,null,null,1900-01-01 00:07:45,1900-01-01 00:10:45,"Karama, Rwanda",Karama; Rwanda,local,null,3
12,1,12,null,null,1900-01-01 00:10:45,1900-01-01 00:14:15,"Rukondo, Rwanda",Rukondo; Rwanda,local,null,3
13,1,13,null,null,1900-01-01 00:14:15,1900-01-01 00:15:00,_end,none,null,null,8
14,1,14,null,null,1900-01-01 00:15:00,1900-01-01 00:15:30,"Karama, Rwanda",Karama; Rwanda,local,null,3
15,1,15,null,null,1900-01-01 00:15:30,1900-01-01 00:16:50,"Rukondo, Rwanda",Rukondo; Rwanda,local,null,3
16,1,16,null,null,1900-01-01 00:16:50,1900-01-01 00:17:30,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,null,2
17,1,17,null,null,1900-01-01 00:17:30,1900-01-01 00:18:00,_end,none,null,null,8
18,1,18,null,null,1900-01-01 00:18:00,1900-01-01 00:18:45,"Groupe scholaire de Butare, Rwanda",Groupe scholaire de Butare; Rwanda,very local,null,2
