id,session_num,time_clip,time,place,place_raw,scale,scale_order
1,1,0:00:25,1900-01-01 00:00:25,Cuba,Cuba,country,6
2,1,0:00:35,1900-01-01 00:00:35,"Pétionville, Haiti",Pétionville; Haiti,local,3
3,1,0:01:55,1900-01-01 00:01:55,L'école des soeurs la sagesse de Pétionville (?),L'école des soeurs la sagesse de Pétionville (?),very local,2
4,1,0:02:03,1900-01-01 00:02:03,"Institut George Marc, Port-au-Prince, Haiti",Institut George Marc; Port-au-Prince; Haiti,very local,2
5,1,0:02:06,1900-01-01 00:02:06,"College Fernand Prosper, Port-au-Prince, Haiti",College Fernand Prosper; Port-au-Prince; Haiti,very local,2
6,1,0:02:09,1900-01-01 00:02:09,"College Fernand Prosper, Port-au-Prince, Haiti",College Fernand Prosper; Port-au-Prince; Haiti,very local,2
7,1,0:02:13,1900-01-01 00:02:13,"College Fernand Prosper, Port-au-Prince, Haiti",College Fernand Prosper; Port-au-Prince; Haiti,very local,2
8,1,0:08:15,1900-01-01 00:08:15,"Pétionville, Haiti",Pétionville; Haiti,local,3
9,1,0:08:27,1900-01-01 00:08:27,"Bristou, Pétionville, Haiti",Bristou; Pétionville; Haiti,local,3
10,1,0:08:32,1900-01-01 00:08:32,"Peguy Ville, Haiti",Peguy Ville; Haiti,local,3
11,1,0:08:35,1900-01-01 00:08:35,"Bristou, Pétionville, Haiti",Bristou; Pétionville; Haiti,local,3
12,1,0:09:10,1900-01-01 00:09:10,"Plain of the Cul-de-Sac, Haiti",Plain of the Cul-de-Sac; Haiti,city / area,4
13,1,0:09:30,1900-01-01 00:09:30,"Casale, Haiti",Casale; Haiti,city / area,4
14,1,0:09:37,1900-01-01 00:09:37,"Casale, Haiti",Casale; Haiti,city / area,4
15,1,0:09:38,1900-01-01 00:09:38,"Casale, Haiti",Casale; Haiti,city / area,4
16,1,0:09:52,1900-01-01 00:09:52,"Casale, Haiti",Casale; Haiti,city / area,4
17,1,0:09:54,1900-01-01 00:09:54,"Saut-d'eau, Haiti",Saut-d'eau; Haiti,city / area,4
18,1,0:10:52,1900-01-01 00:10:52,"Casale, Haiti",Casale; Haiti,city / area,4
19,1,0:10:55,1900-01-01 00:10:55,"Saut-d'eau, Haiti",Saut-d'eau; Haiti,city / area,4
20,1,0:11:14,1900-01-01 00:11:14,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,city / area,4
21,1,0:11:15,1900-01-01 00:11:15,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,3
22,1,0:13:15,1900-01-01 00:13:15,Haiti,Haiti,country,6
23,1,0:13:48,1900-01-01 00:13:48,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,3
24,1,0:16:36,1900-01-01 00:16:36,"Casernes Dessalines, Port-au-Prince, Haiti",Casernes Dessalines; Port-au-Prince; Haiti  ,very local,2
25,1,0:17:50,1900-01-01 00:17:50,"Jacmel, Haiti",Jacmel; Haiti,city / area,4
