id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0:00:00,0:00:20,1900-01-01 00:00:00,1900-01-01 00:00:20,_end,none,null,null,8
2,1.0,2.0,0:00:20,0:00:35,1900-01-01 00:00:20,1900-01-01 00:00:35,Cuba,Cuba,country,null,6
3,1.0,3.0,0:00:35,0:01:25,1900-01-01 00:00:35,1900-01-01 00:01:25,"Pétionville, Haiti",Pétionville; Haiti,local,null,3
4,1.0,4.0,0:01:25,0:01:40,1900-01-01 00:01:25,1900-01-01 00:01:40,_end,none,null,null,8
5,1.0,5.0,0:01:40,0:02:00,1900-01-01 00:01:40,1900-01-01 00:02:00,"Pétionville, Haiti",Pétionville; Haiti,local,null,3
6,1.0,6.0,0:02:03,0:02:06,1900-01-01 00:02:03,1900-01-01 00:02:06,"Institut George Marc, Port-au-Prince, Haiti",Institut George Marc; Port-au-Prince; Haiti,very local,null,2
7,1.0,7.0,0:02:06,0:02:30,1900-01-01 00:02:06,1900-01-01 00:02:30,"College Fernand Prosper, Port-au-Prince, Haiti",College Fernand Prosper; Port-au-Prince; Haiti,very local,null,2
8,1.0,8.0,0:02:32,0:02:38,1900-01-01 00:02:32,1900-01-01 00:02:38,_end,none,null,null,8
9,1.0,9.0,0:02:39,0:02:59,1900-01-01 00:02:39,1900-01-01 00:02:59,_end,none,null,null,8
10,1.0,10.0,0:03:00,0:04:27,1900-01-01 00:03:00,1900-01-01 00:04:27,"Pétionville, Haiti",Pétionville; Haiti,local,null,3
11,1.0,11.0,0:04:27,0:04:39,1900-01-01 00:04:27,1900-01-01 00:04:39,_end,none,null,null,8
12,1.0,12.0,0:04:39,0:07:30,1900-01-01 00:04:39,1900-01-01 00:07:30,"Pétionville, Haiti",Pétionville; Haiti,local,null,3
13,1.0,13.0,0:07:30,0:09:23,1900-01-01 00:07:30,1900-01-01 00:09:23,"Bristou, Pétionville, Haiti",Bristou; Pétionville; Haiti,local,null,3
14,1.0,14.0,0:09:23,0:11:00,1900-01-01 00:09:23,1900-01-01 00:11:00,"Casale, Haiti",Casale; Haiti,city / area,null,4
15,1.0,15.0,0:11:00,0:13:40,1900-01-01 00:11:00,1900-01-01 00:13:40,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,null,3
16,1.0,16.0,0:13:40,0:16:30,1900-01-01 00:13:40,1900-01-01 00:16:30,"Fontamara, Port-au-Prince, Haiti",Fontamara; Port-au-Prince; Haiti,local,null,3
