,id,session_num,time_clip,time,place,place_raw,scale,scale_order
0,1,1,0:00:40,1900-01-01 00:00:40,Haiti,Haiti,country,6
1,2,1,0:00:44,1900-01-01 00:00:44,Haiti,Haiti,country,6
2,3,1,0:00:48,1900-01-01 00:00:48,Chile,Chile,country,6
3,4,1,0:00:53,1900-01-01 00:00:53,Chile,Chile,country,6
4,5,1,0:01:00,1900-01-01 00:01:00,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,2
5,6,1,0:01:04,1900-01-01 00:01:04,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,2
6,7,1,0:01:20,1900-01-01 00:01:20,Latin America,Latin America,continent,7
7,8,1,0:01:32,1900-01-01 00:01:32,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,2
8,9,1,0:01:52,1900-01-01 00:01:52,Chile,Chile,country,6
9,10,1,0:01:56,1900-01-01 00:01:56,Peru,Peru,country,6
10,11,1,0:01:57,1900-01-01 00:01:57,France,France,country,6
11,12,1,0:01:59,1900-01-01 00:01:59,Venezuela,Venezuela,country,6
12,13,1,0:02:00,1900-01-01 00:02:00,France,France,country,6
13,14,1,0:02:01,1900-01-01 00:02:01,Switzerland,Switzerland,country,6
14,15,1,0:02:03,1900-01-01 00:02:03,"Quebec, Canada",Quebec; Canada,region,5
15,16,1,0:02:23,1900-01-01 00:02:23,Chile,Chile,country,6
16,17,1,0:02:25,1900-01-01 00:02:25,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local,2
17,18,1,0:02:31,1900-01-01 00:02:31,Latin America,Latin America,continent,7
18,19,1,0:02:34,1900-01-01 00:02:34,Mexico,Mexico,country,6
19,20,1,0:02:41,1900-01-01 00:02:41,"National Autonomous University of Mexico, Mexico City, Mexico",National Autonomous University of Mexico; Mexico City; Mexico,local,3
20,21,1,0:02:47,1900-01-01 00:02:47,Haiti,Haiti,country,6
21,22,1,0:02:51,1900-01-01 00:02:51,Mexico,Mexico,country,6
22,23,1,0:02:52,1900-01-01 00:02:52,Haiti,Haiti,country,6
23,24,1,0:03:00,1900-01-01 00:03:00,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
24,25,1,0:03:01,1900-01-01 00:03:01,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,3
25,26,1,0:03:09,1900-01-01 00:03:09,Haiti,Haiti,country,6
26,27,1,0:03:16,1900-01-01 00:03:16,Canada,Canada,country,6
27,28,1,0:03:20,1900-01-01 00:03:20,"Montreal, Canada",Montreal; Canada,city / area,4
28,29,1,0:03:21,1900-01-01 00:03:21,Haiti,Haiti,country,6
29,30,1,0:03:24,1900-01-01 00:03:24,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local,2
30,31,1,0:03:26,1900-01-01 00:03:26,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local,2
31,32,1,0:04:26,1900-01-01 00:04:26,Haiti,Haiti,country,6
32,33,1,0:05:41,1900-01-01 00:05:41,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,4
