id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0:00:00,0:00:40,1900-01-01 00:00:00,1900-01-01 00:00:40,_end,none,null,null,8
2,1.0,2.0,0:00:40,0:00:48,1900-01-01 00:00:40,1900-01-01 00:00:48,Haiti,Haiti,country,null,6
3,1.0,3.0,0:00:48,0:01:21,1900-01-01 00:00:48,1900-01-01 00:01:21,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,null,2
4,1.0,4.0,0:01:21,0:01:42,1900-01-01 00:01:21,1900-01-01 00:01:42,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,null,2
5,1.0,5.0,0:01:42,0:02:08,1900-01-01 00:01:42,1900-01-01 00:02:08,Chile; Peru; Venezuela; France; Switzerland; Quebec,Chile; Peru; Venezuela; France; Switzerland; Quebec,journey,Journey 1,1
6,1.0,6.0,0:02:02,0:02:30,1900-01-01 00:02:02,1900-01-01 00:02:30,"Quebec, Canada",Quebec; Canada,region,null,5
7,1.0,7.0,0:02:30,0:02:50,1900-01-01 00:02:30,1900-01-01 00:02:50,"National Autonomous University of Mexico, Mexico City, Mexico",National Autonomous University of Mexico; Mexico City; Mexico,very local,null,2
8,1.0,8.0,0:02:50,0:03:10,1900-01-01 00:02:50,1900-01-01 00:03:10,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,null,3
9,1.0,9.0,0:03:10,0:04:00,1900-01-01 00:03:10,1900-01-01 00:04:00,"Montreal, Canada",Montreal; Canada,city / area,null,4
10,1.0,10.0,0:04:00,0:04:20,1900-01-01 00:04:00,1900-01-01 00:04:20,_end,none,null,null,8
11,1.0,11.0,0:04:20,0:05:30,1900-01-01 00:04:20,1900-01-01 00:05:30,Haiti,Haiti,country,null,6
12,1.0,12.0,0:05:30,0:05:52,1900-01-01 00:05:30,1900-01-01 00:05:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
13,1.0,13.0,0:05:52,0:07:20,1900-01-01 00:05:52,1900-01-01 00:07:20,Haiti,Haiti,country,null,6
14,1.0,14.0,0:07:20,0:08:20,1900-01-01 00:07:20,1900-01-01 00:08:20,"Santiago, Chile",Santiago; Chile,city / area,null,4
15,1.0,15.0,0:08:20,0:09:10,1900-01-01 00:08:20,1900-01-01 00:09:55,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile; Comodoro Arturo Merino Benítez International Airport, Santiago, Chile; Peru; UQAM, Montreal, Canada",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,journey,Journey #2 (start),1
19,1.0,19.0,0:09:55,0:10:03,1900-01-01 00:09:55,1900-01-01 00:10:03,Mexico,Mexico,country,null,6
20,1.0,20.0,0:10:03,0:10:25,1900-01-01 00:10:03,1900-01-01 00:10:25,Haiti,Haiti; Chile,country,null,6
21,null,null,null,null,1900-01-01 00:10:03,1900-01-01 00:10:25,Chile,null,country,null,6
22,1.0,21.0,0:10:25,0:10:35,1900-01-01 00:10:25,1900-01-01 00:10:35,Haiti,Haiti,country,null,6
23,1.0,22.0,0:10:35,0:12:54,1900-01-01 00:10:35,1900-01-01 00:12:54,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,null,2
24,1.0,23.0,0:12:54,0:13:02,1900-01-01 00:12:54,1900-01-01 00:13:02,_end,none,null,null,8
25,1.0,24.0,0:13:02,0:13:53,1900-01-01 00:13:02,1900-01-01 00:13:53,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,null,2
26,1.0,25.0,0:13:53,0:14:40,1900-01-01 00:13:53,1900-01-01 00:14:40,"Centre d'etudes secondaires, Port-au-Prince, Haiti",Centre d'etudes secondaires; Port-au-Prince; Haiti,very local,null,2
27,1.0,26.0,0:14:40,0:14:45,1900-01-01 00:14:40,1900-01-01 00:14:45,_end,none,null,null,8
28,1.0,27.0,0:14:45,0:15:17,1900-01-01 00:14:45,1900-01-01 00:15:17,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
29,1.0,28.0,0:15:17,0:15:21,1900-01-01 00:15:17,1900-01-01 00:15:21,_end,none,null,null,8
30,1.0,29.0,0:15:21,0:16:15,1900-01-01 00:15:21,1900-01-01 00:16:15,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
31,1.0,30.0,0:16:15,0:16:25,1900-01-01 00:16:15,1900-01-01 00:16:25,Haiti,Haiti,country,null,6
32,1.0,31.0,0:16:25,0:17:25,1900-01-01 00:16:25,1900-01-01 00:17:25,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
33,1.0,32.0,0:17:25,0:17:28,1900-01-01 00:17:25,1900-01-01 00:17:28,_end,none,null,null,8
34,1.0,33.0,0:17:28,0:18:34,1900-01-01 00:17:28,1900-01-01 00:18:34,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
35,1.0,34.0,0:18:34,0:18:42,1900-01-01 00:18:34,1900-01-01 00:18:42,Haiti,Haiti,country,null,6
36,1.0,35.0,0:18:42,0:18:54,1900-01-01 00:18:42,1900-01-01 00:18:54,France,France,country,null,6
37,1.0,36.0,0:18:54,0:19:10,1900-01-01 00:18:54,1900-01-01 00:19:10,Brazil,Brazil,country,null,6
38,1.0,37.0,0:19:10,0:20:20,1900-01-01 00:19:10,1900-01-01 00:20:20,Chile,Chile,country,null,6
39,1.0,38.0,0:20:20,0:20:22,1900-01-01 00:20:20,1900-01-01 00:20:22,_end,none,null,null,8
40,1.0,39.0,0:20:22,0:21:34,1900-01-01 00:20:22,1900-01-01 00:21:34,"Santiago, Chile",Santiago; Chile,city / area,null,4
41,1.0,40.0,0:21:34,0:22:01,1900-01-01 00:21:34,1900-01-01 00:22:01,"University of Santiago, Santiago, Chile",University of Santiago; Santiago; Chile,very local,null,2
42,1.0,41.0,0:22:01,0:22:07,1900-01-01 00:22:01,1900-01-01 00:22:07,"Santiago, Chile",Santiago; Chile,city / area,null,4
43,1.0,42.0,0:22:07,0:23:47,1900-01-01 00:22:07,1900-01-01 00:23:47,"Santiago, Chile",Santiago; Chile,city / area,null,4
44,1.0,43.0,0:23:47,0:23:53,1900-01-01 00:23:47,1900-01-01 00:23:53,_end,none,null,null,8
45,1.0,44.0,0:23:53,0:24:13,1900-01-01 00:23:53,1900-01-01 00:24:13,"Chiloé Island, Chile",Chiloé Island; Chile,region,null,5
46,1.0,45.0,0:24:13,0:25:10,1900-01-01 00:24:13,1900-01-01 00:25:10,"Santiago, Chile",Santiago; Chile,city / area,null,4
47,1.0,46.0,0:25:10,0:25:20,1900-01-01 00:25:10,1900-01-01 00:25:20,_end,none,null,null,8
