id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0.0,0.0,1900-01-01 00:00:00,1900-01-01 00:00:15,_end,none,null,null,8
2,1.0,2.0,null,null,1900-01-01 00:00:15,1900-01-01 00:00:22,"Montreal, Canada",Montreal; Canada,city / area,null,4
3,1.0,3.0,null,null,1900-01-01 00:00:22,1900-01-01 00:00:24,_end,unknown,null,null,8
4,1.0,4.0,null,null,1900-01-01 00:00:24,1900-01-01 00:00:30,"Montreal, Canada",Montreal; Canada,city / area,null,4
5,1.0,5.0,null,null,1900-01-01 00:00:30,1900-01-01 00:00:41,_end,none,null,null,8
6,1.0,6.0,null,null,1900-01-01 00:00:41,1900-01-01 00:02:43,"Montreal, Canada",Montreal; Canada,city / area,null,4
7,1.0,7.0,null,null,1900-01-01 00:02:43,1900-01-01 00:02:50,"Montreal, Canada",Montreal; Canada,city / area,null,4
8,1.0,8.0,null,null,1900-01-01 00:02:50,1900-01-01 00:03:23,_end,none,null,null,8
9,1.0,9.0,null,null,1900-01-01 00:03:23,1900-01-01 00:03:29,_end,none,null,null,8
10,1.0,10.0,null,null,1900-01-01 00:03:29,1900-01-01 00:05:05,Haiti,Haiti; Montreal,country,null,6
11,null,null,null,null,1900-01-01 00:03:29,1900-01-01 00:05:05,"Montreal, Canada",null,city / area,null,4
12,1.0,11.0,null,null,1900-01-01 00:05:05,1900-01-01 00:05:11,Haiti,Haiti,country,null,6
13,1.0,12.0,null,null,1900-01-01 00:05:11,1900-01-01 00:10:03,Haiti,Haiti,country,null,6
14,1.0,13.0,null,null,1900-01-01 00:10:03,1900-01-01 00:10:12,Haiti,Haiti,country,null,6
15,1.0,14.0,null,null,1900-01-01 00:10:12,1900-01-01 00:13:20,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
16,1.0,15.0,null,null,1900-01-01 00:13:20,1900-01-01 00:13:30,_end,none,null,null,8
17,1.0,16.0,null,null,1900-01-01 00:13:30,1900-01-01 00:14:02,Haiti,Canada; Haiti,country,null,6
18,null,null,null,null,1900-01-01 00:13:30,1900-01-01 00:14:02,Canada,null,country,null,6
19,1.0,17.0,null,null,1900-01-01 00:14:02,1900-01-01 00:14:26,Haiti,Haiti,country,null,6
20,1.0,18.0,null,null,1900-01-01 00:14:26,1900-01-01 00:16:01,"Quebec, Canada",Quebec; Canada,region,null,5
21,1.0,19.0,null,null,1900-01-01 00:16:01,1900-01-01 00:16:58,"Montreal, Canada",Montreal; Canada,city / area,null,4
22,1.0,20.0,null,null,1900-01-01 00:16:58,1900-01-01 00:17:50,_end,none,null,null,8
23,1.0,21.0,null,null,1900-01-01 00:17:50,1900-01-01 00:18:02,"Montreal, Canada",Montreal; Canada,city / area,null,4
24,1.0,22.0,null,null,1900-01-01 00:18:02,1900-01-01 00:18:42,_end,none,null,null,8
25,1.0,23.0,null,null,1900-01-01 00:18:42,1900-01-01 00:19:40,_end,none,null,null,8
26,1.0,24.0,null,null,1900-01-01 00:19:40,1900-01-01 00:19:58,_end,none,null,null,8
27,1.0,25.0,null,null,1900-01-01 00:19:58,1900-01-01 00:21:00,_end,none,null,null,8
28,1.0,26.0,null,null,1900-01-01 00:21:00,1900-01-01 00:24:05,Haiti,Haiti,country,null,6
29,1.0,27.0,null,null,1900-01-01 00:24:05,1900-01-01 00:24:50,_end,none,null,null,8
30,1.0,28.0,null,null,1900-01-01 00:24:50,1900-01-01 00:27:05,Haiti,Haiti,country,null,6
31,1.0,29.0,null,null,1900-01-01 00:27:05,1900-01-01 00:27:30,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
32,1.0,30.0,null,null,1900-01-01 00:27:30,1900-01-01 00:29:46,_end,none,null,null,8
33,1.0,31.0,null,null,1900-01-01 00:29:46,1900-01-01 00:30:06,Haiti,Haiti,country,null,6
34,1.0,32.0,null,null,1900-01-01 00:30:06,1900-01-01 00:30:18,Haiti,Haiti,country,null,6
35,1.0,33.0,null,null,1900-01-01 00:30:18,1900-01-01 00:30:52,Haiti,Haiti,country,null,6
36,1.0,34.0,null,null,1900-01-01 00:30:52,1900-01-01 00:31:01,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,null,4
37,1.0,35.0,null,null,1900-01-01 00:31:01,1900-01-01 00:32:55,"Port-au-Prince, Haiti",Port-au-Prince; Haiti; France,city / area,null,4
38,null,null,null,null,1900-01-01 00:31:01,1900-01-01 00:32:55,France,null,country,null,6
39,1.0,36.0,null,null,1900-01-01 00:32:55,1900-01-01 00:33:30,_end,none,null,null,8
40,1.0,37.0,null,null,1900-01-01 00:33:30,1900-01-01 00:33:48,_end,none,null,null,8
41,1.0,38.0,null,null,1900-01-01 00:33:48,1900-01-01 00:36:08,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
42,1.0,39.0,null,null,1900-01-01 00:36:08,1900-01-01 00:36:23,"Montreal, Canada",Montreal; Canada,city / area,null,4
43,1.0,40.0,null,null,1900-01-01 00:36:23,1900-01-01 00:37:10,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,city / area,null,4
44,1.0,41.0,null,null,1900-01-01 00:37:10,1900-01-01 00:37:43,Haiti,Haiti,country,null,6
45,1.0,42.0,null,null,1900-01-01 00:37:43,1900-01-01 00:37:53,_end,none,null,null,8
