,id,session_num,time_clip,time,place,place_raw,scale,scale_order
0,1,0.0,0:00:34,1900-01-01 00:00:34,"Montreal, Canada",Montreal; Canada,city / area,4
1,2,null,0:01:16,1900-01-01 00:01:16,"Montreal, Canada",Montreal; Canada,city / area,4
2,3,null,0:01:26,1900-01-01 00:01:26,"Alberta, Canada",Alberta; Canada,region,5
3,4,null,0:01:29,1900-01-01 00:01:29,Rwanda,Rwanda,country,6
4,5,null,0:04:23,1900-01-01 00:04:23,Rwanda,Rwanda,country,6
5,6,null,0:04:44,1900-01-01 00:04:44,Canada,Canada,country,6
6,7,null,0:04:45,1900-01-01 00:04:45,"Ottawa, Canada",Ottawa; Canada,city / area,4
7,8,null,0:05:25,1900-01-01 00:05:25,Burundi,Burundi,country,6
8,9,null,0:05:30,1900-01-01 00:05:30,Rwanda,Rwanda,country,6
9,10,null,0:05:39,1900-01-01 00:05:39,Rwanda,Rwanda,country,6
10,11,null,0:05:46,1900-01-01 00:05:46,"Bugesera, Rwanda",Bugesera; Rwanda,region,5
11,12,null,0:05:54,1900-01-01 00:05:54,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region,5
12,13,null,0:06:11,1900-01-01 00:06:11,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region,5
13,14,null,0:06:19,1900-01-01 00:06:19,Rwanda,Rwanda,country,6
14,15,null,0:06:25,1900-01-01 00:06:25,"Ruhengeri, Rwanda",Ruhengeri; Rwanda,region,5
15,16,null,0:06:30,1900-01-01 00:06:30,"Bugesera, Rwanda",Bugesera; Rwanda,region,5
16,17,null,0:07:11,1900-01-01 00:07:11,Rwanda,Rwanda,country,6
17,18,null,0:07:13,1900-01-01 00:07:13,Rwanda,Rwanda,country,6
18,19,null,0:07:44,1900-01-01 00:07:44,Burundi,Burundi,country,6
19,20,null,0:07:46,1900-01-01 00:07:46,"Bugesera, Rwanda",Bugesera; Rwanda,region,5
20,21,null,0:07:49,1900-01-01 00:07:49,Burundi,Burundi,country,6
21,22,null,0:07:50,1900-01-01 00:07:50,Rwanda,Rwanda,country,6
22,23,null,0:08:00,1900-01-01 00:08:00,"Bugesera, Rwanda",Bugesera; Rwanda,region,5
23,24,null,0:08:07,1900-01-01 00:08:07,"Kigali, Rwanda",Kigali; Rwanda,city / area,4
24,25,null,0:08:44,1900-01-01 00:08:44,Burundi,Burundi,country,6
25,26,null,0:08:55,1900-01-01 00:08:55,Burundi,Burundi,country,6
26,27,null,0:10:32,1900-01-01 00:10:32,Rwanda,Rwanda,country,6
