id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order
1,1.0,1.0,0:00:00,0:00:54,1900-01-01 00:00:00,1900-01-01 00:00:54,_end,none,null,0.0,8
2,1.0,2.0,0:00:54,0:00:58,1900-01-01 00:00:54,1900-01-01 00:00:58,_end,none,null,null,8
3,1.0,3.0,0:00:58,0:02:40,1900-01-01 00:00:58,1900-01-01 00:02:40,"Montreal, Canada","Montreal, Canada",city / area,null,4
4,1.0,4.0,0:02:40,0:02:47,1900-01-01 00:02:40,1900-01-01 00:02:47,_end,none,null,null,8
5,1.0,5.0,0:02:47,0:03:05,1900-01-01 00:02:47,1900-01-01 00:03:05,_end,none,null,null,8
6,1.0,6.0,0:03:05,0:04:16,1900-01-01 00:03:05,1900-01-01 00:04:16,Burundi,Burundi,country,null,6
7,1.0,7.0,0:04:16,0:04:27,1900-01-01 00:04:16,1900-01-01 00:04:27,Rwanda,Rwanda,country,null,6
8,1.0,8.0,0:04:27,0:04:40,1900-01-01 00:04:27,1900-01-01 00:04:40,_end,unknown,null,null,8
9,1.0,9.0,0:04:40,0:04:46,1900-01-01 00:04:40,1900-01-01 00:04:46,"Ottawa, Canada","Ottawa, Canada",city / area,null,4
10,1.0,10.0,0:04:46,0:04:55,1900-01-01 00:04:46,1900-01-01 00:04:55,_end,none,null,null,8
11,1.0,11.0,0:04:55,0:05:37,1900-01-01 00:04:55,1900-01-01 00:05:37,Burundi,Burundi,country,null,6
12,1.0,12.0,0:05:37,0:08:47,1900-01-01 00:05:37,1900-01-01 00:08:47,"Ruhengeri, Rwanda","Ruhengeri, Rwanda; Bugesera, Rwanda; Burundi",country,null,6
13,null,null,null,null,1900-01-01 00:05:37,1900-01-01 00:08:47,"Bugesera, Rwanda",null,city / area,null,4
14,null,null,null,null,1900-01-01 00:05:37,1900-01-01 00:08:47,Burundi,null,country,null,6
15,1.0,13.0,0:08:47,0:09:30,1900-01-01 00:08:47,1900-01-01 00:09:30,Burundi,Burundi,country,null,6
16,1.0,14.0,0:09:30,0:11:00,1900-01-01 00:09:30,1900-01-01 00:11:00,Burundi,Burundi,country,null,6
17,1.0,15.0,0:11:00,0:14:10,1900-01-01 00:11:00,1900-01-01 00:14:10,Uganda,Uganda,country,null,6
18,1.0,16.0,0:14:10,0:14:30,1900-01-01 00:14:10,1900-01-01 00:14:30,Burundi,Rwanda; Burundi,country,null,6
19,1.0,17.0,0:14:30,0:14:44,1900-01-01 00:14:30,1900-01-01 00:14:44,_end,none,null,null,8
20,1.0,18.0,0:14:44,0:15:55,1900-01-01 00:14:44,1900-01-01 00:15:55,Burundi,Burundi,country,null,6
21,1.0,19.0,0:15:55,0:16:03,1900-01-01 00:15:55,1900-01-01 00:16:03,_end,none,null,null,8
22,1.0,20.0,0:16:03,0:18:03,1900-01-01 00:16:03,1900-01-01 00:18:03,_end,none,null,null,8
23,1.0,21.0,0:18:03,0:18:06,1900-01-01 00:18:03,1900-01-01 00:18:06,_end,none,null,null,8
24,1.0,22.0,0:18:06,0:22:40,1900-01-01 00:18:06,1900-01-01 00:22:40,_end,none,null,null,8
25,1.0,23.0,0:22:40,0:24:16,1900-01-01 00:22:40,1900-01-01 00:24:16,"Cibitoke, Burundi","Cibitoke, Burundi",city / area,null,4
26,1.0,24.0,0:24:16,0:26:14,1900-01-01 00:24:16,1900-01-01 00:26:14,Burundi,Burundi,country,null,6
27,1.0,25.0,0:26:14,0:28:55,1900-01-01 00:26:14,1900-01-01 00:28:55,_end,none,null,null,8
28,1.0,26.0,0:28:55,0:29:06,1900-01-01 00:28:55,1900-01-01 00:29:06,_end,none,null,null,8
29,1.0,27.0,0:29:06,0:35:00,1900-01-01 00:29:06,1900-01-01 00:35:00,Rwanda,Rwanda,country,null,6
30,1.0,28.0,0:35:00,0:35:15,1900-01-01 00:35:00,1900-01-01 00:35:15,_end,none,null,null,8
31,1.0,29.0,0:35:15,0:46:18,1900-01-01 00:35:15,1900-01-01 00:46:18,_end,none,null,null,8
32,1.0,30.0,0:46:18,0:46:30,1900-01-01 00:46:18,1900-01-01 00:46:30,_end,none,null,null,8
33,1.0,31.0,0:46:30,0:47:10,1900-01-01 00:46:30,1900-01-01 00:47:10,Burundi,Burundi,country,null,6
34,1.0,32.0,0:47:10,0:47:15,1900-01-01 00:47:10,1900-01-01 00:47:15,_end,none,null,null,8
35,1.0,33.0,0:47:15,0:52:25,1900-01-01 00:47:15,1900-01-01 00:52:25,_end,none,null,null,8
36,1.0,34.0,0:52:25,0:52:35,1900-01-01 00:52:25,1900-01-01 00:52:35,_end,none,null,null,8
37,1.0,35.0,0:52:35,0:53:45,1900-01-01 00:52:35,1900-01-01 00:53:45,"Cibitoke, Burundi","Cibitoke, Burundi",city / area,null,4
38,1.0,36.0,0:53:45,0:53:55,1900-01-01 00:53:45,1900-01-01 00:53:55,_end,none,null,null,8
