agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1,1,_end,8,1900-01-01 00:00:00,1900-01-01 00:00:15,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
2.0,2,2,"Trois-Rivières, Quebec",4,1900-01-01 00:00:15,1900-01-01 00:00:40,"['00', '00', '25']",0.4166666666666667,3,;1;2;3,";Trois-Rivières, Canada;Trois-Rivières, Canada;Trois-Rivières, Canada",0,,,,0,0.0,0,,,0,,
3.0,3,3,_end,8,1900-01-01 00:00:40,1900-01-01 00:00:45,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
4.0,4;5;6;7,4;5;6;7,Rwanda,6,1900-01-01 00:00:45,1900-01-01 00:02:30,"['00', '01', '45']",1.75,6,;4;5;6;7;8;9,;Rwanda;Belgium;Rwanda;Rwanda;Rwanda;Rwanda,5,;4;6;7;8;9,;Rwanda;Rwanda;Rwanda;Rwanda;Rwanda,;0 days 00:00:05;0 days 00:00:25;0 days 00:00:45;0 days 00:00:55;0 days 00:01:25,0 days 00:00:05,0.047619047619047616,0,,,0,,
8.0,8,8,"Karama, Rwanda",3,1900-01-01 00:02:30,1900-01-01 00:06:00,"['00', '03', '30']",3.5,4,;10;11;12;13,";Rwanda;Gikongoro, Rwanda;Karama, Rwanda;Rukondo, Rwanda",1,;12,";Karama, Rwanda",;0 days 00:02:58,0 days 00:02:58,0.8476190476190476,1,;10,;Rwanda,0,,
9.0,9,9,_end,8,1900-01-01 00:06:00,1900-01-01 00:06:05,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
10.0,10,10,"Rukondo, Rwanda",3,1900-01-01 00:06:05,1900-01-01 00:07:45,"['00', '01', '40']",1.6666666666666667,0,,,0,,,,0,0.0,0,,,0,,
11.0,11,11,"Karama, Rwanda",3,1900-01-01 00:07:45,1900-01-01 00:10:45,"['00', '03', '00']",3.0,0,,,0,,,,0,0.0,0,,,0,,
12.0,12,12,"Rukondo, Rwanda",3,1900-01-01 00:10:45,1900-01-01 00:14:15,"['00', '03', '30']",3.5,0,,,0,,,,0,0.0,0,,,0,,
13.0,13,13,_end,8,1900-01-01 00:14:15,1900-01-01 00:15:00,"['00', '00', '45']",0.75,0,,,0,,,,0,0.0,0,,,0,,
14.0,14,14,"Karama, Rwanda",3,1900-01-01 00:15:00,1900-01-01 00:15:30,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
15.0,15,15,"Rukondo, Rwanda",3,1900-01-01 00:15:30,1900-01-01 00:16:50,"['00', '01', '20']",1.3333333333333333,1,;14,";Groupe scholaire de Butare, Rwanda",0,,,,0,0.0,0,,,0,,
16.0,16,16,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 00:16:50,1900-01-01 00:17:30,"['00', '00', '40']",0.6666666666666666,0,,,0,,,,0,0.0,0,,,0,,
17.0,17,17,_end,8,1900-01-01 00:17:30,1900-01-01 00:18:00,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
18.0,18;19,18;19,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 00:18:00,1900-01-01 00:20:20,"['00', '02', '20']",2.3333333333333335,3,;15;16;18,";Louvain, Belgium;l'université Nationale du Rwanda, Butare, Rwanda;Louvain, Belgium",0,,,,0,0.0,0,,,0,,
20.0,20,20,"Karama, Rwanda",3,1900-01-01 00:20:20,1900-01-01 00:20:30,"['00', '00', '10']",0.16666666666666666,1,;17,";Louvain, Belgium",0,,,,0,0.0,0,,,0,,
21.0,21,21,"Louvain, Belgium",2,1900-01-01 00:20:30,1900-01-01 00:20:45,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
22.0,22,22,"Groupe scholaire de Butare, Rwanda; Louvain, Belgium",1,1900-01-01 00:20:45,1900-01-01 00:22:50,"['00', '02', '05']",2.0833333333333335,4,;19;20;21;22,";Belgium;Gitarama, Rwanda;Gikongoro, Rwanda;Belgium",0,,,,0,0.0,2,;19;22,;Belgium;Belgium,0,,
23.0,23;24,23;24,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 00:22:50,1900-01-01 00:24:00,"['00', '01', '10']",1.1666666666666667,0,,,0,,,,0,0.0,0,,,0,,
25.0,25,25,"Rukondo, Rwanda",3,1900-01-01 00:24:00,1900-01-01 00:26:50,"['00', '02', '50']",2.8333333333333335,4,;23;24;25;26,";Uganda;Uganda;West Africa;Zanzibar, Tanzania",0,,,,0,0.0,0,,,0,,
26.0,26,26,"Karama, Rwanda",3,1900-01-01 00:26:50,1900-01-01 00:27:40,"['00', '00', '50']",0.8333333333333334,0,,,0,,,,0,0.0,0,,,0,,
27.0,27,27,"Rukondo, Rwanda",3,1900-01-01 00:27:40,1900-01-01 00:31:45,"['00', '04', '05']",4.083333333333333,2,;27;28,;Uganda;Uganda,0,,,,0,0.0,0,,,0,,
28.0,28,28,_end,8,1900-01-01 00:31:45,1900-01-01 00:32:10,"['00', '00', '25']",0.4166666666666667,1,;29,;Belgium,0,,,,0,0.0,0,,,0,,
29.0,29,29,"Gikongoro, Rwanda",5,1900-01-01 00:32:10,1900-01-01 00:33:30,"['00', '01', '20']",1.3333333333333333,3,;30;31;32,;Burundi;Belgium;Democratic Republic of Congo,0,,,,0,0.0,0,,,0,,
30.0,30;31,30;31,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 00:33:30,1900-01-01 00:35:50,"['00', '02', '20']",2.3333333333333335,6,;33;34;35;36;37;38,";Groupe scholaire de Butare, Rwanda;Gikongoro, Rwanda;Gikongoro, Rwanda;Gikongoro, Rwanda;Paroisse de Cyanika, Rwanda;Gikongoro, Rwanda",1,;33,";Groupe scholaire de Butare, Rwanda",;0 days 00:00:03,0 days 00:00:03,0.02142857142857143,0,,,0,,
32.0,32,32,_end,8,1900-01-01 00:35:50,1900-01-01 00:36:10,"['00', '00', '20']",0.3333333333333333,1,;39,";Gikongoro, Rwanda",0,,,,0,0.0,0,,,0,,
33.0,33,33,"Gikongoro, Rwanda",5,1900-01-01 00:36:10,1900-01-01 00:36:50,"['00', '00', '40']",0.6666666666666666,0,,,0,,,,0,0.0,0,,,0,,
34.0,34,34,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 00:36:50,1900-01-01 00:38:00,"['00', '01', '10']",1.1666666666666667,2,;40;41,";Gikongoro, Rwanda;Gikongoro, Rwanda",0,,,,0,0.0,0,,,0,,
35.0,35;36;37;38;39;40;41,35;36;37;38;39;40;41,Belgium,6,1900-01-01 00:38:00,1900-01-01 00:47:10,"['00', '09', '10']",9.166666666666666,11,;42;43;44;45;46;47;48;49;50;51;52,;Belgium;Belgium;Belgium;Belgium;Belgium;Rwanda;Belgium;Belgium;Belgium;Belgium;Rwanda,9,;42;43;44;45;46;48;49;50;51,;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium;Belgium,;0 days 00:00:00;0 days 00:00:10;0 days 00:00:10;0 days 00:00:00;0 days 00:01:00;0 days 00:02:10;0 days 00:02:40;0 days 00:02:50;0 days 00:04:00,0 days 00:00:00,0.0,0,,,0,,
42.0,42,42,_end,8,1900-01-01 00:47:10,1900-01-01 00:47:20,"['00', '00', '10']",0.16666666666666666,1,;53,;Belgium,0,,,,0,0.0,0,,,0,,
43.0,43,43,Belgium,6,1900-01-01 00:47:20,1900-01-01 00:47:45,"['00', '00', '25']",0.4166666666666667,1,;54,;Rwanda,0,,,,0,0.0,0,,,0,,
44.0,44,44,"Rukondo, Rwanda",3,1900-01-01 00:47:45,1900-01-01 00:51:15,"['00', '03', '30']",3.5,2,;55;56,;Rwanda;Rwanda,0,,,,0,0.0,2,;55;56,;Rwanda;Rwanda,0,,
45.0,45,45,Belgium,6,1900-01-01 00:51:15,1900-01-01 00:51:30,"['00', '00', '15']",0.25,2,;57;58,;Belgium;Belgium,2,;57;58,;Belgium;Belgium,;0 days 00:00:05;0 days 00:00:10,0 days 00:00:05,0.3333333333333333,0,,,0,,
46.0,46,46,"l'université Nationale du Rwanda, Butare, Rwanda",2,1900-01-01 00:51:30,1900-01-01 00:53:15,"['00', '01', '45']",1.75,3,;59;60;61,";Rwanda;l'université Nationale du Rwanda, Butare, Rwanda;Canada",1,;60,";l'université Nationale du Rwanda, Butare, Rwanda",;0 days 00:00:15,0 days 00:00:15,0.14285714285714285,1,;59,;Rwanda,0,,
47.0,47,47,Canada,6,1900-01-01 00:53:15,1900-01-01 00:53:20,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
48.0,48,48,Rwanda; Canada,1,1900-01-01 00:53:20,1900-01-01 00:53:40,"['00', '00', '20']",0.3333333333333333,5,;62;63;64;65;66,;Rwanda;Canada;Canada;Canada;Canada,0,,,,0,0.0,5,;62;63;64;65;66,;Rwanda;Canada;Canada;Canada;Canada,0,,
49.0,49;50,49;50,"l'université Nationale du Rwanda, Butare, Rwanda",2,1900-01-01 00:53:40,1900-01-01 00:57:30,"['00', '03', '50']",3.8333333333333335,2,;67;68,";Africa;l'université Nationale du Rwanda, Butare, Rwanda",1,;68,";l'université Nationale du Rwanda, Butare, Rwanda",;0 days 00:03:40,0 days 00:03:40,0.9565217391304348,0,,,0,,
51.0,51,51,"Butare, Rwanda",4,1900-01-01 00:57:30,1900-01-01 01:02:00,"['00', '04', '30']",4.5,4,;69;70;71;72,";Belgium;Canada;l'hotel ibis, Butare, Rwanda;l'hotel faucon, Butare, Rwanda",0,,,,0,0.0,0,,,2,;71;72,";l'hotel ibis, Butare, Rwanda;l'hotel faucon, Butare, Rwanda"
52.0,52;53,52;53,"Kinshasa, Democratic Republic of Congo",4,1900-01-01 01:02:00,1900-01-01 01:06:00,"['00', '04', '00']",4.0,7,;73;74;75;76;77;78;79,";Kinshasa, Democratic Republic of Congo;Canada;Canada;Kinshasa, Democratic Republic of Congo;l'ambassade du Canada, Kinshasa, Democratic Republic of Congo;Bureau de l'immigration, Kigali, Rwanda;Kinshasa, Democratic Republic of Congo",3,;73;76;79,";Kinshasa, Democratic Republic of Congo;Kinshasa, Democratic Republic of Congo;Kinshasa, Democratic Republic of Congo",;0 days 00:00:00;0 days 00:01:02;0 days 00:02:50,0 days 00:00:00,0.0,0,,,1,;77,";l'ambassade du Canada, Kinshasa, Democratic Republic of Congo"
54.0,54,54,Canada,6,1900-01-01 01:06:15,1900-01-01 01:06:35,"['00', '00', '20']",0.3333333333333333,1,;81,;Canada,1,;81,;Canada,;0 days 00:00:15,0 days 00:00:15,0.75,0,,,0,,
55.0,55,55,"Montreal, Canada",4,1900-01-01 01:06:35,1900-01-01 01:07:30,"['00', '00', '55']",0.9166666666666666,3,;82;83;84,";Belgium;UQAM, Montréal, Canada;UQAM, Montréal, Canada",0,,,,0,0.0,0,,,0,,
56.0,56,56,Canada,6,1900-01-01 01:07:30,1900-01-01 01:07:45,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
57.0,57;58,57;58,"Montreal, Canada",4,1900-01-01 01:07:45,1900-01-01 01:09:00,"['00', '01', '15']",1.25,2,;85;86,;Belgium;Rwanda,0,,,,0,0.0,0,,,0,,
59.0,59,59,"Ottawa, Canada",4,1900-01-01 01:09:00,1900-01-01 01:12:40,"['00', '03', '40']",3.6666666666666665,10,;87;88;89;90;91;92;93;94;95;96,";Université de Montréal, Montréal, Canada;Université de Montréal, Montréal, Canada;l'ACDI, Ottawa, Canada;Africa;Rwanda;Rwanda;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada",0,,,,0,0.0,0,,,5,;89;93;94;95;96,";l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada;l'ACDI, Ottawa, Canada"
60.0,60,60,_end,8,1900-01-01 01:12:40,1900-01-01 01:12:45,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
61.0,61,61,"Ottawa, Canada",4,1900-01-01 01:12:45,1900-01-01 01:18:35,"['00', '05', '50']",5.833333333333333,5,;97;98;99;100;101,";Ottawa, Canada;Ottawa, Canada;Rwanda;l'université de Montréal, Montréal, Canada;UQAM, Montréal, Canada",2,;97;98,";Ottawa, Canada;Ottawa, Canada",;0 days 00:00:10;0 days 00:00:20,0 days 00:00:10,0.02857142857142857,0,,,0,,
62.0,62,62,Canada,6,1900-01-01 01:18:35,1900-01-01 01:18:50,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
63.0,63,63,"Montreal, Canada",4,1900-01-01 01:18:50,1900-01-01 01:22:15,"['00', '03', '25']",3.4166666666666665,11,;102;103;104;105;106;107;108;109;110;111;112,";Rwanda;Canada;l'ACDI, Ottawa, Canada;Canada;NYC, USA;Montreal, Canada;Montreal, Canada;l'université Nationale du Rwanda, Butare, Rwanda;Citizenship and Immigration Canada, Montreal, Canada;Consulat général du Canada à New York, NYC, USA;NYC, USA",2,;107;108,";Montreal, Canada;Montreal, Canada",;0 days 00:01:50;0 days 00:01:52,0 days 00:01:50,0.5365853658536586,2,;103;105,;Canada;Canada,1,;110,";Citizenship and Immigration Canada, Montreal, Canada"
64.0,64,64,_end,8,1900-01-01 01:22:15,1900-01-01 01:22:25,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
65.0,65,65,"Montreal, Canada",4,1900-01-01 01:22:25,1900-01-01 01:25:30,"['00', '03', '05']",3.0833333333333335,6,;113;114;115;116;117;118,";l'ACDI, Ottawa, Canada;l'université du Québec à Trois-Rivières, Trois-Rivières, Canada;Trois-Rivières, Canada;Trois-Rivières, Canada;Trois-Rivières, Canada;l'ACDI, Ottawa, Canada",0,,,,0,0.0,0,,,0,,
66.0,66,66,_end,8,1900-01-01 01:25:30,1900-01-01 01:26:10,"['00', '00', '40']",0.6666666666666666,1,;119,";Trois-Rivières, Canada",0,,,,0,0.0,0,,,0,,
67.0,67,67,"Quebec, Canada",5,1900-01-01 01:26:10,1900-01-01 01:29:45,"['00', '03', '35']",3.5833333333333335,2,;120;121,";Middle East;Quebec, Canada",1,;121,";Quebec, Canada",;0 days 00:03:20,0 days 00:03:20,0.9302325581395349,0,,,0,,
68.0,68;69,68;69,Rwanda,6,1900-01-01 01:29:45,1900-01-01 01:30:55,"['00', '01', '10']",1.1666666666666667,2,;122;123,";Quebec, Canada;Rwanda",1,;123,;Rwanda,;0 days 00:00:15,0 days 00:00:15,0.21428571428571427,0,,,0,,
70.0,70;71;72,70;71;72,"Trois-Rivières, Quebec",4,1900-01-01 01:30:55,1900-01-01 01:37:00,"['00', '06', '05']",6.083333333333333,10,;124;125;126;127;128;129;130;131;132;133,";Rwanda;Trois-Rivières, Canada;Montreal, Canada;USA;NYC, USA;Rwanda;Rwanda;Kigali, Rwanda;Butare, Rwanda;Butare, Rwanda",0,,,,0,0.0,0,,,0,,
73.0,73,73,"Karama, Rwanda",3,1900-01-01 01:37:00,1900-01-01 01:42:00,"['00', '05', '00']",5.0,2,;134;135,";Karama, Rwanda;La Rivière Rukarara, Rwanda",1,;134,";Karama, Rwanda",;0 days 00:00:00,0 days 00:00:00,0.0,0,,,0,,
74.0,74,74,"Cyanika, Rwanda",3,1900-01-01 01:42:00,1900-01-01 01:43:30,"['00', '01', '30']",1.5,3,;136;137;138,";Cyanika, Rwanda;Cyanika, Rwanda;Groupe scholaire de Butare, Rwanda",2,;136;137,";Cyanika, Rwanda;Cyanika, Rwanda",;0 days 00:00:00;0 days 00:00:45,0 days 00:00:00,0.0,0,,,0,,
75.0,75,75,"Groupe scholaire de Butare, Rwanda",2,1900-01-01 01:43:30,1900-01-01 01:46:10,"['00', '02', '40']",2.6666666666666665,0,,,0,,,,0,0.0,0,,,0,,
