agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1,1.0,_end,8,1900-01-01 00:00:00,1900-01-01 00:00:30,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
2.0,2,2.0,Rwanda,6,1900-01-01 00:00:30,1900-01-01 00:01:44,"['00', '01', '14']",1.2333333333333334,0,,,0,,,,0,0.0,0,,,0,,
3.0,3,3.0,_end,8,1900-01-01 00:01:44,1900-01-01 00:01:55,"['00', '00', '11']",0.18333333333333332,0,,,0,,,,0,0.0,0,,,0,,
4.0,4,4.0,Rwanda,6,1900-01-01 00:01:55,1900-01-01 00:04:26,"['00', '02', '31']",2.5166666666666666,0,,,0,,,,0,0.0,0,,,0,,
5.0,5,5.0,_end,8,1900-01-01 00:04:26,1900-01-01 00:04:30,"['00', '00', '04']",0.06666666666666667,0,,,0,,,,0,0.0,0,,,0,,
6.0,6,6.0,Rwanda,6,1900-01-01 00:04:30,1900-01-01 00:04:50,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
7.0,7,7.0,_end,8,1900-01-01 00:04:50,1900-01-01 00:05:00,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
8.0,8,8.0,Rwanda,6,1900-01-01 00:05:00,1900-01-01 00:06:27,"['00', '01', '27']",1.45,0,,,0,,,,0,0.0,0,,,0,,
9.0,9,9.0,_end,8,1900-01-01 00:06:27,1900-01-01 00:06:35,"['00', '00', '08']",0.13333333333333333,0,,,0,,,,0,0.0,0,,,0,,
10.0,10;11,10.0;11.0,Rwanda,6,1900-01-01 00:06:35,1900-01-01 00:08:45,"['00', '02', '10']",2.1666666666666665,1,;1,";Bujumbura, Burundi",0,,,,0,0.0,0,,,0,,
12.0,12,12.0,_end,8,1900-01-01 00:08:45,1900-01-01 00:09:08,"['00', '00', '23']",0.38333333333333336,0,,,0,,,,0,0.0,0,,,0,,
13.0,13,13.0,Rwanda,6,1900-01-01 00:09:08,1900-01-01 00:11:10,"['00', '02', '02']",2.033333333333333,0,,,0,,,,0,0.0,0,,,0,,
14.0,14,14.0,_end,8,1900-01-01 00:11:10,1900-01-01 00:11:14,"['00', '00', '04']",0.06666666666666667,0,,,0,,,,0,0.0,0,,,0,,
15.0,15,15.0,Rwanda,6,1900-01-01 00:11:14,1900-01-01 00:11:48,"['00', '00', '34']",0.5666666666666667,0,,,0,,,,0,0.0,0,,,0,,
16.0,16,16.0,_end,8,1900-01-01 00:11:48,1900-01-01 00:11:56,"['00', '00', '08']",0.13333333333333333,0,,,0,,,,0,0.0,0,,,0,,
17.0,17,17.0,"Kaduha, Rwanda",3,1900-01-01 00:11:56,1900-01-01 00:12:25,"['00', '00', '29']",0.48333333333333334,0,,,0,,,,0,0.0,0,,,0,,
18.0,18,18.0,Rwanda,6,1900-01-01 00:12:25,1900-01-01 00:13:40,"['00', '01', '15']",1.25,1,;2,;Rwanda,1,;2,;Rwanda,;0 days 00:00:28,0 days 00:00:28,0.37333333333333335,0,,,0,,
