agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1;2;3,1.0;2.0;3.0,_end,8,1900-01-01 00:00:00,1900-01-01 00:02:10,"['00', '02', '10']",2.1666666666666665,5,;1;2;3;4;5,;Africa;Democratic Republic of Congo;England;Canada;Ethiopia,0,,,,0,0.0,0,,,0,,
4.0,4;5;6;7;8,4.0;5.0;6.0;7.0;8.0,Rwanda,6,1900-01-01 00:02:10,1900-01-01 00:21:25,"['00', '19', '15']",19.25,3,;6;7;13,;Rwanda;Rwanda;Democratic Republic of Congo,2,;6;7,;Rwanda;Rwanda,;0 days 00:03:50;0 days 00:11:35,0 days 00:03:50,0.19913419913419914,0,,,0,,
9.0,9;10,9.0;10.0,"Kibuye, Rwanda",3,1900-01-01 00:21:25,1900-01-01 00:24:15,"['00', '02', '50']",2.8333333333333335,2,;8;9,";Nyanza, Rwanda;Nyanza, Rwanda",0,,,,0,0.0,0,,,0,,
11.0,11,11.0,"Lac Kivu, Rwanda",4,1900-01-01 00:24:15,1900-01-01 00:26:50,"['00', '02', '35']",2.5833333333333335,1,;10,";Lac Kivu, Rwanda",1,;10,";Lac Kivu, Rwanda",;0 days 00:00:48,0 days 00:00:48,0.3096774193548387,0,,,0,,
12.0,12,12.0,Rwanda,6,1900-01-01 00:26:50,1900-01-01 00:27:10,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
13.0,13,13.0,Democratic Republic of Congo,6,1900-01-01 00:27:10,1900-01-01 00:30:50,"['00', '03', '40']",3.6666666666666665,5,;11;12;14;15;16,;Rwanda;Democratic Republic of Congo;Rwanda;Rwanda;Democratic Republic of Congo,2,;12;16,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:01:10;0 days 00:03:10,0 days 00:01:10,0.3181818181818182,0,,,0,,
14.0,14,14.0,"Kibuye, Rwanda",3,1900-01-01 00:30:50,1900-01-01 00:36:10,"['00', '05', '20']",5.333333333333333,0,,,0,,,,0,0.0,0,,,0,,
15.0,15,15.0,Rwanda,6,1900-01-01 00:36:10,1900-01-01 00:40:10,"['00', '04', '00']",4.0,2,;17;18,";Kigali, Rwanda;Democratic Republic of Congo",0,,,,0,0.0,0,,,1,;17,";Kigali, Rwanda"
16.0,16,16.0,"Kibuye, Rwanda",3,1900-01-01 00:40:10,1900-01-01 00:40:40,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
17.0,17,17.0,Democratic Republic of Congo,6,1900-01-01 00:40:40,1900-01-01 00:41:30,"['00', '00', '50']",0.8333333333333334,1,;19,;Rwanda,0,,,,0,0.0,0,,,0,,
18.0,18;19;20,18.0;19.0;20.0,"Kibuye, Rwanda",3,1900-01-01 00:41:30,1900-01-01 00:46:15,"['00', '04', '45']",4.75,0,,,0,,,,0,0.0,0,,,0,,
21.0,21;22,21.0;22.0,_end,8,1900-01-01 00:46:15,1900-01-01 00:49:05,"['00', '02', '50']",2.8333333333333335,2,;20;21,";Tripoli, Libya;Canada",0,,,,0,0.0,0,,,0,,
