id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order,agg_su_id,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1.0,1.0,0.0,0.0,1900-01-01 00:00:00,1900-01-01 00:00:15,_end,none,,,8,1.0,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
2,1.0,2.0,,,1900-01-01 00:00:15,1900-01-01 00:00:22,"Montreal, Canada",Montreal; Canada,city / area,,4,2.0,"['00', '00', '07']",0.11666666666666667,0,,,0,,,,0,0.0,0,,,0,,
3,1.0,3.0,,,1900-01-01 00:00:22,1900-01-01 00:00:24,_end,unknown,,,8,3.0,"['00', '00', '02']",0.03333333333333333,0,,,0,,,,0,0.0,0,,,0,,
4,1.0,4.0,,,1900-01-01 00:00:24,1900-01-01 00:00:30,"Montreal, Canada",Montreal; Canada,city / area,,4,4.0,"['00', '00', '06']",0.1,2,;1;2,";Montreal, Canada;Quebec, Canada",1,;1,";Montreal, Canada",;0 days 00:00:02,0 days 00:00:02,0.3333333333333333,0,,,0,,
5,1.0,5.0,,,1900-01-01 00:00:30,1900-01-01 00:00:41,_end,none,,,8,5.0,"['00', '00', '11']",0.18333333333333332,0,,,0,,,,0,0.0,0,,,0,,
6,1.0,6.0,,,1900-01-01 00:00:41,1900-01-01 00:02:43,"Montreal, Canada",Montreal; Canada,city / area,,4,6.0,"['00', '02', '02']",2.033333333333333,6,;3;4;5;6;7;8,";Montreal, Canada;Quebec, Canada;Quebec, Canada;Quebec, Canada;Haiti;Quebec, Canada",1,;3,";Montreal, Canada",;0 days 00:00:05,0 days 00:00:05,0.040983606557377046,0,,,0,,
7,1.0,7.0,,,1900-01-01 00:02:43,1900-01-01 00:02:50,"Montreal, Canada",Montreal; Canada,city / area,,4,6.0,"['00', '00', '07']",0.11666666666666667,0,,,0,,,,0,0.0,0,,,0,,
8,1.0,8.0,,,1900-01-01 00:02:50,1900-01-01 00:03:23,_end,none,,,8,8.0,"['00', '00', '33']",0.55,0,,,0,,,,0,0.0,0,,,0,,
9,1.0,9.0,,,1900-01-01 00:03:23,1900-01-01 00:03:29,_end,none,,,8,8.0,"['00', '00', '06']",0.1,0,,,0,,,,0,0.0,0,,,0,,
10,1.0,10.0,,,1900-01-01 00:03:29,1900-01-01 00:05:05,Haiti,Haiti; Montreal,country,,6,10.0,"['00', '01', '36']",1.6,10,;9;10;11;12;13;14;15;16;17;18,";Cuba;Cuba;Haiti;Haiti;Canada;Montreal, Canada;Montreal, Canada;Montreal, Canada;Haiti;Montreal, Canada",3,;11;12;17,;Haiti;Haiti;Haiti,;0 days 00:00:16;0 days 00:00:35;0 days 00:01:26,0 days 00:00:16,0.16666666666666666,0,,,0,,
