agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1,1,_end,8,1/1/1900 0:00,1/1/1900 0:00,"['00', '00', '30']",0.5,0,,,0,,,,0,0,0,,,0,,
2,2,2,Rwanda,6,1/1/1900 0:00,1/1/1900 0:01,"['00', '01', '14']",1.233333333,0,,,0,,,,0,0,0,,,0,,
3,3,3,_end,8,1/1/1900 0:01,1/1/1900 0:01,"['00', '00', '11']",0.183333333,0,,,0,,,,0,0,0,,,0,,
4,4,4,Rwanda,6,1/1/1900 0:01,1/1/1900 0:04,"['00', '02', '31']",2.516666667,0,,,0,,,,0,0,0,,,0,,
5,5,5,_end,8,1/1/1900 0:04,1/1/1900 0:04,"['00', '00', '04']",0.066666667,0,,,0,,,,0,0,0,,,0,,
6,6,6,Rwanda,6,1/1/1900 0:04,1/1/1900 0:04,"['00', '00', '20']",0.333333333,0,,,0,,,,0,0,0,,,0,,
7,7,7,_end,8,1/1/1900 0:04,1/1/1900 0:05,"['00', '00', '10']",0.166666667,0,,,0,,,,0,0,0,,,0,,
8,8,8,Rwanda,6,1/1/1900 0:05,1/1/1900 0:06,"['00', '01', '27']",1.45,0,,,0,,,,0,0,0,,,0,,
9,9,9,_end,8,1/1/1900 0:06,1/1/1900 0:06,"['00', '00', '08']",0.133333333,0,,,0,,,,0,0,0,,,0,,
10,10;11,10.0;11.0,Rwanda,6,1/1/1900 0:06,1/1/1900 0:08,"['00', '02', '10']",2.166666667,1,;1,";Bujumbura, Burundi",0,,,,0,0,0,,,0,,
12,12,12,_end,8,1/1/1900 0:08,1/1/1900 0:09,"['00', '00', '23']",0.383333333,0,,,0,,,,0,0,0,,,0,,
13,13,13,Rwanda,6,1/1/1900 0:09,1/1/1900 0:11,"['00', '02', '02']",2.033333333,0,,,0,,,,0,0,0,,,0,,
14,14,14,_end,8,1/1/1900 0:11,1/1/1900 0:11,"['00', '00', '04']",0.066666667,0,,,0,,,,0,0,0,,,0,,
15,15,15,Rwanda,6,1/1/1900 0:11,1/1/1900 0:11,"['00', '00', '34']",0.566666667,0,,,0,,,,0,0,0,,,0,,
16,16,16,_end,8,1/1/1900 0:11,1/1/1900 0:11,"['00', '00', '08']",0.133333333,0,,,0,,,,0,0,0,,,0,,
17,17,17,"Kaduha, Rwanda",3,1/1/1900 0:11,1/1/1900 0:12,"['00', '00', '29']",0.483333333,0,,,0,,,,0,0,0,,,0,,
18,18,18,Rwanda,6,1/1/1900 0:12,1/1/1900 0:13,"['00', '01', '15']",1.25,1,;2,;Rwanda,1,;2,;Rwanda,;0 days 00:00:28,0 days 00:00:28,0.373333333,0,,,0,,
19,19,19,"Nyanza, Rwanda",3,1/1/1900 0:13,1/1/1900 0:14,"['00', '00', '30']",0.5,2,;3;4,";Nyanza, Rwanda;Nyanza, Rwanda",2,;3;4,";Nyanza, Rwanda;Nyanza, Rwanda",;0 days 00:00:02;0 days 00:00:09,0 days 00:00:02,0.066666667,0,,,0,,
20,20,20,_end,8,1/1/1900 0:14,1/1/1900 0:14,"['00', '00', '04']",0.066666667,0,,,0,,,,0,0,0,,,0,,
21,21,21,Rwanda,6,1/1/1900 0:14,1/1/1900 0:14,"['00', '00', '10']",0.166666667,0,,,0,,,,0,0,0,,,0,,
22,22,22,_end,8,1/1/1900 0:14,1/1/1900 0:14,"['00', '00', '16']",0.266666667,0,,,0,,,,0,0,0,,,0,,
23,23;24,23.0;24.0,Rwanda,6,1/1/1900 0:14,1/1/1900 0:15,"['00', '01', '05']",1.083333333,0,,,0,,,,0,0,0,,,0,,
25,25,25,_end,8,1/1/1900 0:15,1/1/1900 0:16,"['00', '00', '35']",0.583333333,0,,,0,,,,0,0,0,,,0,,
26,26,26,Rwanda,6,1/1/1900 0:16,1/1/1900 0:16,"['00', '00', '10']",0.166666667,0,,,0,,,,0,0,0,,,0,,
27,27,27,"Nyanza, Rwanda",3,1/1/1900 0:16,1/1/1900 0:17,"['00', '01', '15']",1.25,2,;5;6,";Kaduha, Rwanda;Nyanza, Rwanda",1,;6,";Nyanza, Rwanda",;0 days 00:00:10,0 days 00:00:10,0.133333333,0,,,0,,
28,28,28,_end,8,1/1/1900 0:17,1/1/1900 0:18,"['00', '00', '16']",0.266666667,0,,,0,,,,0,0,0,,,0,,
29,29,29,"Nyanza, Rwanda",3,1/1/1900 0:18,1/1/1900 0:19,"['00', '01', '19']",1.316666667,1,;7,;Rwanda,0,,,,0,0,1,;7,;Rwanda,0,,
30,30,30,Rwanda,6,1/1/1900 0:19,1/1/1900 0:20,"['00', '00', '56']",0.933333333,0,,,0,,,,0,0,0,,,0,,
31,31;32,31.0;32.0,_end,8,1/1/1900 0:20,1/1/1900 0:20,"['00', '00', '24']",0.4,0,,,0,,,,0,0,0,,,0,,
33,33,33,"Kigali, Rwanda",4,1/1/1900 0:20,1/1/1900 0:21,"['00', '01', '00']",1,2,;8;9,";Kigali, Rwanda;Nyamata, Rwanda",1,;8,";Kigali, Rwanda",;0 days 00:00:07,0 days 00:00:07,0.116666667,0,,,0,,
34,34,34,_end,8,1/1/1900 0:21,1/1/1900 0:21,"['00', '00', '07']",0.116666667,0,,,0,,,,0,0,0,,,0,,
35,35,35,"Kigali, Rwanda",4,1/1/1900 0:21,1/1/1900 0:23,"['00', '01', '21']",1.35,2,;10;11,";Rwanda;Kigali, Rwanda",1,;11,";Kigali, Rwanda",;0 days 00:00:55,0 days 00:00:55,0.679012346,1,;10,;Rwanda,0,,
36,36,36,unknown,8,1/1/1900 0:23,1/1/1900 0:23,"['00', '00', '02']",0.033333333,0,,,0,,,,0,0,0,,,0,,
37,37,37,"Kigali, Rwanda; Gitarama, Rwanda; Kibuye, Rwanda; Gisenyi, Rwanda; Goma, Democratic Republic of Congo; Bujumbura, Burundi",1,1/1/1900 0:23,1/1/1900 0:25,"['00', '02', '16']",2.266666667,21,;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32,";Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Bujumbura, Burundi;Butare, Rwanda;Burundi;Butare, Rwanda;Kigali, Rwanda;Gitarama, Rwanda;Gitarama, Rwanda;Kibuye, Rwanda;Kibuye, Rwanda;Gisenyi, Rwanda;Gisenyi, Rwanda;Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Rwanda;Rwanda;Burundi;Burundi;Goma, Democratic Republic of Congo",0,,,,0,0,19,;12;13;14;16;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32,";Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Bujumbura, Burundi;Burundi;Kigali, Rwanda;Gitarama, Rwanda;Gitarama, Rwanda;Kibuye, Rwanda;Kibuye, Rwanda;Gisenyi, Rwanda;Gisenyi, Rwanda;Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Rwanda;Rwanda;Burundi;Burundi;Goma, Democratic Republic of Congo",0,,
38,38,38,Burundi,6,1/1/1900 0:25,1/1/1900 0:25,"['00', '00', '08']",0.133333333,0,,,0,,,,0,0,0,,,0,,
39,39,39,"Bujumbura, Burundi",4,1/1/1900 0:25,1/1/1900 0:27,"['00', '01', '58']",1.966666667,2,;33;34,";Bujumbura, Burundi;Bujumbura, Burundi",2,;33;34,";Bujumbura, Burundi;Bujumbura, Burundi",;0 days 00:00:02;0 days 00:01:28,0 days 00:00:02,0.016949153,0,,,0,,
40,40,40,_end,8,1/1/1900 0:27,1/1/1900 0:27,"['00', '00', '08']",0.133333333,0,,,0,,,,0,0,0,,,0,,
41,41,41,Burundi,6,1/1/1900 0:27,1/1/1900 0:28,"['00', '01', '15']",1.25,1,;35,;Burundi,1,;35,;Burundi,;0 days 00:00:09,0 days 00:00:09,0.12,0,,,0,,
42,42,42,"Metalusa, Bujumbura, Burundi",2,1/1/1900 0:28,1/1/1900 0:30,"['00', '01', '14']",1.233333333,2,;36;37,";Metalusa, Bujumbura, Burundi;Burundi",1,;36,";Metalusa, Bujumbura, Burundi",;0 days 00:00:05,0 days 00:00:05,0.067567568,1,;37,;Burundi,0,,
43,43;44,43.0;44.0,Burundi,6,1/1/1900 0:30,1/1/1900 0:31,"['00', '01', '15']",1.25,4,;38;39;40;41,;Burundi;Burundi;Burundi;Rwanda,3,;38;39;40,;Burundi;Burundi;Burundi,;0 days 00:00:05;0 days 00:00:54;0 days 00:01:01,0 days 00:00:05,0.066666667,0,,,0,,
45,45,45,Burundi; Democratic Republic of Congo,1,1/1/1900 0:31,1/1/1900 0:32,"['00', '00', '56']",0.933333333,6,;42;43;44;45;46;47,";Bukavu, Democratic Republic of Congo;Bujumbura, Burundi;Democratic Republic of Congo;Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Burundi",0,,,,0,0,3,;44;45;47,;Democratic Republic of Congo;Democratic Republic of Congo;Burundi,0,,
46,46,46,_end,8,1/1/1900 0:32,1/1/1900 0:32,"['00', '00', '03']",0.05,0,,,0,,,,0,0,0,,,0,,
47,47,47,Democratic Republic of Congo,6,1/1/1900 0:32,1/1/1900 0:33,"['00', '00', '37']",0.616666667,2,;48;49,";Democratic Republic of Congo;Bukavu, Democratic Republic of Congo",1,;48,;Democratic Republic of Congo,;0 days 00:00:07,0 days 00:00:07,0.189189189,0,,,1,;49,";Bukavu, Democratic Republic of Congo"
48,48,48,"Bukavu, Democratic Republic of Congo; Goma, Democratic Republic of Congo; Gisenyi, Rwanda; Kigali, Rwanda; Nyamata, Rwanda",1,1/1/1900 0:33,1/1/1900 0:33,"['00', '00', '30']",0.5,6,;50;51;52;53;54;55,";Cyangugu, Rwanda;Goma, Democratic Republic of Congo;Gisenyi, Rwanda;Kigali, Rwanda;Kigali, Rwanda;Nyamata, Rwanda",0,,,,0,0,5,;51;52;53;54;55,";Goma, Democratic Republic of Congo;Gisenyi, Rwanda;Kigali, Rwanda;Kigali, Rwanda;Nyamata, Rwanda",0,,
49,49,49,"Nyamata, Rwanda",3,1/1/1900 0:33,1/1/1900 0:34,"['00', '01', '15']",1.25,4,;56;57;58;59,";Nyamata, Rwanda;Nyamata, Rwanda;Rwanda;Burundi",2,;56;57,";Nyamata, Rwanda;Nyamata, Rwanda",;0 days 00:00:19;0 days 00:00:29,0 days 00:00:19,0.253333333,1,;58,;Rwanda,0,,
50,50,50,Democratic Republic of Congo,6,1/1/1900 0:34,1/1/1900 0:35,"['00', '00', '15']",0.25,3,;60;61;62,;Burundi;Democratic Republic of Congo;Democratic Republic of Congo,2,;61;62,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:00:12;0 days 00:00:13,0 days 00:00:12,0.8,0,,,0,,
51,51;52,51.0;52.0,"Bukavu, Democratic Republic of Congo",4,1/1/1900 0:35,1/1/1900 0:36,"['00', '01', '43']",1.716666667,0,,,0,,,,0,0,0,,,0,,
53,53;54,53.0;54.0,Democratic Republic of Congo,6,1/1/1900 0:36,1/1/1900 0:39,"['00', '03', '03']",3.05,2,;63;64,;Burundi;Democratic Republic of Congo,1,;64,;Democratic Republic of Congo,;0 days 00:00:17,0 days 00:00:17,0.092896175,0,,,0,,
55,55,55,_end,8,1/1/1900 0:39,1/1/1900 0:40,"['00', '00', '49']",0.816666667,0,,,0,,,,0,0,0,,,0,,
56,56,56,Democratic Republic of Congo,6,1/1/1900 0:40,1/1/1900 0:41,"['00', '00', '38']",0.633333333,0,,,0,,,,0,0,0,,,0,,
57,57;58;59;60;61;62;63;64;65;66,57.0;58.0;59.0;60.0;61.0;62.0;63.0;64.0;65.0;66.0,_end,8,1/1/1900 0:41,1/1/1900 0:45,"['00', '04', '30']",4.5,3,;65;66;67,";Democratic Republic of Congo;Democratic Republic of Congo;Bukavu, Democratic Republic of Congo",0,,,,0,0,0,,,0,,
67,67;68;69,67.0;68.0;69.0,"Bukavu, Democratic Republic of Congo",4,1/1/1900 0:45,1/1/1900 0:46,"['00', '00', '27']",0.45,2,;68;69,";Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo",2,;68;69,";Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo",;0 days 00:00:06;0 days 00:00:15,0 days 00:00:06,0.222222222,0,,,0,,
70,70,70,Democratic Republic of Congo,6,1/1/1900 0:46,1/1/1900 0:48,"['00', '02', '23']",2.383333333,6,;70;71;72;73;74;75,";Democratic Republic of Congo;Rwanda;Democratic Republic of Congo;African Great Lakes;Bukavu, Democratic Republic of Congo;Burundi",2,;70;72,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:00:09;0 days 00:01:40,0 days 00:00:09,0.062937063,0,,,1,;74,";Bukavu, Democratic Republic of Congo"
71,71,71,"Bujumbura, Burundi",4,1/1/1900 0:48,1/1/1900 0:50,"['00', '01', '42']",1.7,7,;76;77;78;79;80;81;82,";Bujumbura, Burundi;Bujumbura, Burundi;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Bujumbura, Burundi;Rwanda",3,;76;77;81,";Bujumbura, Burundi;Bujumbura, Burundi;Bujumbura, Burundi",;0 days 00:00:01;0 days 00:00:11;0 days 00:01:36,0 days 00:00:01,0.009803922,0,,,0,,
72,72,72,"Bukavu, Democratic Republic of Congo; Bujumbura, Burundi",1,1/1/1900 0:50,1/1/1900 0:50,"['00', '00', '39']",0.65,2,;83;84,";Bugarama, Rwanda;Rwanda",0,,,,0,0,0,,,0,,
73,73;74,73.0;74.0,"Bujumbura, Burundi",4,1/1/1900 0:50,1/1/1900 0:51,"['00', '00', '12']",0.2,1,;85,";Bujumbura, Burundi",1,;85,";Bujumbura, Burundi",;0 days 00:00:00,0 days 00:00:00,0,0,,,0,,
75,75,75,"Bugesera, Rwanda",4,1/1/1900 0:51,1/1/1900 0:51,"['00', '00', '41']",0.683333333,4,;86;87;88;89,";Rwanda;Nyamata, Rwanda;Bugesera, Rwanda;Bujumbura, Burundi",1,;88,";Bugesera, Rwanda",;0 days 00:00:25,0 days 00:00:25,0.609756098,1,;86,;Rwanda,0,,
76,76,76,_end,8,1/1/1900 0:51,1/1/1900 0:51,"['00', '00', '03']",0.05,0,,,0,,,,0,0,0,,,0,,
77,77,77,"Bukavu, Democratic Republic of Congo",4,1/1/1900 0:51,1/1/1900 0:52,"['00', '00', '15']",0.25,2,;90;91,";Bukavu, Democratic Republic of Congo;Nyamata, Rwanda",1,;90,";Bukavu, Democratic Republic of Congo",;0 days 00:00:04,0 days 00:00:04,0.266666667,0,,,0,,
78,78,78,"Bujumbura, Burundi",4,1/1/1900 0:52,1/1/1900 0:52,"['00', '00', '03']",0.05,0,,,0,,,,0,0,0,,,0,,
79,79;80;81,79.0;80.0;81.0,Rwanda,6,1/1/1900 0:52,1/1/1900 0:56,"['00', '04', '31']",4.516666667,8,;92;93;94;95;96;97;98;99,";Uganda;Burundi;Uganda;Cyangugu, Rwanda;Rwanda;Rwanda;Democratic Republic of Congo;Burundi",2,;96;97,;Rwanda;Rwanda,;0 days 00:01:13;0 days 00:02:08,0 days 00:01:13,0.269372694,0,,,1,;95,";Cyangugu, Rwanda"
82,82;83;84;85,82.0;83.0;84.0;85.0,"Bujumbura, Burundi",4,1/1/1900 0:56,1/1/1900 1:04,"['00', '07', '58']",7.966666667,14,;100;101;102;103;104;105;106;107;108;109;110;111;112;113,";Bujumbura, Burundi;Bujumbura, Burundi;Democratic Republic of Congo;Democratic Republic of Congo;Uvira, Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Burundi;Bukavu, Democratic Republic of Congo;Rwanda;France;Rwanda;Bukavu, Democratic Republic of Congo",2,;100;101,";Bujumbura, Burundi;Bujumbura, Burundi",;0 days 00:00:03;0 days 00:01:51,0 days 00:00:03,0.006276151,1,;108,;Burundi,0,,
