agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1,1.0,_end,8,1900-01-01 00:00:00,1900-01-01 00:00:20,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
2.0,2,2.0,Cuba,6,1900-01-01 00:00:20,1900-01-01 00:00:35,"['00', '00', '15']",0.25,1,;1,;Cuba,1,;1,;Cuba,;0 days 00:00:05,0 days 00:00:05,0.3333333333333333,0,,,0,,
3.0,3,3.0,"Pétionville, Haiti",3,1900-01-01 00:00:35,1900-01-01 00:01:25,"['00', '00', '50']",0.8333333333333334,1,;2,";Pétionville, Haiti",1,;2,";Pétionville, Haiti",;0 days 00:00:00,0 days 00:00:00,0.0,0,,,0,,
4.0,4,4.0,_end,8,1900-01-01 00:01:25,1900-01-01 00:01:40,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
5.0,5,5.0,"Pétionville, Haiti",3,1900-01-01 00:01:40,1900-01-01 00:02:00,"['00', '00', '20']",0.3333333333333333,1,;3,;L'école des soeurs la sagesse de Pétionville (?),0,,,,0,0.0,0,,,0,,
6.0,6,6.0,"Institut George Marc, Port-au-Prince, Haiti",2,1900-01-01 00:02:03,1900-01-01 00:02:06,"['00', '00', '03']",0.05,1,;4,";Institut George Marc, Port-au-Prince, Haiti",1,;4,";Institut George Marc, Port-au-Prince, Haiti",;0 days 00:00:00,0 days 00:00:00,0.0,0,,,0,,
7.0,7,7.0,"College Fernand Prosper, Port-au-Prince, Haiti",2,1900-01-01 00:02:06,1900-01-01 00:02:30,"['00', '00', '24']",0.4,3,;5;6;7,";College Fernand Prosper, Port-au-Prince, Haiti;College Fernand Prosper, Port-au-Prince, Haiti;College Fernand Prosper, Port-au-Prince, Haiti",3,;5;6;7,";College Fernand Prosper, Port-au-Prince, Haiti;College Fernand Prosper, Port-au-Prince, Haiti;College Fernand Prosper, Port-au-Prince, Haiti",;0 days 00:00:00;0 days 00:00:03;0 days 00:00:07,0 days 00:00:00,0.0,0,,,0,,
8.0,8;9,8.0;9.0,_end,8,1900-01-01 00:02:32,1900-01-01 00:02:59,"['00', '00', '27']",0.45,0,,,0,,,,0,0.0,0,,,0,,
10.0,10,10.0,"Pétionville, Haiti",3,1900-01-01 00:03:00,1900-01-01 00:04:27,"['00', '01', '27']",1.45,0,,,0,,,,0,0.0,0,,,0,,
11.0,11,11.0,_end,8,1900-01-01 00:04:27,1900-01-01 00:04:39,"['00', '00', '12']",0.2,0,,,0,,,,0,0.0,0,,,0,,
