agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1,1.0,_end,8,1900-01-01 00:00:00,1900-01-01 00:00:15,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
2.0,2,2.0,"Montreal, Canada",4,1900-01-01 00:00:15,1900-01-01 00:00:22,"['00', '00', '07']",0.11666666666666667,0,,,0,,,,0,0.0,0,,,0,,
3.0,3,3.0,_end,8,1900-01-01 00:00:22,1900-01-01 00:00:24,"['00', '00', '02']",0.03333333333333333,0,,,0,,,,0,0.0,0,,,0,,
4.0,4,4.0,"Montreal, Canada",4,1900-01-01 00:00:24,1900-01-01 00:00:30,"['00', '00', '06']",0.1,2,;1;2,";Montreal, Canada;Quebec, Canada",1,;1,";Montreal, Canada",;0 days 00:00:02,0 days 00:00:02,0.3333333333333333,0,,,0,,
5.0,5,5.0,_end,8,1900-01-01 00:00:30,1900-01-01 00:00:41,"['00', '00', '11']",0.18333333333333332,0,,,0,,,,0,0.0,0,,,0,,
6.0,6;7,6.0;7.0,"Montreal, Canada",4,1900-01-01 00:00:41,1900-01-01 00:02:50,"['00', '02', '09']",2.15,6,;3;4;5;6;7;8,";Montreal, Canada;Quebec, Canada;Quebec, Canada;Quebec, Canada;Haiti;Quebec, Canada",1,;3,";Montreal, Canada",;0 days 00:00:05,0 days 00:00:05,0.03875968992248062,0,,,0,,
8.0,8;9,8.0;9.0,_end,8,1900-01-01 00:02:50,1900-01-01 00:03:29,"['00', '00', '39']",0.65,0,,,0,,,,0,0.0,0,,,0,,
10.0,10,10.0,Haiti,6,1900-01-01 00:03:29,1900-01-01 00:05:05,"['00', '01', '36']",1.6,10,;9;10;11;12;13;14;15;16;17;18,";Cuba;Cuba;Haiti;Haiti;Canada;Montreal, Canada;Montreal, Canada;Montreal, Canada;Haiti;Montreal, Canada",3,;11;12;17,;Haiti;Haiti;Haiti,;0 days 00:00:16;0 days 00:00:35;0 days 00:01:26,0 days 00:00:16,0.16666666666666666,0,,,0,,
11.0,11,nan,"Montreal, Canada",4,1900-01-01 00:03:29,1900-01-01 00:05:05,"['00', '01', '36']",1.6,10,;9;10;11;12;13;14;15;16;17;18,";Cuba;Cuba;Haiti;Haiti;Canada;Montreal, Canada;Montreal, Canada;Montreal, Canada;Haiti;Montreal, Canada",4,;14;15;16;18,";Montreal, Canada;Montreal, Canada;Montreal, Canada;Montreal, Canada",;0 days 00:01:05;0 days 00:01:11;0 days 00:01:19;0 days 00:01:35,0 days 00:01:05,0.6770833333333334,1,;13,;Canada,0,,
12.0,12;13;14,11.0;12.0;13.0,Haiti,6,1900-01-01 00:05:05,1900-01-01 00:10:12,"['00', '05', '07']",5.116666666666666,13,;19;20;21;22;23;24;25;26;27;28;29;30;31,";Haiti;Haiti;Haiti;Cap-Haitien, Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Canada;Quebec, Canada;Haiti",10,;19;20;21;23;24;25;26;27;28;31,;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti;Haiti,;0 days 00:00:05;0 days 00:00:06;0 days 00:00:30;0 days 00:02:21;0 days 00:02:37;0 days 00:02:58;0 days 00:03:48;0 days 00:03:57;0 days 00:04:15;0 days 00:04:53,0 days 00:00:05,0.016286644951140065,0,,,1,;22,";Cap-Haitien, Haiti"
15.0,15,14.0,"Marchand Dessalines, Haiti",4,1900-01-01 00:10:12,1900-01-01 00:13:20,"['00', '03', '08']",3.1333333333333333,4,;32;33;34;35,";Marchand Dessalines, Haiti;Artibonite, Haiti;Haiti;Haiti",1,;32,";Marchand Dessalines, Haiti",;0 days 00:00:03,0 days 00:00:03,0.015957446808510637,2,;34;35,;Haiti;Haiti,0,,
16.0,16,15.0,_end,8,1900-01-01 00:13:20,1900-01-01 00:13:30,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
17.0,17,16.0,Haiti,6,1900-01-01 00:13:30,1900-01-01 00:14:02,"['00', '00', '32']",0.5333333333333333,4,;36;37;38;39,;Canada;Canada;USA;Canada,0,,,,0,0.0,0,,,0,,
18.0,18,nan,Canada,6,1900-01-01 00:13:30,1900-01-01 00:14:02,"['00', '00', '32']",0.5333333333333333,4,;36;37;38;39,;Canada;Canada;USA;Canada,3,;36;37;39,;Canada;Canada;Canada,;0 days 00:00:06;0 days 00:00:23;0 days 00:00:31,0 days 00:00:06,0.1875,0,,,0,,
19.0,19,17.0,Haiti,6,1900-01-01 00:14:02,1900-01-01 00:14:26,"['00', '00', '24']",0.4,2,;40;41,;Haiti;Haiti,2,;40;41,;Haiti;Haiti,;0 days 00:00:10;0 days 00:00:15,0 days 00:00:10,0.4166666666666667,0,,,0,,
20.0,20,18.0,"Quebec, Canada",5,1900-01-01 00:14:26,1900-01-01 00:16:01,"['00', '01', '35']",1.5833333333333333,5,;42;43;44;45;46,";Quebec, Canada;Quebec, Canada;Marchand Dessalines, Haiti;Montreal, Canada;Montreal, Canada",2,;42;43,";Quebec, Canada;Quebec, Canada",;0 days 00:00:04;0 days 00:00:09,0 days 00:00:04,0.042105263157894736,0,,,0,,
21.0,21,19.0,"Montreal, Canada",4,1900-01-01 00:16:01,1900-01-01 00:16:58,"['00', '00', '57']",0.95,2,;47;48,";NYC, USA;Boston, USA",0,,,,0,0.0,0,,,0,,
22.0,22,20.0,_end,8,1900-01-01 00:16:58,1900-01-01 00:17:50,"['00', '00', '52']",0.8666666666666667,0,,,0,,,,0,0.0,0,,,0,,
23.0,23,21.0,"Montreal, Canada",4,1900-01-01 00:17:50,1900-01-01 00:18:02,"['00', '00', '12']",0.2,0,,,0,,,,0,0.0,0,,,0,,
24.0,24;25;26;27,22.0;23.0;24.0;25.0,_end,8,1900-01-01 00:18:02,1900-01-01 00:21:00,"['00', '02', '58']",2.966666666666667,2,;49;50,";Montreal, Canada;Haiti",0,,,,0,0.0,0,,,0,,
28.0,28,26.0,Haiti,6,1900-01-01 00:21:00,1900-01-01 00:24:05,"['00', '03', '05']",3.0833333333333335,11,;51;52;53;54;55;56;57;58;59;60;61,";Haiti;Haiti;Aquin, Haiti;Haiti;Port-au-Prince, Haiti;Haiti;Port-au-Prince, Haiti;Port-au-Prince, Haiti;France;Belgium;Jamaica",4,;51;52;54;56,;Haiti;Haiti;Haiti;Haiti,;0 days 00:00:13;0 days 00:00:17;0 days 00:00:33;0 days 00:01:14,0 days 00:00:13,0.07027027027027027,0,,,4,;53;55;57;58,";Aquin, Haiti;Port-au-Prince, Haiti;Port-au-Prince, Haiti;Port-au-Prince, Haiti"
29.0,29,27.0,_end,8,1900-01-01 00:24:05,1900-01-01 00:24:50,"['00', '00', '45']",0.75,1,;62,;Cuba,0,,,,0,0.0,0,,,0,,
30.0,30,28.0,Haiti,6,1900-01-01 00:24:50,1900-01-01 00:27:05,"['00', '02', '15']",2.25,1,;63,;Haiti,1,;63,;Haiti,;0 days 00:00:31,0 days 00:00:31,0.22962962962962963,0,,,0,,
31.0,31,29.0,"Port-au-Prince, Haiti",4,1900-01-01 00:27:05,1900-01-01 00:27:30,"['00', '00', '25']",0.4166666666666667,1,;64,";Port-au-Prince, Haiti",1,;64,";Port-au-Prince, Haiti",;0 days 00:00:18,0 days 00:00:18,0.72,0,,,0,,
32.0,32,30.0,_end,8,1900-01-01 00:27:30,1900-01-01 00:29:46,"['00', '02', '16']",2.2666666666666666,0,,,0,,,,0,0.0,0,,,0,,
33.0,33;34;35,31.0;32.0;33.0,Haiti,6,1900-01-01 00:29:46,1900-01-01 00:30:52,"['00', '01', '06']",1.1,0,,,0,,,,0,0.0,0,,,0,,
36.0,36;37,34.0;35.0,"Port-au-Prince, Haiti",4,1900-01-01 00:30:52,1900-01-01 00:32:55,"['00', '02', '03']",2.05,2,;65;66,";Port-au-Prince, Haiti;France",1,;65,";Port-au-Prince, Haiti",;0 days 00:00:05,0 days 00:00:05,0.04065040650406504,0,,,0,,
38.0,38,nan,France,6,1900-01-01 00:31:01,1900-01-01 00:32:55,"['00', '01', '54']",1.9,1,;66,;France,1,;66,;France,;0 days 00:01:37,0 days 00:01:37,0.8508771929824561,0,,,0,,
39.0,39;40,36.0;37.0,_end,8,1900-01-01 00:32:55,1900-01-01 00:33:48,"['00', '00', '53']",0.8833333333333333,0,,,0,,,,0,0.0,0,,,0,,
41.0,41,38.0,"Marchand Dessalines, Haiti",4,1900-01-01 00:33:48,1900-01-01 00:36:08,"['00', '02', '20']",2.3333333333333335,2,;67;68,";Marchand Dessalines, Haiti;Marchand Dessalines, Haiti",2,;67;68,";Marchand Dessalines, Haiti;Marchand Dessalines, Haiti",;0 days 00:00:12;0 days 00:00:15,0 days 00:00:12,0.08571428571428572,0,,,0,,
42.0,42,39.0,"Montreal, Canada",4,1900-01-01 00:36:08,1900-01-01 00:36:23,"['00', '00', '15']",0.25,3,;69;70;71,";Montreal, Canada;Haiti;Marchand Dessalines, Haiti",1,;69,";Montreal, Canada",;0 days 00:00:00,0 days 00:00:00,0.0,0,,,0,,
43.0,43,40.0,"Marchand Dessalines, Haiti",4,1900-01-01 00:36:23,1900-01-01 00:37:10,"['00', '00', '47']",0.7833333333333333,3,;72;73;74,";Marchand Dessalines, Haiti;Haiti;Quebec, Canada",1,;72,";Marchand Dessalines, Haiti",;0 days 00:00:03,0 days 00:00:03,0.06382978723404255,1,;73,;Haiti,0,,
44.0,44,41.0,Haiti,6,1900-01-01 00:37:10,1900-01-01 00:37:43,"['00', '00', '33']",0.55,1,;75,;Haiti,1,;75,;Haiti,;0 days 00:00:05,0 days 00:00:05,0.15151515151515152,0,,,0,,
45.0,45,42.0,_end,8,1900-01-01 00:37:43,1900-01-01 00:37:53,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
46.0,46;47,43.0;44.0,"Marchand Dessalines, Haiti",4,1900-01-01 00:37:53,1900-01-01 00:43:50,"['00', '05', '57']",5.95,6,;76;77;78;79;80;81,";Haiti;Canada;Marchand Dessalines, Haiti;l'Estère, Haiti;Marchand Dessalines, Haiti;Quebec, Canada",2,;78;80,";Marchand Dessalines, Haiti;Marchand Dessalines, Haiti",;0 days 00:03:43;0 days 00:04:18,0 days 00:03:43,0.6246498599439776,1,;76,;Haiti,0,,
