agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1.0,1;2,1.0;2.0,_end,8,1900-01-01 00:00:00,1900-01-01 00:00:58,"['00', '00', '58']",0.9666666666666667,1,;1,";Montreal, Canada",0,,,,0,0.0,0,,,0,,
3.0,3,3.0,"Montreal, Canada",4,1900-01-01 00:00:58,1900-01-01 00:02:40,"['00', '01', '42']",1.7,3,;2;3;4,";Montreal, Canada;Alberta, Canada;Rwanda",1,;2,";Montreal, Canada",;0 days 00:00:18,0 days 00:00:18,0.17647058823529413,0,,,0,,
4.0,4;5,4.0;5.0,_end,8,1900-01-01 00:02:40,1900-01-01 00:03:05,"['00', '00', '25']",0.4166666666666667,0,,,0,,,,0,0.0,0,,,0,,
6.0,6,6.0,Burundi,6,1900-01-01 00:03:05,1900-01-01 00:04:16,"['00', '01', '11']",1.1833333333333333,0,,,0,,,,0,0.0,0,,,0,,
7.0,7,7.0,Rwanda,6,1900-01-01 00:04:16,1900-01-01 00:04:27,"['00', '00', '11']",0.18333333333333332,1,;5,;Rwanda,1,;5,;Rwanda,;0 days 00:00:07,0 days 00:00:07,0.6363636363636364,0,,,0,,
8.0,8,8.0,_end,8,1900-01-01 00:04:27,1900-01-01 00:04:40,"['00', '00', '13']",0.21666666666666667,0,,,0,,,,0,0.0,0,,,0,,
9.0,9,9.0,"Ottawa, Canada",4,1900-01-01 00:04:40,1900-01-01 00:04:46,"['00', '00', '06']",0.1,2,;6;7,";Canada;Ottawa, Canada",1,;7,";Ottawa, Canada",;0 days 00:00:05,0 days 00:00:05,0.8333333333333334,1,;6,;Canada,0,,
10.0,10,10.0,_end,8,1900-01-01 00:04:46,1900-01-01 00:04:55,"['00', '00', '09']",0.15,0,,,0,,,,0,0.0,0,,,0,,
11.0,11,11.0,Burundi,6,1900-01-01 00:04:55,1900-01-01 00:05:37,"['00', '00', '42']",0.7,2,;8;9,;Burundi;Rwanda,1,;8,;Burundi,;0 days 00:00:30,0 days 00:00:30,0.7142857142857143,0,,,0,,
12.0,12,12.0,"Ruhengeri, Rwanda",6,1900-01-01 00:05:37,1900-01-01 00:08:47,"['00', '03', '10']",3.1666666666666665,16,;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,";Rwanda;Bugesera, Rwanda;Ruhengeri, Rwanda;Ruhengeri, Rwanda;Rwanda;Ruhengeri, Rwanda;Bugesera, Rwanda;Rwanda;Rwanda;Burundi;Bugesera, Rwanda;Burundi;Rwanda;Bugesera, Rwanda;Kigali, Rwanda;Burundi",3,;12;13;15,";Ruhengeri, Rwanda;Ruhengeri, Rwanda;Ruhengeri, Rwanda",;0 days 00:00:17;0 days 00:00:34;0 days 00:00:48,0 days 00:00:17,0.08947368421052632,5,;10;14;17;18;22,;Rwanda;Rwanda;Rwanda;Rwanda;Rwanda,0,,
13.0,13,nan,"Bugesera, Rwanda",4,1900-01-01 00:05:37,1900-01-01 00:08:47,"['00', '03', '10']",3.1666666666666665,16,;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25,";Rwanda;Bugesera, Rwanda;Ruhengeri, Rwanda;Ruhengeri, Rwanda;Rwanda;Ruhengeri, Rwanda;Bugesera, Rwanda;Rwanda;Rwanda;Burundi;Bugesera, Rwanda;Burundi;Rwanda;Bugesera, Rwanda;Kigali, Rwanda;Burundi",4,;11;16;20;23,";Bugesera, Rwanda;Bugesera, Rwanda;Bugesera, Rwanda;Bugesera, Rwanda",;0 days 00:00:09;0 days 00:00:53;0 days 00:02:09;0 days 00:02:23,0 days 00:00:09,0.04736842105263158,5,;10;14;17;18;22,;Rwanda;Rwanda;Rwanda;Rwanda;Rwanda,0,,
