agg_su_id,id,su_num,place,scale_order,time_start,time_end,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1;2;3,1.0;2.0;3.0,_end,8,1/1/1900 0:00,1/1/1900 0:02,"['00', '02', '10']",2.166666667,5,;1;2;3;4;5,;Africa;Democratic Republic of Congo;England;Canada;Ethiopia,0,,,,0,0,0,,,0,,
4,4;5;6;7;8,4.0;5.0;6.0;7.0;8.0,Rwanda,6,1/1/1900 0:02,1/1/1900 0:21,"['00', '19', '15']",19.25,3,;6;7;13,;Rwanda;Rwanda;Democratic Republic of Congo,2,;6;7,;Rwanda;Rwanda,;0 days 00:03:50;0 days 00:11:35,0 days 00:03:50,0.199134199,0,,,0,,
9,9;10,9.0;10.0,"Kibuye, Rwanda",3,1/1/1900 0:21,1/1/1900 0:24,"['00', '02', '50']",2.833333333,2,;8;9,";Nyanza, Rwanda;Nyanza, Rwanda",0,,,,0,0,0,,,0,,
11,11,11,"Lac Kivu, Rwanda",4,1/1/1900 0:24,1/1/1900 0:26,"['00', '02', '35']",2.583333333,1,;10,";Lac Kivu, Rwanda",1,;10,";Lac Kivu, Rwanda",;0 days 00:00:48,0 days 00:00:48,0.309677419,0,,,0,,
12,12,12,Rwanda,6,1/1/1900 0:26,1/1/1900 0:27,"['00', '00', '20']",0.333333333,0,,,0,,,,0,0,0,,,0,,
13,13,13,Democratic Republic of Congo,6,1/1/1900 0:27,1/1/1900 0:30,"['00', '03', '40']",3.666666667,5,;11;12;14;15;16,;Rwanda;Democratic Republic of Congo;Rwanda;Rwanda;Democratic Republic of Congo,2,;12;16,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:01:10;0 days 00:03:10,0 days 00:01:10,0.318181818,0,,,0,,
14,14,14,"Kibuye, Rwanda",3,1/1/1900 0:30,1/1/1900 0:36,"['00', '05', '20']",5.333333333,0,,,0,,,,0,0,0,,,0,,
15,15,15,Rwanda,6,1/1/1900 0:36,1/1/1900 0:40,"['00', '04', '00']",4,2,;17;18,";Kigali, Rwanda;Democratic Republic of Congo",0,,,,0,0,0,,,1,;17,";Kigali, Rwanda"
16,16,16,"Kibuye, Rwanda",3,1/1/1900 0:40,1/1/1900 0:40,"['00', '00', '30']",0.5,0,,,0,,,,0,0,0,,,0,,
17,17,17,Democratic Republic of Congo,6,1/1/1900 0:40,1/1/1900 0:41,"['00', '00', '50']",0.833333333,1,;19,;Rwanda,0,,,,0,0,0,,,0,,
18,18;19;20,18.0;19.0;20.0,"Kibuye, Rwanda",3,1/1/1900 0:41,1/1/1900 0:46,"['00', '04', '45']",4.75,0,,,0,,,,0,0,0,,,0,,
21,21;22,21.0;22.0,_end,8,1/1/1900 0:46,1/1/1900 0:49,"['00', '02', '50']",2.833333333,2,;20;21,";Tripoli, Libya;Canada",0,,,,0,0,0,,,0,,
23,23,23,"Ottawa, Canada",4,1/1/1900 0:49,1/1/1900 0:53,"['00', '04', '35']",4.583333333,0,,,0,,,,0,0,0,,,0,,
24,24,24,_end,8,1/1/1900 0:53,1/1/1900 0:54,"['00', '00', '30']",0.5,0,,,0,,,,0,0,0,,,0,,
25,25,25,Rwanda,6,1/1/1900 0:54,1/1/1900 0:59,"['00', '04', '50']",4.833333333,1,;22,;Rwanda,1,;22,;Rwanda,;0 days 00:02:17,0 days 00:02:17,0.472413793,0,,,0,,
26,26,26,_end,8,1/1/1900 0:59,1/1/1900 0:59,"['00', '00', '15']",0.25,0,,,0,,,,0,0,0,,,0,,
27,27,27,Rwanda,6,1/1/1900 0:59,1/1/1900 1:04,"['00', '05', '40']",5.666666667,7,;23;24;25;26;27;28;29,";Democratic Republic of Congo;Democratic Republic of Congo;Kampala, Uganda;Kampala, Uganda;Rwanda;Kampala, Uganda;Kampala, Uganda",1,;27,;Rwanda,;0 days 00:04:10,0 days 00:04:10,0.735294118,0,,,0,,
28,28,28,"Gitwe, Rwanda",3,1/1/1900 1:04,1/1/1900 1:10,"['00', '05', '35']",5.583333333,7,;30;31;32;33;34;35;36,";Rwanda;Gitwe, Rwanda;Nyanza, Rwanda;Butare, Rwanda;Rwanda;Tunisia;Democratic Republic of Congo",1,;31,";Gitwe, Rwanda",;0 days 00:00:23,0 days 00:00:23,0.068656716,2,;30;34,;Rwanda;Rwanda,0,,
29,29,29,_end,8,1/1/1900 1:10,1/1/1900 1:10,"['00', '00', '10']",0.166666667,0,,,0,,,,0,0,0,,,0,,
30,30;31;32;33,30.0;31.0;32.0;33.0,Rwanda,6,1/1/1900 1:10,1/1/1900 1:17,"['00', '07', '07']",7.116666667,4,;37;38;39;40,";Rwanda;Goma, Democratic Republic of Congo;Rwanda;Rwanda",3,;37;39;40,;Rwanda;Rwanda;Rwanda,;0 days 00:00:01;0 days 00:04:15;0 days 00:06:26,0 days 00:00:01,0.00234192,0,,,0,,
