id,session_num,su_num,time_clip_start,time_clip_end,time_start,time_end,place,place_raw,scale,journey,scale_order,agg_su_id,time_length,num_minutes,mention_freq,mention_index,mention_places,mention_match_freq,mention_match_index,mention_match_places,mention_match_time_index,mention_first_match_time,mention_first_match_time_ratio,mention_coarser_match_freq,mention_coarser_match_index,mention_coarser_match_places,mention_finer_match_freq,mention_finer_match_index,mention_finer_match_places
1,1.0,1.0,0:00:00,0:00:40,1900-01-01 00:00:00,1900-01-01 00:00:40,_end,none,,,8,1.0,"['00', '00', '40']",0.6666666666666666,0,,,0,,,,0,0.0,0,,,0,,
2,1.0,2.0,0:00:40,0:01:50,1900-01-01 00:00:40,1900-01-01 00:01:50,_end,none,,,8,1.0,"['00', '01', '10']",1.1666666666666667,5,;1;2;3;4;5,;Africa;Democratic Republic of Congo;England;Canada;Ethiopia,0,,,,0,0.0,0,,,0,,
3,1.0,3.0,0:01:50,0:02:10,1900-01-01 00:01:50,1900-01-01 00:02:10,_end,none,,,8,1.0,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
4,1.0,4.0,0:02:10,0:07:45,1900-01-01 00:02:10,1900-01-01 00:07:45,Rwanda,Rwanda,country,,6,4.0,"['00', '05', '35']",5.583333333333333,1,;6,;Rwanda,1,;6,;Rwanda,;0 days 00:03:50,0 days 00:03:50,0.6865671641791045,0,,,0,,
5,1.0,5.0,0:07:45,0:14:10,1900-01-01 00:07:45,1900-01-01 00:14:10,Rwanda,Rwanda,country,,6,4.0,"['00', '06', '25']",6.416666666666667,1,;7,;Rwanda,1,;7,;Rwanda,;0 days 00:06:00,0 days 00:06:00,0.935064935064935,0,,,0,,
6,1.0,6.0,0:14:10,0:14:40,1900-01-01 00:14:10,1900-01-01 00:14:40,Rwanda,Rwanda,country,,6,4.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
7,1.0,7.0,0:14:40,0:16:20,1900-01-01 00:14:40,1900-01-01 00:16:20,Rwanda,Rwanda,country,,6,4.0,"['00', '01', '40']",1.6666666666666667,0,,,0,,,,0,0.0,0,,,0,,
8,1.0,8.0,0:16:20,0:21:25,1900-01-01 00:16:20,1900-01-01 00:21:25,Rwanda,Rwanda,country,,6,4.0,"['00', '05', '05']",5.083333333333333,1,;13,;Democratic Republic of Congo,0,,,,0,0.0,0,,,0,,
9,1.0,9.0,0:21:25,0:21:40,1900-01-01 00:21:25,1900-01-01 00:21:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,9.0,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
10,1.0,10.0,0:21:40,0:24:15,1900-01-01 00:21:40,1900-01-01 00:24:15,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,9.0,"['00', '02', '35']",2.5833333333333335,2,;8;9,";Nyanza, Rwanda;Nyanza, Rwanda",0,,,,0,0.0,0,,,0,,
11,1.0,11.0,0:24:15,0:26:50,1900-01-01 00:24:15,1900-01-01 00:26:50,"Lac Kivu, Rwanda",Lac Kivu,city / area,,4,11.0,"['00', '02', '35']",2.5833333333333335,1,;10,";Lac Kivu, Rwanda",1,;10,";Lac Kivu, Rwanda",;0 days 00:00:48,0 days 00:00:48,0.3096774193548387,0,,,0,,
12,1.0,12.0,0:26:50,0:27:10,1900-01-01 00:26:50,1900-01-01 00:27:10,Rwanda,Rwanda,country,,6,12.0,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
13,1.0,13.0,0:27:10,0:30:50,1900-01-01 00:27:10,1900-01-01 00:30:50,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,13.0,"['00', '03', '40']",3.6666666666666665,5,;11;12;14;15;16,;Rwanda;Democratic Republic of Congo;Rwanda;Rwanda;Democratic Republic of Congo,2,;12;16,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:01:10;0 days 00:03:10,0 days 00:01:10,0.3181818181818182,0,,,0,,
14,1.0,14.0,0:30:50,0:36:10,1900-01-01 00:30:50,1900-01-01 00:36:10,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,14.0,"['00', '05', '20']",5.333333333333333,0,,,0,,,,0,0.0,0,,,0,,
15,1.0,15.0,0:36:10,0:40:10,1900-01-01 00:36:10,1900-01-01 00:40:10,Rwanda,Rwanda,country,,6,15.0,"['00', '04', '00']",4.0,2,;17;18,";Kigali, Rwanda;Democratic Republic of Congo",0,,,,0,0.0,0,,,1,;17,";Kigali, Rwanda"
16,1.0,16.0,0:40:10,0:40:40,1900-01-01 00:40:10,1900-01-01 00:40:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,16.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
17,1.0,17.0,0:40:40,0:41:30,1900-01-01 00:40:40,1900-01-01 00:41:30,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,17.0,"['00', '00', '50']",0.8333333333333334,1,;19,;Rwanda,0,,,,0,0.0,0,,,0,,
18,1.0,18.0,0:41:30,0:41:50,1900-01-01 00:41:30,1900-01-01 00:41:50,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,18.0,"['00', '00', '20']",0.3333333333333333,0,,,0,,,,0,0.0,0,,,0,,
19,1.0,19.0,0:41:50,0:42:45,1900-01-01 00:41:50,1900-01-01 00:42:45,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,18.0,"['00', '00', '55']",0.9166666666666666,0,,,0,,,,0,0.0,0,,,0,,
20,1.0,20.0,0:42:45,0:46:15,1900-01-01 00:42:45,1900-01-01 00:46:15,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,18.0,"['00', '03', '30']",3.5,0,,,0,,,,0,0.0,0,,,0,,
21,1.0,21.0,0:46:15,0:46:33,1900-01-01 00:46:15,1900-01-01 00:46:33,_end,none,,,8,21.0,"['00', '00', '18']",0.3,0,,,0,,,,0,0.0,0,,,0,,
22,1.0,22.0,0:46:33,0:49:05,1900-01-01 00:46:33,1900-01-01 00:49:05,_end,None,,,8,21.0,"['00', '02', '32']",2.533333333333333,2,;20;21,";Tripoli, Libya;Canada",0,,,,0,0.0,0,,,0,,
23,1.0,23.0,0:49:05,0:53:40,1900-01-01 00:49:05,1900-01-01 00:53:40,"Ottawa, Canada","Ottawa, Canada",city / area,,4,23.0,"['00', '04', '35']",4.583333333333333,0,,,0,,,,0,0.0,0,,,0,,
24,1.0,24.0,0:53:40,0:54:10,1900-01-01 00:53:40,1900-01-01 00:54:10,_end,none,,,8,24.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
25,1.0,25.0,0:54:10,0:59:00,1900-01-01 00:54:10,1900-01-01 00:59:00,Rwanda,Rwanda,country,,6,25.0,"['00', '04', '50']",4.833333333333333,1,;22,;Rwanda,1,;22,;Rwanda,;0 days 00:02:17,0 days 00:02:17,0.4724137931034483,0,,,0,,
26,1.0,26.0,0:59:00,0:59:15,1900-01-01 00:59:00,1900-01-01 00:59:15,_end,none,,,8,26.0,"['00', '00', '15']",0.25,0,,,0,,,,0,0.0,0,,,0,,
27,1.0,27.0,0:59:15,1:04:55,1900-01-01 00:59:15,1900-01-01 01:04:55,Rwanda,Rwanda,country,,6,27.0,"['00', '05', '40']",5.666666666666667,7,;23;24;25;26;27;28;29,";Democratic Republic of Congo;Democratic Republic of Congo;Kampala, Uganda;Kampala, Uganda;Rwanda;Kampala, Uganda;Kampala, Uganda",1,;27,;Rwanda,;0 days 00:04:10,0 days 00:04:10,0.7352941176470589,0,,,0,,
28,1.0,28.0,1:04:55,1:10:30,1900-01-01 01:04:55,1900-01-01 01:10:30,"Gitwe, Rwanda","Gitwe, Rwanda",local,,3,28.0,"['00', '05', '35']",5.583333333333333,7,;30;31;32;33;34;35;36,";Rwanda;Gitwe, Rwanda;Nyanza, Rwanda;Butare, Rwanda;Rwanda;Tunisia;Democratic Republic of Congo",1,;31,";Gitwe, Rwanda",;0 days 00:00:23,0 days 00:00:23,0.06865671641791045,2,;30;34,;Rwanda;Rwanda,0,,
29,1.0,29.0,1:10:30,1:10:40,1900-01-01 01:10:30,1900-01-01 01:10:40,_end,none,,,8,29.0,"['00', '00', '10']",0.16666666666666666,0,,,0,,,,0,0.0,0,,,0,,
30,1.0,30.0,1:10:40,1:14:23,1900-01-01 01:10:40,1900-01-01 01:14:23,Rwanda,Rwanda,country,,6,30.0,"['00', '03', '43']",3.716666666666667,2,;37;38,";Rwanda;Goma, Democratic Republic of Congo",1,;37,;Rwanda,;0 days 00:00:01,0 days 00:00:01,0.004484304932735426,0,,,0,,
31,1.0,31.0,1:14:23,1:14:45,1900-01-01 01:14:23,1900-01-01 01:14:45,Rwanda,Rwanda,country,,6,30.0,"['00', '00', '22']",0.36666666666666664,0,,,0,,,,0,0.0,0,,,0,,
32,1.0,32.0,1:14:45,1:16:55,1900-01-01 01:14:45,1900-01-01 01:16:55,Rwanda,Rwanda,country,,6,30.0,"['00', '02', '10']",2.1666666666666665,1,;39,;Rwanda,1,;39,;Rwanda,;0 days 00:00:10,0 days 00:00:10,0.07692307692307693,0,,,0,,
33,1.0,33.0,1:16:55,1:17:47,1900-01-01 01:16:55,1900-01-01 01:17:47,Rwanda,Rwanda,country,,6,30.0,"['00', '00', '52']",0.8666666666666667,1,;40,;Rwanda,1,;40,;Rwanda,;0 days 00:00:11,0 days 00:00:11,0.21153846153846154,0,,,0,,
34,1.0,34.0,1:17:47,1:20:35,1900-01-01 01:17:47,1900-01-01 01:20:35,"Nairobi, Kenya","Nairobi, Kenya",city / area,,4,34.0,"['00', '02', '48']",2.8,11,;41;42;43;44;45;46;47;48;49;50;51,";Goma, Democratic Republic of Congo;Nairobi, Kenya;Nairobi, Kenya;Democratic Republic of Congo;Kampala, Uganda;Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya;Dar es Salaam;Addis Ababa, Ethiopia;Nairobi, Kenya",6,;42;43;46;47;48;51,";Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya",;0 days 00:00:43;0 days 00:00:52;0 days 00:01:04;0 days 00:01:05;0 days 00:01:46;0 days 00:02:28,0 days 00:00:43,0.25595238095238093,0,,,0,,
35,1.0,35.0,1:20:35,1:21:40,1900-01-01 01:20:35,1900-01-01 01:21:40,"Nairobi, Kenya","Nairobi, Kenya",city / area,,4,34.0,"['00', '01', '05']",1.0833333333333333,1,;52,";Nairobi, Kenya",1,;52,";Nairobi, Kenya",;0 days 00:00:11,0 days 00:00:11,0.16923076923076924,0,,,0,,
36,1.0,36.0,1:21:40,1:23:15,1900-01-01 01:21:40,1900-01-01 01:23:15,Rwanda,Rwanda,country,,6,36.0,"['00', '01', '35']",1.5833333333333333,0,,,0,,,,0,0.0,0,,,0,,
37,1.0,37.0,1:23:15,1:24:15,1900-01-01 01:23:15,1900-01-01 01:24:15,"Nairobi, Kenya","Nairobi, Kenya",city / area,,4,37.0,"['00', '01', '00']",1.0,4,;53;54;55;56,";Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya;Rwanda",3,;53;54;55,";Nairobi, Kenya;Nairobi, Kenya;Nairobi, Kenya",;0 days 00:00:15;0 days 00:00:27;0 days 00:00:35,0 days 00:00:15,0.25,0,,,0,,
38,1.0,38.0,1:24:15,1:28:40,1900-01-01 01:24:15,1900-01-01 01:28:40,Rwanda,Rwanda,country,,6,38.0,"['00', '04', '25']",4.416666666666667,2,;57;58,;Democratic Republic of Congo;Rwanda,1,;58,;Rwanda,;0 days 00:02:54,0 days 00:02:54,0.6566037735849056,0,,,0,,
39,1.0,39.0,1:28:40,1:29:55,1900-01-01 01:28:40,1900-01-01 01:29:55,"Kigali, Rwanda","Kigali, Rwanda",city / area,,4,39.0,"['00', '01', '15']",1.25,4,;59;60;61;62,";Kigali, Rwanda;Democratic Republic of Congo;Addis Ababa, Ethiopia;Kigali, Rwanda",2,;59;62,";Kigali, Rwanda;Kigali, Rwanda",;0 days 00:00:23;0 days 00:00:44,0 days 00:00:23,0.30666666666666664,0,,,0,,
40,1.0,41.0,1:29:55,1:30:00,1900-01-01 01:29:55,1900-01-01 01:30:00,_end,none,,,8,40.0,"['00', '00', '05']",0.08333333333333333,0,,,0,,,,0,0.0,0,,,0,,
41,1.0,42.0,1:30:00,1:30:18,1900-01-01 01:30:00,1900-01-01 01:30:18,_end,none,,,8,40.0,"['00', '00', '18']",0.3,0,,,0,,,,0,0.0,0,,,0,,
42,1.0,43.0,1:30:18,1:30:37,1900-01-01 01:30:18,1900-01-01 01:30:37,_end,none,,,8,40.0,"['00', '00', '19']",0.31666666666666665,0,,,0,,,,0,0.0,0,,,0,,
43,1.0,44.0,1:30:37,1:36:40,1900-01-01 01:30:37,1900-01-01 01:36:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,,3,43.0,"['00', '06', '03']",6.05,0,,,0,,,,0,0.0,0,,,0,,
44,1.0,45.0,1:36:40,1:44:45,1900-01-01 01:36:40,1900-01-01 01:44:45,"Kibuye, Rwanda","Kibuye, Rwanda; Bisesero, Karongi, Western Province, Rwanda",local,,3,43.0,"['00', '08', '05']",8.083333333333334,3,;63;64;65,";Democratic Republic of Congo;Bisesero, Karongi, Western Province, Rwanda;Bisesero, Karongi, Western Province, Rwanda",0,,,,0,0.0,0,,,0,,
45,,,1:36:40,1:44:45,1900-01-01 01:36:40,1900-01-01 01:44:45,"Bisesero, Karongi, Western Province, Rwanda",,local,,3,45.0,"['00', '08', '05']",8.083333333333334,3,;63;64;65,";Democratic Republic of Congo;Bisesero, Karongi, Western Province, Rwanda;Bisesero, Karongi, Western Province, Rwanda",2,;64;65,";Bisesero, Karongi, Western Province, Rwanda;Bisesero, Karongi, Western Province, Rwanda",;0 days 00:06:40;0 days 00:07:20,0 days 00:06:40,0.8247422680412371,0,,,0,,
46,1.0,46.0,1:44:45,1:45:15,1900-01-01 01:44:45,1900-01-01 01:45:15,Rwanda,Rwanda,country,,6,46.0,"['00', '00', '30']",0.5,0,,,0,,,,0,0.0,0,,,0,,
47,1.0,47.0,1:45:15,1:48:04,1900-01-01 01:45:15,1900-01-01 01:48:04,Rwanda,Rwanda,country,,6,46.0,"['00', '02', '49']",2.816666666666667,0,,,0,,,,0,0.0,0,,,0,,
48,1.0,48.0,1:48:04,1:48:18,1900-01-01 01:48:04,1900-01-01 01:48:18,Rwanda,"Rwanda, Democratic Republic of Congo",country,,6,46.0,"['00', '00', '14']",0.23333333333333334,0,,,0,,,,0,0.0,0,,,0,,
49,,,1:48:04,1:48:18,1900-01-01 01:48:04,1900-01-01 01:48:18,Democratic Republic of Congo,,country,,6,49.0,"['00', '00', '14']",0.23333333333333334,0,,,0,,,,0,0.0,0,,,0,,
50,1.0,49.0,1:48:18,1:50:06,1900-01-01 01:48:18,1900-01-01 01:50:06,Rwanda,Rwanda,country,,6,50.0,"['00', '01', '48']",1.8,0,,,0,,,,0,0.0,0,,,0,,
51,1.0,50.0,1:50:06,1:52:10,1900-01-01 01:50:06,1900-01-01 01:52:10,"Idjwi Island, South-Kivu, Democratic Republic of the Congo","l'Ile Ijwi, Democratic Republic of Congo",city / area,,4,51.0,"['00', '02', '04']",2.066666666666667,8,;66;67;68;69;70;71;72;73,";Democratic Republic of Congo;Idjwi Island, South-Kivu, Democratic Republic of the Congo;Democratic Republic of Congo;Rwanda;Goma, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Gisenyi, Rwanda;Cyangugu, Rwanda",1,;67,";Idjwi Island, South-Kivu, Democratic Republic of the Congo",;0 days 00:00:04,0 days 00:00:04,0.03225806451612903,0,,,0,,
52,1.0,51.0,1:52:10,1:56:15,1900-01-01 01:52:10,1900-01-01 01:56:15,"South-Kivu, Democratic Republic of the Congo","South-Kivu, Democratic Republic of the Congo",region,,5,52.0,"['00', '04', '05']",4.083333333333333,6,;74;75;76;77;78;79,";Democratic Republic of Congo;Goma, Democratic Republic of Congo;Bukavu, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Idjwi Island, South-Kivu, Democratic Republic of the Congo;Lac Kivu, Rwanda",0,,,,0,0.0,0,,,1,;78,";Idjwi Island, South-Kivu, Democratic Republic of the Congo"
53,1.0,52.0,1:56:15,1:57:26,1900-01-01 01:56:15,1900-01-01 01:57:26,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,,3,53.0,"['00', '01', '11']",1.1833333333333333,2,;80;81,";Bobandana, Democratic Republic of Congo;Goma, Democratic Republic of Congo",1,;80,";Bobandana, Democratic Republic of Congo",;0 days 00:00:01,0 days 00:00:01,0.014084507042253521,0,,,0,,
54,1.0,53.0,1:57:26,1:59:12,1900-01-01 01:57:26,1900-01-01 01:59:12,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,54.0,"['00', '01', '46']",1.7666666666666666,0,,,0,,,,0,0.0,0,,,0,,
55,2.0,54.0,1:59:12,2:00:00,1900-01-01 01:59:12,1900-01-01 02:00:00,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,,3,55.0,"['00', '00', '48']",0.8,0,,,0,,,,0,0.0,0,,,0,,
56,2.0,55.0,2:00:00,2:08:45,1900-01-01 02:00:00,1900-01-01 02:08:45,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,,3,55.0,"['00', '08', '45']",8.75,13,;82;83;84;85;86;87;88;89;90;91;92;93;94,";Bobandana, Democratic Republic of Congo;Goma, Democratic Republic of Congo;Africa;France;Democratic Republic of Congo;Democratic Republic of Congo;Kivu, Democratic Republic of Congo;Kivu, Democratic Republic of Congo;Democratic Republic of Congo;Burundi;Tanzania;Uganda;Goma, Democratic Republic of Congo",1,;82,";Bobandana, Democratic Republic of Congo",;0 days 00:00:13,0 days 00:00:13,0.024761904761904763,3,;86;87;90,;Democratic Republic of Congo;Democratic Republic of Congo;Democratic Republic of Congo,0,,
57,2.0,56.0,2:08:45,2:13:10,1900-01-01 02:08:45,1900-01-01 02:13:10,"South-Kivu, Democratic Republic of the Congo","South-Kivu, Democratic Republic of the Congo",region,,5,57.0,"['00', '04', '25']",4.416666666666667,5,;95;96;97;98;99,";Democratic Republic of Congo;Kibuye, Rwanda;Gishyita, Rwanda;Rwamatamu, Rwanda;Kibuye, Rwanda",0,,,,0,0.0,0,,,0,,
58,2.0,57.0,2:13:10,2:13:17,1900-01-01 02:13:10,1900-01-01 02:13:17,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,58.0,"['00', '00', '07']",0.11666666666666667,1,;100,;Rwanda,0,,,,0,0.0,0,,,0,,
59,2.0,58.0,2:13:17,2:16:00,1900-01-01 02:13:17,1900-01-01 02:16:00,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,58.0,"['00', '02', '43']",2.716666666666667,6,;101;102;103;104;105;106,";Rwanda;Democratic Republic of Congo;Rwanda;Democratic Republic of Congo;Kabgayi, Rwanda;Gitarama, Rwanda",2,;102;104,;Democratic Republic of Congo;Democratic Republic of Congo,;0 days 00:00:14;0 days 00:01:26,0 days 00:00:14,0.08588957055214724,0,,,0,,
60,2.0,59.0,2:16:00,2:16:10,1900-01-01 02:16:00,1900-01-01 02:16:10,"Kabgayi, Rwanda","Kabgayi, Rwanda",local,,3,60.0,"['00', '00', '10']",0.16666666666666666,1,;107,";Bobandana, Democratic Republic of Congo",0,,,,0,0.0,0,,,0,,
61,2.0,60.0,2:16:10,2:17:35,1900-01-01 02:16:10,1900-01-01 02:17:35,Burundi,Burundi,country,,6,61.0,"['00', '01', '25']",1.4166666666666667,4,;108;109;110;111,";Kabgayi, Rwanda;Burundi;Burundi;Burundi",3,;109;110;111,;Burundi;Burundi;Burundi,;0 days 00:00:25;0 days 00:00:35;0 days 00:00:57,0 days 00:00:25,0.29411764705882354,0,,,0,,
62,2.0,61.0,2:17:35,2:23:05,1900-01-01 02:17:35,1900-01-01 02:23:05,Rwanda,Rwanda,country,,6,62.0,"['00', '05', '30']",5.5,16,;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127,";Rwanda;Rwanda;Burundi;Rwanda;Gisenyi, Rwanda;Ruhengeri, Rwanda;Kibuye, Rwanda;Rwanda;Burundi;Kabgayi, Rwanda;Democratic Republic of Congo;Burundi;Democratic Republic of Congo;Uganda;Burundi;Democratic Republic of Congo",4,;112;113;115;119,;Rwanda;Rwanda;Rwanda;Rwanda,;0 days 00:00:09;0 days 00:00:28;0 days 00:00:49;0 days 00:02:05,0 days 00:00:09,0.02727272727272727,0,,,4,;116;117;118;121,";Gisenyi, Rwanda;Ruhengeri, Rwanda;Kibuye, Rwanda;Kabgayi, Rwanda"
63,2.0,62.0,2:23:05,2:26:10,1900-01-01 02:23:05,1900-01-01 02:26:10,Democratic Republic of Congo,Democratic Republic of Congo,country,,6,63.0,"['00', '03', '05']",3.0833333333333335,4,;128;129;130;131,";Democratic Republic of Congo;Gisenyi, Rwanda;Rwanda;l'institut supérieur pédagogique de Bukavu, Congo",1,;128,;Democratic Republic of Congo,;0 days 00:00:02,0 days 00:00:02,0.010810810810810811,0,,,0,,
