id,Session #,Clip Time mentioned (h:mm:ss),Cumulative Time Mentioned (h:mm:ss),Atlascine-location,Location,Scale
1,1,0:00:33,0:00:33,Rwanda,Rwanda,country
2,1,0:03:12,0:03:12,Rwanda,Rwanda,country
3,1,0:03:17,0:03:17,"Gitarama, Rwanda",Gitarama; Rwanda,city / area
4,1,0:04:18,0:04:18,"Nyanza, Rwanda",Nyanza; Rwanda,local
5,1,0:04:22,0:04:22,"Nyanza, Rwanda",Nyanza; Rwanda,local
6,1,0:04:38,0:04:38,"Gikongoro, Rwanda",Gikongoro; Rwanda,city / area
7,1,0:05:30,0:05:30,"Nyanza, Rwanda",Nyanza; Rwanda,local
8,1,0:05:44,0:05:44,"Gitarama, Rwanda",Gitarama; Rwanda,city / area
9,1,0:06:32,0:06:32,Rwanda,Rwanda,country
10,1,0:06:42,0:06:42,Democratic Republic of Congo,Democratic Republic of Congo,country
11,1,0:06:48,0:06:48,Democratic Republic of Congo,Democratic Republic of Congo,country
12,1,0:06:49,0:06:49,Democratic Republic of Congo,Democratic Republic of Congo,country
13,1,0:08:51,0:08:51,"Butare, Rwanda",Butare; Rwanda,city / area
14,1,0:08:55,0:08:55,"Butare, Rwanda",Butare; Rwanda,city / area
15,1,0:08:56,0:08:56,"Butare, Rwanda",Butare; Rwanda,city / area
16,1,0:13:27,0:13:27,Rwanda,Rwanda,country
17,1,0:13:50,0:13:50,"Nyagatare, Rwanda",Nyagatare; Rwanda,local
18,1,0:14:01,0:14:01,Rwanda,Rwanda,country
19,1,0:14:10,0:14:10,Rwanda,Rwanda,country
20,1,0:14:52,0:14:52,Uganda,Uganda,country
21,1,0:14:58,0:14:58,Rwanda,Rwanda,country
22,1,0:15:07,0:15:07,"Tumba, Rwanda",Tumba; Rwanda,local
23,1,0:15:25,0:15:25,"Tumba, Rwanda",Tumba; Rwanda,local
24,1,0:17:26,0:17:26,"Byumba, Rwanda",Byumba; Rwanda,city / area
25,1,0:19:24,0:19:24,"Byumba, Rwanda",Byumba; Rwanda,city / area
26,1,0:19:26,0:19:26,"Nyanza, Rwanda",Nyanza; Rwanda,local
27,1,0:23:20,0:23:20,"Butare, Rwanda",Butare; Rwanda,city / area
28,1,0:28:03,0:28:03,Rwanda,Rwanda,country
29,1,0:28:08,0:28:08,Rwanda,Rwanda,country
30,1,0:30:48,0:30:48,Rwanda,Rwanda,country
31,1,0:30:49,0:30:49,Burundi,Burundi,country
32,1,0:30:51,0:30:51,Rwanda,Rwanda,country
33,1,0:30:52,0:30:52,Burundi,Burundi,country
34,1,0:34:25,0:34:25,Rwanda,Rwanda,country
35,1,0:34:35,0:34:35,Burundi,Burundi,country
36,1,0:35:52,0:35:52,Rwanda,Rwanda,country
37,1,0:36:21,0:36:21,"Nyanza, Rwanda",Nyanza; Rwanda,local
38,1,0:36:43,0:36:43,"Nyanza, Rwanda",Nyanza; Rwanda,local
39,1,0:36:53,0:36:53,"Nyanza, Rwanda",Nyanza; Rwanda,local
40,1,0:36:57,0:36:57,"Nyanza, Rwanda",Nyanza; Rwanda,local
41,1,0:37:16,0:37:16,"Nyanza, Rwanda",Nyanza; Rwanda,local
42,1,0:39:15,0:39:15,Burundi,Burundi,country
43,1,0:55:40,0:55:40,Burundi,Burundi,country
44,1,0:56:23,0:56:23,Democratic Republic of Congo,Democratic Republic of Congo,country
45,1,0:56:57,0:56:57,Democratic Republic of Congo,Democratic Republic of Congo,country
46,1,0:56:59,0:56:59,Democratic Republic of Congo,Democratic Republic of Congo,country
47,1,0:57:21,0:57:21,Democratic Republic of Congo,Democratic Republic of Congo,country
48,1,0:57:30,0:57:30,Germany,Germany,country
49,1,0:57:34,0:57:34,Belgium,Belgium,country
50,1,0:59:53,0:59:53,Burundi,Burundi,country
51,1,1:00:27,1:00:27,Russia,Russia,country
52,1,1:00:30,1:00:30,Burundi,Burundi,country
53,1,1:00:58,1:00:58,"Kigali, Rwanda",Kigali; Rwanda,city / area
54,1,1:02:42,1:02:42,Russia,Russia,country
55,1,1:09:14,1:09:14,"Kigali, Rwanda",Kigali; Rwanda,city / area
56,1,1:09:15,1:09:15,"Butare, Rwanda",Butare; Rwanda,city / area
57,1,1:09:23,1:09:23,"Kigali, Rwanda",Kigali; Rwanda,city / area
58,1,1:09:24,1:09:24,"Butare, Rwanda",Butare; Rwanda,city / area
59,1,1:14:14,1:14:14,Germany,Germany,country
60,1,1:14:17,1:14:17,Germany,Germany,country
61,1,1:14:20,1:14:20,Democratic Republic of Congo,Democratic Republic of Congo,country
62,1,1:14:22,1:14:22,Burundi,Burundi,country
63,1,1:14:36,1:14:36,Germany,Germany,country
64,2,0:00:13,1:15:30,"Montreal, Canada",Montreal; Qc,city / area
65,2,0:00:21,1:15:38,Rwanda,Rwanda,country
66,2,0:00:35,1:15:52,Rwanda,Rwanda,country
67,2,0:01:58,1:17:15,Rwanda,Rwanda,country
68,2,0:02:01,1:17:18,"Gisenyi, Rwanda",Gisenyi; Rwanda,city / area
69,2,0:02:03,1:17:20,"Bralirwa, Gisenyi, Rwanda",Bralirwa; Gisenyi; Rwanda,very local
70,2,0:02:20,1:17:37,"Gisenyi, Rwanda",Gisenyi; Rwanda,city / area
71,2,0:02:24,1:17:41,"Kigali, Rwanda",Kigali; Rwanda,city / area
72,2,0:02:48,1:18:05,"Gisenyi, Rwanda",Gisenyi; Rwanda,city / area
73,2,0:03:11,1:18:28,"Gisenyi, Rwanda",Gisenyi; Rwanda,city / area
74,2,0:03:15,1:18:32,"Gisenyi, Rwanda",Gisenyi; Rwanda,city / area
75,2,0:03:27,1:18:44,Democratic Republic of Congo,Democratic Republic of Congo,country
76,2,0:04:07,1:19:24,Rwanda,Rwanda,country
77,2,0:04:14,1:19:31,Rwanda,Rwanda,country
78,2,0:04:36,1:19:53,"Goma, Democratic Republic of Congo",Goma; Democratic Republic of Congo,city / area
79,2,0:04:39,1:19:56,"Goma, Democratic Republic of Congo",Goma; Democratic Republic of Congo,city / area
80,2,0:05:55,1:21:12,Rwanda,Rwanda,country
81,2,0:06:19,1:21:36,"Goma, Democratic Republic of Congo",Goma; Democratic Republic of Congo,city / area
82,2,0:06:30,1:21:47,Democratic Republic of Congo,Democratic Republic of Congo,country
83,2,0:06:36,1:21:53,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
84,2,0:06:39,1:21:56,Burundi,Burundi,country
85,2,0:06:52,1:22:09,"Bukavu, Democratic Republic of Congo",Bukavu; Democratic Republic of Congo,city / area
86,2,0:06:59,1:22:16,"Bujumbura, Burundi",Bujumbura; Burundi,city / area
87,2,0:07:15,1:22:32,"Goma, Democratic Republic of Congo",Goma; Democratic Republic of Congo,city / area
