id,Session #,Clip Time mentioned (h:mm:ss),Cumulative Time Mentioned (h:mm:ss),Atlascine-location,Location,Scale
1,1,0:00:40,0:00:40,Haiti,Haiti,country
2,1,0:00:44,0:00:44,Haiti,Haiti,country
3,1,0:00:48,0:00:48,Chile,Chile,country
4,1,0:00:53,0:00:53,Chile,Chile,country
5,1,0:01:00,0:01:00,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local
6,1,0:01:04,0:01:04,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local
7,1,0:01:20,0:01:20,Latin America,Latin America,continent
8,1,0:01:32,0:01:32,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local
9,1,0:01:52,0:01:52,Chile,Chile,country
10,1,0:01:56,0:01:56,Peru,Peru,country
11,1,0:01:57,0:01:57,France,France,country
12,1,0:01:59,0:01:59,Venezuela,Venezuela,country
13,1,0:02:00,0:02:00,France,France,country
14,1,0:02:01,0:02:01,Switzerland,Switzerland,country
15,1,0:02:03,0:02:03,"Quebec, Canada",Quebec; Canada,region
16,1,0:02:23,0:02:23,Chile,Chile,country
17,1,0:02:25,0:02:25,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
18,1,0:02:31,0:02:31,Latin America,Latin America,continent
19,1,0:02:34,0:02:34,Mexico,Mexico,country
20,1,0:02:41,0:02:41,"National Autonomous University of Mexico, Mexico City, Mexico",National Autonomous University of Mexico; Mexico City; Mexico,local
21,1,0:02:47,0:02:47,Haiti,Haiti,country
22,1,0:02:51,0:02:51,Mexico,Mexico,country
23,1,0:02:52,0:02:52,Haiti,Haiti,country
24,1,0:03:00,0:03:00,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
25,1,0:03:01,0:03:01,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,city / area
26,1,0:03:09,0:03:09,Haiti,Haiti,country
27,1,0:03:16,0:03:16,Canada,Canada,country
28,1,0:03:20,0:03:20,"Montreal, Canada",Montreal; Canada,city / area
29,1,0:03:21,0:03:21,Haiti,Haiti,country
30,1,0:03:24,0:03:24,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
31,1,0:03:26,0:03:26,"Université de Montréal, Montreal, Canada",Université de Montréal; Montreal; Canada,very local
32,1,0:04:26,0:04:26,Haiti,Haiti,country
33,1,0:05:41,0:05:41,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
34,1,0:05:51,0:05:51,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
35,1,0:05:52,0:05:52,Haiti,Haiti,country
36,1,0:07:22,0:07:22,Chile,Chile,country
37,1,0:07:39,0:07:39,Chile,Chile,country
38,1,0:08:04,0:08:04,"Santiago, Chile",Santiago; Chile,city / area
39,1,0:08:09,0:08:09,Latin America,Latin America,continent
40,1,0:08:10,0:08:10,"Santiago, Chile",Santiago; Chile,city / area
41,1,0:08:33,0:08:33,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local
42,1,0:09:24,0:09:24,"Comodoro Arturo Merino Benítez International Airport, Santiago, Chile",Comodoro Arturo Merino Benítez International Airport; Santiago; Chile,very local
43,1,0:09:30,0:09:30,Peru,Peru,country
44,1,0:09:45,0:09:45,"UQAM, Montreal, Canada",UQAM; Montreal; Canada,very local
45,1,0:09:55,0:09:55,Mexico,Mexico,country
46,1,0:10:11,0:10:11,Haiti,Haiti,country
47,1,0:10:13,0:10:13,Chile,Chile,country
48,1,0:10:38,0:10:38,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local
49,1,0:12:54,0:12:54,Haiti,Haiti,country
50,1,0:13:59,0:13:59,"Centre d'etudes secondaires, Port-au-Prince, Haiti",Centre d'etudes secondaires; Port-au-Prince; Haiti,very local
51,1,0:15:21,0:15:21,Haiti,Haiti,country
52,1,0:16:20,0:16:20,Haiti,Haiti,country
53,1,0:16:33,0:16:33,Cuba,Cuba,country
54,1,0:16:40,0:16:40,Haiti,Haiti,country
55,1,0:18:41,0:18:41,Chile,Chile,country
56,1,0:18:43,0:18:43,France,France,country
57,1,0:18:48,0:18:48,Latin America,Latin America,continent
58,1,0:18:51,0:18:51,Argentina,Argentina,country
59,1,0:18:52,0:18:52,Chile,Chile,country
60,1,0:18:53,0:18:53,Brazil,Brazil,country
61,1,0:18:55,0:18:55,Brazil,Brazil,country
62,1,0:18:57,0:18:57,Brazil,Brazil,country
63,1,0:19:02,0:19:02,Argentina,Argentina,country
64,1,0:19:04,0:19:04,Haiti,Haiti,country
65,1,0:19:11,0:19:11,Chile,Chile,country
66,1,0:19:11,0:19:11,Chile,Chile,country
67,1,0:19:15,0:19:15,Chile,Chile,country
68,1,0:19:24,0:19:24,Chile,Chile,country
69,1,0:19:26,0:19:26,Chile,Chile,country
70,1,0:19:28,0:19:28,Chile,Chile,country
71,1,0:19:32,0:19:32,Chile,Chile,country
72,1,0:19:37,0:19:37,"Santiago, Chile",Santiago; Chile,city / area
73,1,0:19:55,0:19:55,Bolivia,Bolivia,country
74,1,0:20:06,0:20:06,Chile,Chile,country
