id,Session #,time_clip,Time mentioned (h:mm:ss),Atlascine-location,Location,Scale
1,1,0,0:00:26,"Montreal, Canada",Montreal; Qc,city / area
2,1,,0:00:28,"Quebec, Canada",Quebec,region
3,1,,0:00:46,"Montreal, Canada",Montreal; Qc,city / area
4,1,,0:01:26,"Quebec, Canada",Quebec,region
5,1,,0:01:29,"Quebec, Canada",Quebec,region
6,1,,0:02:09,"Quebec, Canada",Quebec,region
7,1,,0:02:14,Haiti,Haiti,country
8,1,,0:02:28,"Quebec, Canada",Quebec,region
9,1,,0:03:39,Cuba,Cuba,country
10,1,,0:03:44,Cuba,Cuba,country
11,1,,0:03:45,Haiti,Haiti,country
12,1,,0:04:04,Haiti,Haiti,country
13,1,,0:04:28,Canada,Canada,country
14,1,,0:04:34,"Montreal, Canada",Montreal; Qc,city / area
15,1,,0:04:40,"Montreal, Canada",Montreal; Qc,city / area
16,1,,0:04:48,"Montreal, Canada",Montreal; Qc,city / area
17,1,,0:04:55,Haiti,Haiti,country
18,1,,0:05:04,"Montreal, Canada",Montreal; Qc,city / area
19,1,,0:05:10,Haiti,Haiti,country
20,1,,0:05:11,Haiti,Haiti,country
21,1,,0:05:35,Haiti,Haiti,country
22,1,,0:05:54,"Cap-Haitien, Haiti",Cap-Haitien; Haiti,city / area
23,1,,0:07:26,Haiti,Haiti,country
24,1,,0:07:42,Haiti,Haiti,country
25,1,,0:08:03,Haiti,Haiti,country
26,1,,0:08:53,Haiti,Haiti,country
27,1,,0:09:02,Haiti,Haiti,country
28,1,,0:09:20,Haiti,Haiti,country
29,1,,0:09:28,Canada,Canada,country
30,1,,0:09:31,"Quebec, Canada",Quebec,region
31,1,,0:09:58,Haiti,Haiti,country
32,1,,0:10:15,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
33,1,,0:10:17,"Artibonite, Haiti",Artibonite; Haiti,region
34,1,,0:10:19,Haiti,Haiti,country
35,1,,0:12:33,Haiti,Haiti,country
36,1,,0:13:36,Canada,Canada,country
37,1,,0:13:53,Canada,Canada,country
38,1,,0:13:56,USA,USA,country
39,1,,0:14:01,Canada,Canada,country
40,1,,0:14:12,Haiti,Haiti,country
41,1,,0:14:17,Haiti,Haiti,country
42,1,,0:14:30,"Quebec, Canada",Quebec,region
43,1,,0:14:35,"Quebec, Canada",Quebec,region
44,1,,0:15:02,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
45,1,,0:15:20,"Montreal, Canada",Montreal; Qc,city / area
46,1,,0:15:22,"Montreal, Canada",Montreal; Qc,city / area
47,1,,0:16:22,"NYC, USA",New York; NY,city / area
48,1,,0:16:23,"Boston, USA",Boston; MA,city / area
49,1,,0:18:58,"Montreal, Canada",Montreal; Qc,city / area
50,1,,0:20:45,Haiti,Haiti,country
51,1,,0:21:13,Haiti,Haiti,country
52,1,,0:21:17,Haiti,Haiti,country
53,1,,0:21:31,"Aquin, Haiti",Aquin; Haiti,local
54,1,,0:21:33,Haiti,Haiti,country
55,1,,0:21:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
56,1,,0:22:14,Haiti,Haiti,country
57,1,,0:22:39,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
58,1,,0:23:12,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
59,1,,0:23:29,France,France,country
60,1,,0:23:30,Belgium,Belgium,country
61,1,,0:23:32,Jamaica,Jamaica,country
62,1,,0:24:45,Cuba,Cuba,country
63,1,,0:25:21,Haiti,Haiti,country
64,1,,0:27:23,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
65,1,,0:30:57,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area
66,1,,0:32:38,France,France,country
67,1,,0:34:00,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
68,1,,0:34:03,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
69,1,,0:36:08,"Montreal, Canada",Montreal; Qc,city / area
70,1,,0:36:21,Haiti,Haiti,country
71,1,,0:36:22,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
72,1,,0:36:26,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
73,1,,0:36:38,Haiti,Haiti,country
74,1,,0:37:09,"Quebec, Canada",Quebec,region
75,1,,0:37:15,Haiti,Haiti,country
76,1,,0:41:12,Haiti,Haiti,country
77,1,,0:41:19,Canada,Canada,country
78,1,,0:41:36,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
79,1,,0:42:09,"l'Estère, Haiti",l'Estère; Haiti,local
80,1,,0:42:11,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
81,1,,0:43:08,"Quebec, Canada",Quebec,region
82,1,,0:44:52,Haiti,Haiti,country
83,1,,0:44:57,Haiti,Haiti,country
84,1,,0:46:14,"Marchand Dessalines, Haiti",Marchand Dessalines; Haiti,local
85,1,,0:47:20,Haiti,Haiti,country
86,1,,0:47:46,Haiti,Haiti,country
87,1,,0:48:56,Haiti,Haiti,country
88,1,,0:50:23,Haiti,Haiti,country
89,1,,0:53:21,France,France,country
90,1,,0:54:04,France,France,country
91,1,,0:54:11,France,France,country
92,1,,0:54:16,France,France,country
93,1,,0:54:36,France,France,country
94,1,,0:55:46,Canada,Canada,country
95,1,,0:59:02,Cuba,Cuba,country
96,1,,0:59:03,Haiti,Haiti,country
97,1,,1:03:08,Haiti,Haiti,country
98,1,,1:03:12,Haiti,Haiti,country
99,1,,1:03:33,"Boston, USA",Boston; MA,city / area
100,1,,1:03:37,"Boston, USA",Boston; MA,city / area
101,1,,1:03:47,Haiti,Haiti,country
102,1,,1:15:27,Haiti,Haiti,country
103,1,,1:16:32,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
104,1,,1:17:25,Ethiopia,Ethiopia,country
105,1,,1:17:28,"Sicily, Italy",Sicily; Italy,region
106,1,,1:28:02,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
107,1,,1:28:05,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
108,1,,1:28:08,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
109,1,,1:28:13,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
110,1,,1:28:48,"Rolland Blvd, Montreal-Nord, Montreal, Canada",Rolland Blvd; Montreal-Nord; Montreal; Qc,local
111,1,,1:28:55,"École Adélard-Desrosiers, Montreal, Canada",École Adélard-Desrosiers; Montreal; Qc,very local
112,1,,1:28:57,"École Jules Verne, Montreal, Canada",École Jules Verne; Montreal; Qc,very local
113,1,,1:29:20,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
114,1,,1:31:05,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
115,1,,1:31:17,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
116,1,,1:31:30,"Montréal-Nord, Montreal, Canada",Montreal-Nord; Montreal; Qc,local
117,1,,1:31:33,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
118,1,,1:31:40,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
119,1,,1:31:52,"Rivière-des-Prairies, Montreal, Canada",Rivière-des-Prairies; Montreal; Qc,local
120,1,,1:31:55,"École Saint-Marc, Montreal, Canada",École Saint-Marc; Montreal; Qc,very local
121,1,,1:31:56,"École Denise-Pelletier, Montreal, Canada",École Denise-Pelletier; Montreal; Qc,very local
