id,Session #,Story unit #,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Cumulative Time Start (h:mm:ss),Cumulative Time End (h:mm:ss),Atlascine-location,Location,Scale,Journey
1,1,1,0:00:00,0:00:30,0:00:00,0:00:30,_end,none,,
2,1,2,0:00:30,0:01:54,0:00:30,0:01:54,_end,none,,
3,1,3,0:01:54,0:02:07,0:01:54,0:02:07,_end,none,,
4,1,4,0:02:07,0:03:47,0:02:07,0:03:47,Rwanda,Rwanda,country,
5,1,5,0:03:47,0:04:00,0:03:47,0:04:00,Rwanda,Rwanda,country,
6,1,6,0:04:00,0:04:04,0:04:00,0:04:04,Rwanda,Rwanda,country,
7,1,7,0:04:04,0:05:20,0:04:04,0:05:20,"Nyanza, Rwanda","Nyanza, Rwanda",local,
8,1,8,0:05:20,0:05:25,0:05:20,0:05:25,"Nyanza, Rwanda","Nyanza, Rwanda",local,
9,1,9,0:05:25,0:08:13,0:05:25,0:08:13,"Nyanza, Rwanda","Nyanza, Rwanda",local,
10,1,10,0:08:13,0:08:20,0:08:13,0:08:20,_end,none,,
11,1,11,0:08:20,0:09:25,0:08:20,0:09:25,"Butare, Rwanda","Butare, Rwanda",city / area,
12,1,12,0:09:25,0:10:37,0:09:25,0:10:37,_end,none,,
13,1,13,0:10:37,0:11:05,0:10:37,0:11:05,_end,none,,
14,1,14,0:11:05,0:11:54,0:11:05,0:11:54,Rwanda,Rwanda,country,
15,1,15,0:11:54,0:12:10,0:11:54,0:12:10,_end,none,,
16,1,16,0:12:10,0:12:30,0:12:10,0:12:30,Rwanda,Rwanda,country,
17,1,17,0:12:30,0:17:40,0:12:30,0:17:40,Rwanda,Rwanda,country,
18,1,18,0:17:40,0:18:55,0:17:40,0:18:55,"Butare, Rwanda","Butare, Rwanda",city / area,
19,1,19,0:18:55,0:20:08,0:18:55,0:20:08,"Nyanza, Rwanda","Nyanza, Rwanda",local,
20,1,20,0:20:08,0:20:13,0:20:08,0:20:13,_end,none,,
21,1,21,0:20:13,0:20:47,0:20:13,0:20:47,"Nyanza, Rwanda","Nyanza, Rwanda",local,
22,1,22,0:20:47,0:20:55,0:20:47,0:20:55,"Nyanza, Rwanda","Nyanza, Rwanda",local,
23,1,23,0:20:55,0:21:40,0:20:55,0:21:40,"Nyanza, Rwanda","Nyanza, Rwanda",local,
24,1,24,0:21:40,0:21:48,0:21:40,0:21:48,_end,none,,
25,1,25,0:21:48,0:23:05,0:21:48,0:23:05,_end,none,,
26,1,26,0:23:05,0:26:42,0:23:05,0:26:42,"Butare, Rwanda","Butare, Rwanda",city / area,
27,1,27,0:26:42,0:27:08,0:26:42,0:27:08,_end,none,,
28,1,28,0:27:08,0:30:00,0:27:08,0:30:00,_end,none,,
29,1,29,0:30:00,0:30:15,0:30:00,0:30:15,"Butare, Rwanda","Butare, Rwanda",city / area,
