id,Session #,Story unit #,Clip Time start (h:mm:ss),Clip Time end (h:mm:ss),Cumulative Time start (h:mm:ss),Cumulative Time end (h:mm:ss),Atlascine-location,Location,Scale,Journey
1,1,1,0:00:00,0:00:40,0:00:00,0:00:40,_end,none,,
2,1,2,0:00:40,0:00:48,0:00:40,0:00:48,Haiti,Haiti,country,
3,1,3,0:00:48,0:01:21,0:00:48,0:01:21,"University of Chile, Santiago, Chile",University of Chile; Santiago; Chile,very local,
4,1,4,0:01:21,0:01:42,0:01:21,0:01:42,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,
5,1,5,0:01:42,0:02:08,0:01:42,0:02:08,Chile; Peru; Venezuela; France; Switzerland; Quebec,Chile; Peru; Venezuela; France; Switzerland; Quebec,country,Journey 1
6,1,6,0:02:02,0:02:30,0:02:02,0:02:30,"Quebec, Canada",Quebec; Canada,region,
7,1,7,0:02:30,0:02:50,0:02:30,0:02:50,"National Autonomous University of Mexico, Mexico City, Mexico",National Autonomous University of Mexico; Mexico City; Mexico,very local,
8,1,8,0:02:50,0:03:10,0:02:50,0:03:10,"Petit-Goâve, Haiti",Petit-Goâve; Haiti,local,
9,1,9,0:03:10,0:04:00,0:03:10,0:04:00,"Montreal, Canada",Montreal; Canada,city / area,
10,1,10,0:04:00,0:04:20,0:04:00,0:04:20,_end,none,,
11,1,11,0:04:20,0:05:30,0:04:20,0:05:30,Haiti,Haiti,country,
12,1,12,0:05:30,0:05:52,0:05:30,0:05:52,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
13,1,13,0:05:52,0:07:20,0:05:52,0:07:20,Haiti,Haiti,country,
14,1,14,0:07:20,0:08:20,0:07:20,0:08:20,"Santiago, Chile",Santiago; Chile,city / area,
15,1,15,0:08:20,0:09:10,0:08:20,0:09:55,"Estadio Nacional Julio Martínez Prádanos, Santiago, Chile; Comodoro Arturo Merino Benítez International Airport, Santiago, Chile; Peru; UQAM, Montreal, Canada",Estadio Nacional Julio Martínez Prádanos; Santiago; Chile,very local,Journey #2 (start)
16,1,16,0:09:10,0:09:30,,,,Comodoro Arturo Merino Benítez International Airport; Santiago; Chile,very local,Journey #2 
17,1,17,0:09:30,0:09:35,,,,Peru,country,Journey #2 
18,1,18,0:09:35,0:09:55,,,,UQAM; Montreal; Canada, very local,Journey #2 (end) 
19,1,19,0:09:55,0:10:03,0:09:55,0:10:03,Mexico,Mexico,country,
20,1,20,0:10:03,0:10:25,0:10:03,0:10:25,Haiti,Haiti; Chile,country,
21,,,,,0:10:03,0:10:25,Chile,,country,
22,1,21,0:10:25,0:10:35,0:10:25,0:10:35,Haiti,Haiti,country,
23,1,22,0:10:35,0:12:54,0:10:35,0:12:54,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,
24,1,23,0:12:54,0:13:02,0:12:54,0:13:02,_end,none,,
25,1,24,0:13:02,0:13:53,0:13:02,0:13:53,"Petit Séminaire Collège Saint-Martial, Port-au-Prince, Haiti",Petit Séminaire Collège Saint-Martial; Port-au-Prince; Haiti,very local,
26,1,25,0:13:53,0:14:40,0:13:53,0:14:40,"Centre d'etudes secondaires, Port-au-Prince, Haiti",Centre d'etudes secondaires; Port-au-Prince; Haiti,very local,
27,1,26,0:14:40,0:14:45,0:14:40,0:14:45,_end,none,,
28,1,27,0:14:45,0:15:17,0:14:45,0:15:17,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
29,1,28,0:15:17,0:15:21,0:15:17,0:15:21,_end,none,,
30,1,29,0:15:21,0:16:15,0:15:21,0:16:15,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
31,1,30,0:16:15,0:16:25,0:16:15,0:16:25,Haiti,Haiti,country,
32,1,31,0:16:25,0:17:25,0:16:25,0:17:25,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
33,1,32,0:17:25,0:17:28,0:17:25,0:17:28,_end,none,,
34,1,33,0:17:28,0:18:34,0:17:28,0:18:34,"Port-au-Prince, Haiti",Port-au-Prince; Haiti,city / area,
35,1,34,0:18:34,0:18:42,0:18:34,0:18:42,Haiti,Haiti,country,
36,1,35,0:18:42,0:18:54,0:18:42,0:18:54,France,France,country,
37,1,36,0:18:54,0:19:10,0:18:54,0:19:10,Brazil,Brazil,country,
38,1,37,0:19:10,0:20:20,0:19:10,0:20:20,Chile,Chile,country,
39,1,38,0:20:20,0:20:22,0:20:20,0:20:22,_end,none,,
40,1,39,0:20:22,0:21:34,0:20:22,0:21:34,"Santiago, Chile",Santiago; Chile,city / area,
41,1,40,0:21:34,0:22:01,0:21:34,0:22:01,"University of Santiago, Santiago, Chile",University of Santiago; Santiago; Chile,very local,
42,1,41,0:22:01,0:22:07,0:22:01,0:22:07,"Santiago, Chile",Santiago; Chile,city / area,
43,1,42,0:22:07,0:23:47,0:22:07,0:23:47,"Santiago, Chile",Santiago; Chile,city / area,
