id,Session #,Story units #,Clip time start (h:mm:ss),Clip time end (h:mm:ss),Cumulative Time start (h:mm:ss),Cumulative Time end (h:mm:ss),Atlascine-location,location,Scale,Journey
1,1,1,0:00:00,0:00:40,0:00:00,0:00:40,_end,none,,
2,1,2,0:00:40,0:01:50,0:00:40,0:01:50,_end,none,,
3,1,3,0:01:50,0:02:10,0:01:50,0:02:10,_end,none,,
4,1,4,0:02:10,0:07:45,0:02:10,0:07:45,Rwanda,Rwanda,country,
5,1,5,0:07:45,0:14:10,0:07:45,0:14:10,Rwanda,Rwanda,country,
6,1,6,0:14:10,0:14:40,0:14:10,0:14:40,Rwanda,Rwanda,country,
7,1,7,0:14:40,0:16:20,0:14:40,0:16:20,Rwanda,Rwanda,country,
8,1,8,0:16:20,0:21:25,0:16:20,0:21:25,Rwanda,Rwanda,country,
9,1,9,0:21:25,0:21:40,0:21:25,0:21:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,
10,1,10,0:21:40,0:24:15,0:21:40,0:24:15,"Kibuye, Rwanda","Kibuye, Rwanda",local,
11,1,11,0:24:15,0:26:50,0:24:15,0:26:50,"Lac Kivu, Rwanda",Lac Kivu,city / area,
12,1,12,0:26:50,0:27:10,0:26:50,0:27:10,Rwanda,Rwanda,country,
13,1,13,0:27:10,0:30:50,0:27:10,0:30:50,Democratic Republic of Congo,Democratic Republic of Congo,country,
14,1,14,0:30:50,0:36:10,0:30:50,0:36:10,"Kibuye, Rwanda","Kibuye, Rwanda",local,
15,1,15,0:36:10,0:40:10,0:36:10,0:40:10,Rwanda,Rwanda,country,
16,1,16,0:40:10,0:40:40,0:40:10,0:40:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,
17,1,17,0:40:40,0:41:30,0:40:40,0:41:30,Democratic Republic of Congo,Democratic Republic of Congo,country,
18,1,18,0:41:30,0:41:50,0:41:30,0:41:50,"Kibuye, Rwanda","Kibuye, Rwanda",local,
19,1,19,0:41:50,0:42:45,0:41:50,0:42:45,"Kibuye, Rwanda","Kibuye, Rwanda",local,
20,1,20,0:42:45,0:46:15,0:42:45,0:46:15,"Kibuye, Rwanda","Kibuye, Rwanda",local,
21,1,21,0:46:15,0:46:33,0:46:15,0:46:33,_end,none,,
22,1,22,0:46:33,0:49:05,0:46:33,0:49:05,_end,None,,
23,1,23,0:49:05,0:53:40,0:49:05,0:53:40,"Ottawa, Canada","Ottawa, Canada",city / area,
24,1,24,0:53:40,0:54:10,0:53:40,0:54:10,_end,none,,
25,1,25,0:54:10,0:59:00,0:54:10,0:59:00,Rwanda,Rwanda,country,
26,1,26,0:59:00,0:59:15,0:59:00,0:59:15,_end,none,,
27,1,27,0:59:15,1:04:55,0:59:15,1:04:55,Rwanda,Rwanda,Country,
28,1,28,1:04:55,1:10:30,1:04:55,1:10:30,"Gitwe, Rwanda","Gitwe, Rwanda",local,
29,1,29,1:10:30,1:10:40,1:10:30,1:10:40,_end,none,,
30,1,30,1:10:40,1:14:23,1:10:40,1:14:23,Rwanda,Rwanda,country,
31,1,31,1:14:23,1:14:45,1:14:23,1:14:45,Rwanda,Rwanda,country,
32,1,32,1:14:45,1:16:55,1:14:45,1:16:55,Rwanda,Rwanda,country,
33,1,33,1:16:55,1:17:47,1:16:55,1:17:47,Rwanda,Rwanda,country,
34,1,34,1:17:47,1:20:35,1:17:47,1:20:35,"Nairobi, Kenya","Nairobi, Kenya",city / area,
35,1,35,1:20:35,1:21:40,1:20:35,1:21:40,"Nairobi, Kenya","Nairobi, Kenya",city / area,
36,1,36,1:21:40,1:23:15,1:21:40,1:23:15,Rwanda,Rwanda,country,
37,1,37,1:23:15,1:24:15,1:23:15,1:24:15,"Nairobi, Kenya","Nairobi, Kenya",city / area,
38,1,38,1:24:15,1:28:40,1:24:15,1:28:40,Rwanda,Rwanda,country,
39,1,39,1:28:40,1:29:55,1:28:40,1:29:55,"Kigali, Rwanda","Kigali, Rwanda",city / area,
40,1,40,1:29:55,1:30:00,1:29:55,1:30:00,_end,none,,
41,1,41,1:30:00,1:30:18,1:30:00,1:30:18,_end,unknown,,
42,1,42,1:30:18,1:30:37,1:30:18,1:30:37,_end,none,,
43,1,43,1:30:37,1:36:40,1:30:37,1:36:40,"Kibuye, Rwanda","Kibuye, Rwanda",local,
44,1,44,1:36:40,1:44:45,1:36:40,1:44:45,"Kibuye, Rwanda","Kibuye, Rwanda; Bisesero, Karongi, Western Province, Rwanda",local,
45,,,1:36:40,1:44:45,1:36:40,1:44:45,"Bisesero, Karongi, Western Province, Rwanda",,local,
46,1,45,1:44:45,1:45:15,1:44:45,1:45:15,Rwanda,Rwanda,country,
47,1,46,1:45:15,1:48:04,1:45:15,1:48:04,Rwanda,Rwanda,country,
48,1,47,1:48:04,1:48:18,1:48:04,1:48:18,Rwanda,"Rwanda, Democratic Republic of Congo",country,
49,,,1:48:04,1:48:18,1:48:04,1:48:18,Democratic Republic of Congo,,country,
50,1,48,1:48:18,1:50:06,1:48:18,1:50:06,Rwanda,Rwanda,country,
51,1,49,1:50:06,1:52:10,1:50:06,1:52:10,"Idjwi Island, South-Kivu, Democratic Republic of the Congo","l'Ile Ijwi, Democratic Republic of Congo",city / area,
52,1,50,1:52:10,1:56:15,1:52:10,1:56:15,"South-Kivu, Democratic Republic of the Congo","South-Kivu, Democratic Republic of the Congo",Region,
53,1,51,1:56:15,1:57:26,1:56:15,1:57:26,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,
54,1,52,1:57:26,1:59:12,1:57:26,1:59:12,Democratic Republic of Congo,Democratic Republic of Congo,country,
55,2,53,1:59:12,2:00:00,1:59:12,2:00:00,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,
56,2,54,2:00:00,2:08:45,2:00:00,2:08:45,"Bobandana, Democratic Republic of Congo","Bobandana, Democratic Republic of Congo",local,
57,2,55,2:08:45,2:13:10,2:08:45,2:13:10,"South-Kivu, Democratic Republic of the Congo","South-Kivu, Democratic Republic of the Congo",region,
58,2,56,2:13:10,2:13:17,2:13:10,2:13:17,Democratic Republic of Congo,Democratic Republic of Congo,country,
59,2,57,2:13:17,2:16:00,2:13:17,2:16:00,Democratic Republic of Congo,Democratic Republic of Congo,country,
60,2,58,2:16:00,2:16:10,2:16:00,2:16:10,"Kabgayi, Rwanda","Kabgayi, Rwanda",local,
61,2,59,2:16:10,2:17:35,2:16:10,2:17:35,Burundi,Burundi,country,
62,2,60,2:17:35,2:23:05,2:17:35,2:23:05,Rwanda,Rwanda,country,
63,2,61,2:23:05,2:26:10,2:23:05,2:26:10,Democratic Republic of Congo,Democratic Republic of Congo,country,
64,2,62,2:26:10,2:27:45,2:26:10,2:27:45,"Bukavu, Democratic Republic of Congo","Bukavu, Democratic Republic of Congo",city / area,
65,2,63,2:27:45,2:32:00,2:27:45,2:33:10,"Bukavu, Democratic Republic of Congo; Cyangugu, Rwanda; Kibuye, Rwanda","Bukavu, Democratic Republic of Congo",city / area,Journey 1
66,2,64,2:32:00,2:32:30,,,,"Cyangugu, Rwanda",city / area,Journey 1
67,2,65,2:32:30,2:33:10,,,,"Kibuye, Rwanda",local,
68,2,66,2:33:10,2:34:39,2:33:10,2:34:39,"Karengera, Rwanda; Cyangugu, Rwanda; Bukavu, Democratic Republic of Congo","Karengera, Rwanda; Cyangugu, Rwanda; Bukavu, Democratic Republic of Congo",city / area,journey 2
69,2,67,2:34:39,2:35:35,2:34:39,2:35:35,"Kibuye, Rwanda","Kibuye, Rwanda",local,
