,value ,value ,value ,value ,value ,value 
0.0 storyteller,bn,bn,bn,bn,bn,bn
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,73,1,5,19,0,27
1.2 MEAN NUMBER OF MENTIONS within su,2.630136986,3,3.6,1.684210526,,2.444444444
1.3 MEAN LENGTH of su (minutes),2.048401826,0.85,2.226666667,2.062280702,,2.200617284
2.1 NUMBER OF ssu,59,1,5,19,0,27
2.2 MEAN NUMBER OF MENTIONS within ssu,3.084745763,3,3.6,1.684210526,,2.444444444
2.3 MEAN LENGTH of ssu (minutes),2.161299435,0.85,2.226666667,2.062280702,,2.200617284
3.1 NUMBER OF ssu WITHOUT ANY mentions,17,0,1,6,0,10
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,0,0,,0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.465686275,,1.45,1.536111111,,1.425
5.1 NUMBER OF ssu with ONLY SAME mentions,13,0,1,4,0,6
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,2,,1,1.75,,2.333333333
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.920512821,,1.35,1.5375,,2.466666667
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,13,1,3,2,0,7
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.615384615,1,3,1.5,,3
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.769230769,2,2.666666667,3.5,,2.714285714
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.385897436,0.85,2.777777778,6.675,,3.069047619
7.1 NUMBER OF ssu with ONLY OTHER mentions,16,0,0,7,0,4
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,5.375,,,2.142857143,,3
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),2.101041667,,,1.495238095,,2.220833333
,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,28.81355932,0,20,31.57894737,#DIV/0!,37.03703704
7.1 NUMBER OF ssu with ONLY OTHER mentions,27.11864407,0,0,36.84210526,#DIV/0!,14.81481481
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,22.03389831,100,60,10.52631579,#DIV/0!,25.92592593
5.1 NUMBER OF ssu with ONLY SAME mentions,22.03389831,0,20,21.05263158,#DIV/0!,22.22222222
