,value ,value ,value ,value ,value ,value 
0.0 storyteller,ct,ct,ct,ct,ct,ct
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,194,18,8,78,9,33
1.2 MEAN NUMBER OF MENTIONS within su,2.1237113402061856,4.166666666666667,4.875,2.1153846153846154,3.111111111111111,2.090909090909091
1.3 MEAN LENGTH of su (minutes),1.0737113402061855,1.5425925925925925,1.0791666666666666,1.1480769230769232,1.312962962962963,1.4247474747474747
2.1 NUMBER OF ssu,151,18,8,78,9,33
2.2 MEAN NUMBER OF MENTIONS within ssu,2.629139072847682,4.166666666666667,4.875,2.1153846153846154,3.111111111111111,2.090909090909091
2.3 MEAN LENGTH of ssu (minutes),1.2650110375275938,1.5425925925925925,1.0791666666666666,1.1480769230769232,1.312962962962963,1.4247474747474747
3.1 NUMBER OF ssu WITHOUT ANY mentions,38,3,2,23,1,9
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,0.0,0.0,0.0,0.0,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.7675438596491229,0.7833333333333333,0.875,0.5108695652173914,2.4166666666666665,1.2111111111111112
5.1 NUMBER OF ssu with ONLY SAME mentions,37,3,0,21,2,11
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.7837837837837838,1.3333333333333333,,1.9523809523809523,1.5,1.6363636363636365
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.777927927927928,0.5,,0.6428571428571429,0.275,1.2030303030303031
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,39,8,6,15,3,7
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.7435897435897436,2.75,2.8333333333333335,2.933333333333333,2.6666666666666665,2.2857142857142856
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.1025641025641026,3.375,3.6666666666666665,2.533333333333333,4.666666666666667,2.857142857142857
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.1414529914529914,2.114583333333333,1.1472222222222224,2.5522222222222224,1.9833333333333332,2.211904761904762
7.1 NUMBER OF ssu with ONLY OTHER mentions,37,4,0,19,3,6
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.7837837837837838,5.5,,2.210526315789474,1.0,2.5
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.339189189189189,1.75,,1.3692982456140352,0.9666666666666667,1.2333333333333332
