,value ,value ,value ,value ,value ,value 
0.0 storyteller,eh,eh,eh,eh,eh,eh
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,85,10,15,18,3,18
1.2 MEAN NUMBER OF MENTIONS within su,2.5176470588235293,1.8,1.6,4.166666666666667,1.6666666666666667,3.7222222222222223
1.3 MEAN LENGTH of su (minutes),2.0294117647058827,1.7,2.722222222222222,2.541666666666666,1.861111111111111,2.375
2.1 NUMBER OF ssu,67,10,15,18,3,18
2.2 MEAN NUMBER OF MENTIONS within ssu,3.074626865671642,1.8,1.6,4.166666666666667,1.6666666666666667,3.7222222222222223
2.3 MEAN LENGTH of ssu (minutes),2.325870646766169,1.7,2.722222222222222,2.541666666666666,1.861111111111111,2.375
3.1 NUMBER OF ssu WITHOUT ANY mentions,16,4,5,3,1,3
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,0.0,0.0,0.0,0.0,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.5,1.1875,1.9000000000000004,2.8333333333333335,0.6666666666666666,0.19444444444444442
5.1 NUMBER OF ssu with ONLY SAME mentions,9,0,1,3,0,5
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,2.2222222222222223,,2.0,1.6666666666666667,,2.6
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.7685185185185186,,2.5,0.6944444444444445,,2.2666666666666666
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,19,4,3,4,1,7
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.526315789473684,1.0,1.3333333333333333,2.75,1.0,4.0
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.9473684210526314,2.25,1.6666666666666667,4.5,1.0,3.2857142857142856
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.2412280701754383,2.1875,3.3333333333333335,3.604166666666666,3.583333333333333,3.5476190476190474
7.1 NUMBER OF ssu with ONLY OTHER mentions,23,2,6,8,1,3
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.5652173913043477,2.5,2.1666666666666665,5.125,3.0,1.0
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),2.3623188405797104,1.75,3.1388888888888893,2.59375,1.3333333333333333,2.0
