,value ,value ,value ,value ,value ,value 
0.0 storyteller,ek,ek,ek,ek,ek,ek
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,116,4,9,23,4,34
1.2 MEAN NUMBER OF MENTIONS within su,2.3793103448275863,1.25,2.2222222222222223,4.130434782608695,3.25,1.9705882352941178
1.3 MEAN LENGTH of su (minutes),1.4721264367816091,0.9458333333333333,1.9648148148148148,1.8384057971014491,1.9041666666666666,1.9960784313725488
2.1 NUMBER OF ssu,86,4,9,23,4,34
2.2 MEAN NUMBER OF MENTIONS within ssu,3.13953488372093,1.25,2.2222222222222223,4.130434782608695,3.25,1.9705882352941178
2.3 MEAN LENGTH of ssu (minutes),1.7748062015503876,0.9458333333333333,1.9648148148148148,1.8384057971014491,1.9041666666666666,1.9960784313725488
3.1 NUMBER OF ssu WITHOUT ANY mentions,22,0,1,5,0,15
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,,0.0,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.9151515151515149,,0.4833333333333333,1.1466666666666667,,0.9255555555555556
5.1 NUMBER OF ssu with ONLY SAME mentions,13,3,3,3,1,3
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.2307692307692308,1.0,1.3333333333333333,1.6666666666666667,1.0,1.0
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.3653846153846154,0.85,3.1277777777777778,0.8722222222222222,0.5166666666666667,0.8944444444444444
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,30,1,4,13,1,11
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.0,1.0,1.25,2.1538461538461537,1.0,2.272727272727273
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.5,1.0,2.5,4.384615384615385,8.0,2.6363636363636362
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.5061111111111116,1.2333333333333334,1.625,2.4576923076923083,1.9,3.0545454545454547
7.1 NUMBER OF ssu with ONLY OTHER mentions,21,0,1,2,2,5
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,4.238095238095238,,1.0,2.5,1.5,2.0
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.8841269841269839,,1.3166666666666669,0.9916666666666667,2.5999999999999996,3.54
