,value ,value ,value ,value ,value ,value 
0.0 storyteller,ep,ep,ep,ep,ep,ep
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,173,17,14,46,6,38
1.2 MEAN NUMBER OF MENTIONS within su,2.38728323699422,2.2941176470588234,2.7857142857142856,2.847826086956522,3.3333333333333335,3.4473684210526314
1.3 MEAN LENGTH of su (minutes),1.3754335260115607,2.2754901960784317,1.7285714285714289,1.5844202898550723,2.672222222222222,1.3166666666666669
2.1 NUMBER OF ssu,124,17,14,46,6,38
2.2 MEAN NUMBER OF MENTIONS within ssu,3.1048387096774195,2.2941176470588234,2.7857142857142856,2.847826086956522,3.3333333333333335,3.4473684210526314
2.3 MEAN LENGTH of ssu (minutes),1.6844086021505378,2.2754901960784317,1.7285714285714289,1.5844202898550723,2.672222222222222,1.3166666666666669
3.1 NUMBER OF ssu WITHOUT ANY mentions,30,4,4,15,0,7
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,0.0,0.0,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.0805555555555555,0.8083333333333333,1.7625,0.9633333333333333,,1.0976190476190477
5.1 NUMBER OF ssu with ONLY SAME mentions,26,5,2,4,2,13
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.9615384615384615,1.8,1.5,3.0,2.0,1.7692307692307692
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.8878205128205128,0.8833333333333334,0.5,0.7041666666666666,1.2000000000000002,0.9576923076923077
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,40,5,5,13,2,15
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.775,1.8,4.0,2.3076923076923075,3.5,3.0
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.8,3.2,2.6,5.153846153846154,3.0,3.3333333333333335
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.7229166666666664,5.3966666666666665,2.893333333333333,2.517948717948718,3.5416666666666665,1.8433333333333335
7.1 NUMBER OF ssu with ONLY OTHER mentions,28,3,3,14,2,3
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.5357142857142856,1.6666666666666667,1.0,1.5714285714285714,1.5,4.333333333333333
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.5875000000000001,1.3499999999999996,0.5611111111111111,1.6345238095238095,3.2750000000000004,0.75
