,value ,value ,value ,value ,value ,value 
0.0 storyteller,fv,fv,fv,fv,fv,fv
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,204,27,10,53,4,53
1.2 MEAN NUMBER OF MENTIONS within su,2.553921568627451,2.740740740740741,2.3,3.3207547169811322,2.25,3.2452830188679247
1.3 MEAN LENGTH of su (minutes),0.7986928104575164,1.2277777777777776,0.9166666666666666,0.8955974842767296,0.3833333333333333,0.8940251572327045
2.1 NUMBER OF ssu,153,27,10,53,4,53
2.2 MEAN NUMBER OF MENTIONS within ssu,3.2091503267973858,2.740740740740741,2.3,3.3207547169811322,2.25,3.2452830188679247
2.3 MEAN LENGTH of ssu (minutes),0.9332244008714596,1.2277777777777776,0.9166666666666666,0.8955974842767296,0.3833333333333333,0.8940251572327045
3.1 NUMBER OF ssu WITHOUT ANY mentions,37,7,1,18,0,11
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,0.0,0.0,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.6459459459459459,0.8285714285714285,0.75,0.6388888888888888,,0.5318181818181817
5.1 NUMBER OF ssu with ONLY SAME mentions,36,7,2,6,2,19
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.6944444444444444,1.0,1.0,1.5,1.0,2.1578947368421053
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.7375000000000002,1.0071428571428573,1.3833333333333333,0.41944444444444445,0.21666666666666667,0.7254385964912281
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,57,9,5,19,2,20
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.4210526315789473,1.4444444444444444,1.4,2.736842105263158,2.0,2.85
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.6491228070175437,3.7777777777777777,2.2,4.684210526315789,1.5,3.45
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.2061403508771933,1.4555555555555553,0.5066666666666666,1.320175438596491,0.55,1.3075
7.1 NUMBER OF ssu with ONLY OTHER mentions,23,4,2,10,0,3
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.652173913043478,5.0,1.5,2.6,,1.6666666666666667
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.0253623188405796,1.8,1.5583333333333331,0.8366666666666666,,0.5333333333333333
