,value ,value ,value ,value ,value ,value 
0.0 storyteller,jm,jm,jm,jm,jm,jm
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,91,15,14,26,1,16
1.2 MEAN NUMBER OF MENTIONS within su,3.230769230769231,1.8666666666666667,6.071428571428571,2.3076923076923075,5.0,5.875
1.3 MEAN LENGTH of su (minutes),2.1686813186813185,1.1266666666666667,1.6226190476190478,1.5314102564102563,1.5833333333333333,4.203125
2.1 NUMBER OF ssu,74,15,14,26,1,16
2.2 MEAN NUMBER OF MENTIONS within ssu,3.72972972972973,1.8666666666666667,6.071428571428571,2.3076923076923075,5.0,5.875
2.3 MEAN LENGTH of ssu (minutes),2.0292792792792795,1.1266666666666667,1.6226190476190478,1.5314102564102563,1.5833333333333333,4.203125
3.1 NUMBER OF ssu WITHOUT ANY mentions,13,5,0,7,0,1
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,0.0,,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.369230769230769,1.4733333333333332,,1.3333333333333333,,1.1
5.1 NUMBER OF ssu with ONLY SAME mentions,11,2,3,2,0,3
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.1818181818181819,1.0,1.0,1.5,,1.3333333333333333
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.0984848484848486,0.975,1.0333333333333332,1.3749999999999998,,1.0666666666666667
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,34,3,8,12,1,10
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.088235294117647,2.6666666666666665,4.0,1.3333333333333333,2.0,4.7
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.6176470588235294,1.3333333333333333,5.875,2.75,3.0,3.6
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.9588235294117644,1.6944444444444444,2.083333333333333,1.590277777777778,1.5833333333333333,5.818333333333333
7.1 NUMBER OF ssu with ONLY OTHER mentions,16,5,3,5,0,2
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.1875,2.8,1.0,1.6,,3.5
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.2302083333333336,0.5000000000000001,0.9833333333333334,1.73,,2.3833333333333333
