,value ,value ,value ,value ,value ,value 
0.0 storyteller,jr,jr,jr,jr,jr,jr
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,74,0,3,15,0,34
1.2 MEAN NUMBER OF MENTIONS within su,2.635135135135135,,5.666666666666667,2.4,,3.0294117647058822
1.3 MEAN LENGTH of su (minutes),2.3222972972972973,,4.777777777777778,1.6666666666666667,,2.1651960784313724
2.1 NUMBER OF ssu,51,0,3,15,0,33
2.2 MEAN NUMBER OF MENTIONS within ssu,2.980392156862745,,5.666666666666667,2.4,,3.0
2.3 MEAN LENGTH of ssu (minutes),2.2107843137254903,,4.777777777777778,1.6666666666666667,,2.224747474747475
3.1 NUMBER OF ssu WITHOUT ANY mentions,11,0,1,2,0,8
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,,0.0,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.156060606060606,,3.7666666666666666,1.1916666666666667,,0.8208333333333333
5.1 NUMBER OF ssu with ONLY SAME mentions,7,0,0,1,0,6
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.4285714285714286,,,1.0,,1.5
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),2.2595238095238095,,,3.566666666666667,,2.0416666666666665
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,18,0,1,6,0,11
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.388888888888889,,3.0,1.3333333333333333,,2.909090909090909
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.7222222222222223,,8.0,2.5,,4.0
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.692592592592592,,5.383333333333334,1.8194444444444446,,2.924242424242424
7.1 NUMBER OF ssu with ONLY OTHER mentions,15,0,1,6,0,8
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.1333333333333333,,6.0,2.0,,1.75
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),2.3833333333333337,,5.183333333333334,1.3555555555555554,,2.804166666666667
