,value ,value ,value ,value ,value ,value ,
0.0 storyteller,ap,ap,ap,ap,ap,ap,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,196,5,1,99,5,51,
1.2 MEAN NUMBER OF MENTIONS within su,1.693877551,3.2,2,1.545454545,4.6,2.352941176,
1.3 MEAN LENGTH of su (minutes),1.203656463,1.98,2.633333333,1.41026936,1.626666667,0.936928105,
2.1 NUMBER OF ssu,164,5,1,99,5,51,
2.2 MEAN NUMBER OF MENTIONS within ssu,1.993902439,3.2,2,1.545454545,4.6,2.352941176,
2.3 MEAN LENGTH of ssu (minutes),1.279878049,1.98,2.633333333,1.41026936,1.626666667,0.936928105,
3.1 NUMBER OF ssu WITHOUT ANY mentions,63,0,0,47,1,15,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,,0,0,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.965079365,,,1.121985816,0.85,0.481111111,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,102,1,0,81,2,16,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,1,4,,0.987654321,1.5,0.1875,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),1.252124183,3.3,,1.403292181,1.008333333,0.478125,
5.1 NUMBER OF ssu with ONLY SAME mentions,26,0,1,3,0,21,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.769230769,,2,1,,1.904761905,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.857051282,,2.633333333,0.583333333,,0.816666667,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,36,4,0,15,3,14,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.305555556,1.5,,1.4,1.333333333,3.714285714,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.666666667,1.5,,3.266666667,5.333333333,1.785714286,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.663888889,1.65,,1.613333333,2.038888889,1.641666667,
7.1 NUMBER OF ssu with ONLY OTHER mentions,39,1,0,34,1,1,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.615384615,4,,2.352941176,3,3,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.715811966,3.3,,1.792156863,1.166666667,0.433333333,
,,,,,,,
number of SSU with minimum 1 same mention,62,4,1,18,3,35,
,0.37804878,0.8,1,0.181818182,0.6,0.68627451,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,38.41463415,0,0,47.47474747,20,29.41176471,
7.1 NUMBER OF ssu with ONLY OTHER mentions,23.7804878,20,0,34.34343434,20,1.960784314,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,62.19512195,20,0,81.81818182,40,31.37254902,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,21.95121951,80,0,15.15151515,60,27.45098039,
5.1 NUMBER OF ssu with ONLY SAME mentions,15.85365854,0,100,3.03030303,0,41.17647059,
,100,100,100,100,100,100,
