,value ,value ,value ,value ,value ,value ,,
0.0 storyteller,bn,bn,bn,bn,bn,bn,,
0.1 scale,all,2,3,4,5,6,,
1.1 NUMBER OF su,166,1,11,34,0,74,,
1.2 MEAN NUMBER OF MENTIONS within su,1.144578313,3,1.636363636,0.941176471,,0.864864865,,
1.3 MEAN LENGTH of su (minutes),0.898594378,0.85,1.012121212,1.15245098,,0.797972973,,
2.1 NUMBER OF ssu,127,1,11,34,0,74,,
2.2 MEAN NUMBER OF MENTIONS within ssu,1.417322835,3,1.636363636,0.941176471,,0.864864865,,
2.3 MEAN LENGTH of ssu (minutes),1.001181102,0.85,1.012121212,1.15245098,,0.797972973,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,73,0,6,18,0,49,,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,0,0,,0,,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.616666667,,0.375,0.878703704,,0.55,,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,95,0,6,27,0,57,,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,0.947368421,,0,0.62962963,,0.245614035,,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),0.779824561,,0.375,0.92345679,,0.57251462,,
5.1 NUMBER OF ssu with ONLY SAME mentions,18,0,1,5,0,10,,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.444444444,,1,1.4,,1.4,,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.175925926,,1.35,1.23,,1.1,,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,14,1,4,2,0,7,,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.285714286,1,2.25,1.5,,2.714285714,,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.285714286,2,2,2.5,,2.428571429,,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.278571429,0.85,1.883333333,4.05,,2.202380952,,
7.1 NUMBER OF ssu with ONLY OTHER mentions,22,0,0,9,0,8,,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,4.090909091,,,1.888888889,,1.75,,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.321212121,,,1.012962963,,0.710416667,,
,,,,,,,,
number of SSU with minimum 1 same mention,32,1,5,7,0,17,,
,0.251968504,1,0.454545455,0.205882353,#DIV/0!,0.22972973,,
,,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,57.48031496,0,54.54545455,52.94117647,#DIV/0!,66.21621622,,there are more country ssus without any mentions than at any other scale
7.1 NUMBER OF ssu with ONLY OTHER mentions,17.32283465,0,0,26.47058824,#DIV/0!,10.81081081,,there are more local ssus that only contain other mentions
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,74.80314961,0,54.54545455,79.41176471,#DIV/0!,77.02702703,,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,11.02362205,100,36.36363636,5.882352941,#DIV/0!,9.459459459,,
5.1 NUMBER OF ssu with ONLY SAME mentions,14.17322835,0,9.090909091,14.70588235,#DIV/0!,13.51351351,,
,100,100,100,100,#DIV/0!,100,,
