,value ,value ,value ,value ,value ,value ,
0.0 storyteller,ct,ct,ct,ct,ct,ct,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,281,37,10,118,17,47,
1.2 MEAN NUMBER OF MENTIONS within su,1.416370107,1.972972973,3.9,1.36440678,1.470588235,1.361702128,
1.3 MEAN LENGTH of su (minutes),0.714294187,0.745945946,0.863333333,0.729519774,0.683333333,0.920567376,
2.1 NUMBER OF ssu,234,37,10,118,17,47,
2.2 MEAN NUMBER OF MENTIONS within ssu,1.636752137,1.972972973,3.9,1.36440678,1.470588235,1.361702128,
2.3 MEAN LENGTH of ssu (minutes),0.783903134,0.745945946,0.863333333,0.729519774,0.683333333,0.920567376,
3.1 NUMBER OF ssu WITHOUT ANY mentions,92,18,2,45,7,20,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,0,0,0,0,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.455434783,0.323148148,0.875,0.486296296,0.452380952,0.464166667,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,137,24,2,70,10,26,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,0.854014599,1.166666667,0,0.714285714,0.3,0.576923077,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),0.677615572,0.577083333,0.875,0.696190476,0.558333333,0.641666667,
5.1 NUMBER OF ssu with ONLY SAME mentions,60,4,1,36,4,15,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.383333333,1,1,1.5,1.25,1.266666667,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.563333333,0.375,0.05,0.486111111,0.245833333,0.917777778,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,37,9,7,12,3,6,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.27027027,2.333333333,2.285714286,2.5,1.666666667,2,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.675675676,2.222222222,3.142857143,2.25,4,3,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.535135135,1.361111111,0.976190476,1.654166667,1.683333333,2.136111111,
7.1 NUMBER OF ssu with ONLY OTHER mentions,45,6,0,25,3,6,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.6,4.666666667,,2,1,2.5,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.131851852,1.338888889,,1.074,0.805555556,1.233333333,
,,,,,,,
number of SSU with minimum 1 same mention,97,13,8,48,7,21,
,0.414529915,0.351351351,0.8,0.406779661,0.411764706,0.446808511,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,39.31623932,48.64864865,20,38.13559322,41.17647059,42.55319149,
7.1 NUMBER OF ssu with ONLY OTHER mentions,19.23076923,16.21621622,0,21.18644068,17.64705882,12.76595745,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,58.54700855,64.86486486,20,59.3220339,58.82352941,55.31914894,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,15.81196581,24.32432432,70,10.16949153,17.64705882,12.76595745,
5.1 NUMBER OF ssu with ONLY SAME mentions,25.64102564,10.81081081,10,30.50847458,23.52941176,31.91489362,
,100,100,100,100,100,100,
