,value ,value ,value ,value ,value ,value ,
0.0 storyteller,eh,eh,eh,eh,eh,eh,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,117,14,15,23,3,36,
1.2 MEAN NUMBER OF MENTIONS within su,1.829059829,1.285714286,1.6,3.260869565,1.666666667,1.861111111,
1.3 MEAN LENGTH of su (minutes),1.474358974,1.214285714,2.722222222,1.989130435,1.861111111,1.1875,
2.1 NUMBER OF ssu,94,14,15,23,3,36,
2.2 MEAN NUMBER OF MENTIONS within ssu,2.191489362,1.285714286,1.6,3.260869565,1.666666667,1.861111111,
2.3 MEAN LENGTH of ssu (minutes),1.657801418,1.214285714,2.722222222,1.989130435,1.861111111,1.1875,
3.1 NUMBER OF ssu WITHOUT ANY mentions,28,7,5,5,1,10,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,0,0,0,0,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),1.050595238,0.904761905,1.9,1.766666667,0.666666667,0.408333333,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,56,10,11,15,2,15,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,1.571428571,0.6,1.181818182,2.733333333,1.5,0.533333333,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),1.620535714,1.266666667,2.575757576,1.95,1,0.972222222,
5.1 NUMBER OF ssu with ONLY SAME mentions,19,1,1,4,0,13,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.736842105,1,2,1.5,,1.846153846,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.26754386,0.25,2.5,0.9375,,1.352564103,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,19,3,3,4,1,8,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.842105263,1,1.333333333,2.5,1,2.125,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.631578947,2.666666667,1.666666667,4.5,1,2.25,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.157894737,1.361111111,3.333333333,3.1875,3.583333333,1.322916667,
7.1 NUMBER OF ssu with ONLY OTHER mentions,28,3,6,10,1,5,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.142857143,2,2.166666667,4.1,3,1.6,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),2.19047619,2.111111111,3.138888889,2.041666667,1.333333333,2.1,
,,,,,,,
number of SSU with minimum 1 same mention,38,4,4,8,1,21,
,0.404255319,0.285714286,0.266666667,0.347826087,0.333333333,0.583333333,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,29.78723404,50,33.33333333,21.73913043,33.33333333,27.77777778,
7.1 NUMBER OF ssu with ONLY OTHER mentions,29.78723404,21.42857143,40,43.47826087,33.33333333,13.88888889,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,59.57446809,71.42857143,73.33333333,65.2173913,66.66666667,41.66666667,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,20.21276596,21.42857143,20,17.39130435,33.33333333,22.22222222,
5.1 NUMBER OF ssu with ONLY SAME mentions,20.21276596,7.142857143,6.666666667,17.39130435,0,36.11111111,
,100,100,100,100,100,100,
