,value ,value ,value ,value ,value ,value ,
0.0 storyteller,ek,ek,ek,ek,ek,ek,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,163,4,12,40,4,45,
1.2 MEAN NUMBER OF MENTIONS within su,1.693251534,1.25,1.666666667,2.375,3.25,1.488888889,
1.3 MEAN LENGTH of su (minutes),1.047648262,0.945833333,1.473611111,1.057083333,1.904166667,1.508148148,
2.1 NUMBER OF ssu,117,4,12,40,4,45,
2.2 MEAN NUMBER OF MENTIONS within ssu,2.307692308,1.25,1.666666667,2.375,3.25,1.488888889,
2.3 MEAN LENGTH of ssu (minutes),1.304558405,0.945833333,1.473611111,1.057083333,1.904166667,1.508148148,
3.1 NUMBER OF ssu WITHOUT ANY mentions,34,0,4,9,0,20,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,0,0,,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.758823529,,1.058333333,0.672222222,,0.774166667,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,64,0,5,18,2,27,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,1.6875,,0.2,1.055555556,1.5,0.555555556,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),1.196875,,1.11,0.888888889,2.6,1.35,
5.1 NUMBER OF ssu with ONLY SAME mentions,21,3,3,8,1,6,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.095238095,1,1.333333333,1.125,1,1,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.744444444,0.85,1.877777778,0.45625,0.516666667,0.547222222,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,32,1,4,14,1,12,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.65625,1,1.25,1.714285714,1,1.833333333,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.6875,1,2.5,3.071428571,8,2,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.8875,1.233333333,1.625,1.616666667,1.9,2.344444444,
7.1 NUMBER OF ssu with ONLY OTHER mentions,30,0,1,9,2,7,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,3.6,,1,2.111111111,1.5,2.142857143,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.693333333,,1.316666667,1.105555556,2.6,2.995238095,
,,,,,,,
number of SSU with minimum 1 same mention,53,4,7,22,2,18,
,0.452991453,1,0.583333333,0.55,0.5,0.4,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,29.05982906,0,33.33333333,22.5,0,44.44444444,
7.1 NUMBER OF ssu with ONLY OTHER mentions,25.64102564,0,8.333333333,22.5,50,15.55555556,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,54.7008547,0,41.66666667,45,50,60,there are more country ssus that contain no same mentions than city ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,27.35042735,25,33.33333333,35,25,26.66666667,
5.1 NUMBER OF ssu with ONLY SAME mentions,17.94871795,75,25,20,25,13.33333333,
,100,100,100,100,100,100,
