,value ,value ,value ,value ,value ,value ,
0.0 storyteller,ep,ep,ep,ep,ep,ep,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,248,28,20,65,11,59,
1.2 MEAN NUMBER OF MENTIONS within su,1.568548387,1.392857143,1.95,1.723076923,1.818181818,2.13559322,
1.3 MEAN LENGTH of su (minutes),0.937567204,1.381547619,1.21,1.048461538,1.457575758,0.836440678,
2.1 NUMBER OF ssu,186,28,20,65,11,59,
2.2 MEAN NUMBER OF MENTIONS within ssu,1.940860215,1.392857143,1.95,1.723076923,1.818181818,2.13559322,
2.3 MEAN LENGTH of ssu (minutes),1.093817204,1.381547619,1.21,1.048461538,1.457575758,0.836440678,
3.1 NUMBER OF ssu WITHOUT ANY mentions,62,12,6,24,4,16,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,0,0,0,0,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.778225806,0.884722222,1.358333333,0.634027778,0.704166667,0.715625,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,103,16,10,44,6,24,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,0.844660194,0.375,0.4,0.727272727,0.5,0.708333333,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),0.960032362,1.019791667,1.076666667,0.956060606,1.344444444,0.609722222,
5.1 NUMBER OF ssu with ONLY SAME mentions,44,5,6,10,3,20,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.636363636,1.8,1.166666667,1.9,1.666666667,1.6,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),0.644318182,0.883333333,0.697222222,0.473333333,0.666666667,0.650833333,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,39,7,4,11,2,15,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.282051282,1.285714286,4,2,3,2.4,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.897435897,2.142857143,3,3.545454545,3,2.733333333,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.954273504,2.564285714,2.3125,1.940909091,2.983333333,1.446666667,
7.1 NUMBER OF ssu with ONLY OTHER mentions,41,4,4,20,2,8,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.12195122,1.5,1,1.6,1.5,2.125,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.23495935,1.425,0.654166667,1.3425,2.625,0.397916667,
,,,,,,,
number of SSU with minimum 1 same mention,83,12,10,21,5,35,
,0.446236559,0.428571429,0.5,0.323076923,0.454545455,0.593220339,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,33.33333333,42.85714286,30,36.92307692,36.36363636,27.11864407,
7.1 NUMBER OF ssu with ONLY OTHER mentions,22.04301075,14.28571429,20,30.76923077,18.18181818,13.55932203,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,55.37634409,57.14285714,50,67.69230769,54.54545455,40.6779661,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,20.96774194,25,20,16.92307692,18.18181818,25.42372881,
5.1 NUMBER OF ssu with ONLY SAME mentions,23.65591398,17.85714286,30,15.38461538,27.27272727,33.89830508,
,100,100,100,100,100,100,
