,value ,value ,value ,value ,value ,value ,
0.0 storyteller,jm,jm,jm,jm,jm,jm,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,138,18,15,31,1,29,
1.2 MEAN NUMBER OF MENTIONS within su,2.043478261,1.555555556,5.666666667,1.935483871,5,2.827586207,
1.3 MEAN LENGTH of su (minutes),1.388285024,0.938888889,1.514444444,1.284408602,1.583333333,2.120114943,
2.1 NUMBER OF ssu,96,18,15,31,1,29,
2.2 MEAN NUMBER OF MENTIONS within ssu,2.75,1.555555556,5.666666667,1.935483871,5,2.827586207,
2.3 MEAN LENGTH of ssu (minutes),1.504166667,0.938888889,1.514444444,1.284408602,1.583333333,2.120114943,
3.1 NUMBER OF ssu WITHOUT ANY mentions,25,7,0,10,0,8,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,0,,0,,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.925333333,1.226190476,,0.97,,0.60625,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,42,12,3,16,0,10,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,0.857142857,1.166666667,1,0.5625,,0.7,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),1.058730159,0.923611111,0.983333333,1.25,,0.961666667,
5.1 NUMBER OF ssu with ONLY SAME mentions,22,3,4,3,0,11,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.590909091,1.666666667,1.5,1.333333333,,1.727272727,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.178030303,0.694444444,1.370833333,0.966666667,,1.306060606,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,32,3,8,12,1,8,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.46875,1.666666667,3.625,1.25,2,3.5,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3.5625,1.333333333,5.875,2.666666667,3,3.5,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.313020833,1.244444444,1.785416667,1.409722222,1.583333333,4.6875,
7.1 NUMBER OF ssu with ONLY OTHER mentions,17,5,3,6,0,2,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2.117647059,2.8,1,1.5,,3.5,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.254901961,0.5,0.983333333,1.716666667,,2.383333333,
,,,,,,,
number of SSU with minimum 1 same mention,54,6,12,15,1,19,
,0.5625,0.333333333,0.8,0.483870968,1,0.655172414,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,26.04166667,38.88888889,0,32.25806452,0,27.5862069,
7.1 NUMBER OF ssu with ONLY OTHER mentions,17.70833333,27.77777778,20,19.35483871,0,6.896551724,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,43.75,66.66666667,20,51.61290323,0,34.48275862,there are more city ssus that contain no same mentions than country ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,33.33333333,16.66666667,53.33333333,38.70967742,100,27.5862069,
5.1 NUMBER OF ssu with ONLY SAME mentions,22.91666667,16.66666667,26.66666667,9.677419355,0,37.93103448,
,100,100,100,100,100,100,
