,value ,value ,value ,value ,value ,value ,notes
0.0 storyteller,jr,jr,jr,jr,jr,jr,
0.1 scale,all,2,3,4,5,6,
1.1 NUMBER OF su,114,0,3,16,0,52,
1.2 MEAN NUMBER OF MENTIONS within su,1.570175439,,5.666666667,2.25,,1.673076923,
1.3 MEAN LENGTH of su (minutes),1.479678363,,4.777777778,1.5625,,1.354807692,
2.1 NUMBER OF ssu,70,0,3,16,0,51,
2.2 MEAN NUMBER OF MENTIONS within ssu,1.942857143,,5.666666667,2.25,,1.62745098,
2.3 MEAN LENGTH of ssu (minutes),1.56547619,,4.777777778,1.5625,,1.37745098,
3.1 NUMBER OF ssu WITHOUT ANY mentions,22,0,1,3,0,18,
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0,,0,0,,0,
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),0.963636364,,3.766666667,0.85,,0.826851852,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,41,0,2,9,0,30,
4.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY SAME mentions,0.926829268,,3,1.333333333,,0.666666667,
4.3 MEAN LENGTH of ssu WITHOUT ANY SAME mentions (minutes),1.416666667,,4.475,1.187037037,,1.281666667,
5.1 NUMBER OF ssu with ONLY SAME mentions,13,0,0,1,0,12,
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.538461538,,,1,,1.583333333,
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),1.351282051,,,3.4,,1.180555556,
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,16,0,1,6,0,9,
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,1.875,,3,1.333333333,,2.111111111,
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,3,,8,2.5,,2.777777778,
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.120833333,,5.383333333,1.819444444,,1.959259259,
7.1 NUMBER OF ssu with ONLY OTHER mentions,19,0,1,6,0,12,
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,2,,6,2,,1.666666667,
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),1.94122807,,5.183333333,1.355555556,,1.963888889,
,,,,,,,
number of SSU with minimum 1 same mention,29,0,1,7,0,21,
perc,0.414285714,#DIV/0!,0.333333333,0.4375,#DIV/0!,0.411764706,
,,,,,,,
3.1 NUMBER OF ssu WITHOUT ANY mentions,31.42857143,#DIV/0!,33.33333333,18.75,#DIV/0!,35.29411765,
7.1 NUMBER OF ssu with ONLY OTHER mentions,27.14285714,#DIV/0!,33.33333333,37.5,#DIV/0!,23.52941176,
4.1 NUMBER OF ssu WITHOUT ANY SAME mentions,58.57142857,#DIV/0!,66.66666667,56.25,#DIV/0!,58.82352941,there are more country ssus that contain no same mentions than city ssus
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,22.85714286,#DIV/0!,33.33333333,37.5,#DIV/0!,17.64705882,
5.1 NUMBER OF ssu with ONLY SAME mentions,18.57142857,#DIV/0!,0,6.25,#DIV/0!,23.52941176,
,100,#DIV/0!,100,100,#DIV/0!,100,
