,value ,value ,value ,value ,value ,value 
0.0 storyteller,og,og,og,og,og,og
0.1 scale,all,2,3,4,5,6
1.1 NUMBER OF su,99,0,13,30,2,39
1.2 MEAN NUMBER OF MENTIONS within su,4.98989898989899,,3.6153846153846154,6.733333333333333,5.5,4.6923076923076925
1.3 MEAN LENGTH of su (minutes),3.1407407407407404,,4.042307692307692,3.277777777777778,4.25,3.377777777777778
2.1 NUMBER OF ssu,88,0,13,30,2,39
2.2 MEAN NUMBER OF MENTIONS within ssu,5.431818181818182,,3.6153846153846154,6.733333333333333,5.5,4.6923076923076925
2.3 MEAN LENGTH of ssu (minutes),3.4026515151515144,,4.042307692307692,3.277777777777778,4.25,3.377777777777778
3.1 NUMBER OF ssu WITHOUT ANY mentions,9,0,3,1,0,5
3.2 MEAN NUMBER OF MENTIONS within ssu WITHOUT ANY mentions,0.0,,0.0,0.0,,0.0
3.3 MEAN LENGTH of ssu WITHOUT ANY mentions (minutes),2.688888888888888,,3.5277777777777772,4.583333333333333,,1.8066666666666666
5.1 NUMBER OF ssu with ONLY SAME mentions,8,0,1,1,0,6
5.2 MEAN NUMBER OF mentions within ssu with ONLY SAME mentions,1.375,,1.0,1.0,,1.5
5.3 MEAN LENGTH of ssu with ONLY SAME mentions (minutes),2.29375,,0.9333333333333332,2.583333333333333,,2.472222222222222
6.1 NUMBER OF ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,43,0,4,20,0,19
6.2.1 MEAN NUMBER OF SAME mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,2.558139534883721,,1.0,2.6,,2.8421052631578947
6.2.2 MEAN NUMBER OF OTHER mentions within ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,5.1395348837209305,,7.5,5.4,,4.368421052631579
6.3 MEAN LENGTH of ssu with AT LEAST 1 SAME mention and AT LEAST 1 other mention,4.0124031007751935,,5.475,3.315833333333333,,4.4377192982456135
7.1 NUMBER OF ssu with ONLY OTHER mentions,28,0,5,8,2,9
7.2 MEAN NUMBER OF mentions within ssu with ONLY OTHER mentions,4.857142857142857,,2.4,5.125,5.5,4.111111111111111
7.3 MEAN LENGTH of ssu with ONLY OTHER mentions (minutes),3.0124999999999997,,3.8266666666666667,3.10625,4.25,2.6166666666666663
